,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Tiếng Trung đơn giản: Hiểu 65% tiếng Trung trong 10 giờ,Học 65% tiếng Trung (tiếng phổ thông) và bắt đầu nói và đọc trong một khoá học hấp dẫn với phương pháp tiếp cận độc nhất,"MỚI NHẤT: KHOÁ HỌC ĐƯỢC CẬP NHẬT VÀO THÁNG BẢY 2015
HƠN 5000 HỌC VIÊN THÀNH CÔNG ĐÃ THAM GIA KHOÁ HỌC!

Bắt đầu học tiếng Trung với một cách tiếp cận hoàn toàn mới vừa dễ vừa vui. Trong khoá học này, bạn sẽ học: 
Cách nhận diện hầu hết 350 bộ chữ và hiểu 65% ngôn ngữ này
Cách đọc và viết ở trình độ trung cấp
Cách thiết lập đoạn hội thoại về hầu hết các lĩnh vực 
Cái nhìn sâu hơn về Trung Quốc và văn hoá của đất nước này

Về khoá học và chúng tôi
Công ty dạy tiếng Trung phổ thông dạy bằng tiếng nước ngoài đầu tiên với phương thức tiếp cận tiếng Trung hoàn toàn mới. Các khoá học của chùng tôi được xây dựng cho người nước ngoài bởi người nước ngoài, và đồng thời bao gồm kinh nghiệm dày dặn từ các giáo viên Trung Hoa 
""Tiếng Trung đơn giản: Hiểu 65% tiếng Trung trong 10 giờ"" là một khoá học tiếng Trung mở rộng cho bất kỳ ai muốn bắt đầu học tiếng Trung hoặc kể cả khi bạn muốn học nhưng thấy tiếng Trung khó và nhàm chán.
Với cách tiếp cận mới, chúng tôi có thể làm việc học trở nên vui hơn qua các video giải trí, và với cách chúng tôi phân tích, gỡ rạc một cách logic ngôn ngữ này cho bạn, bạn sẽ giúp chúng tôi xây dựng lại. Khi bạn hoàn thành việc ""xây dựng"", chúng tôi hứa là bạn sẽ hiểu rõ hơn rất nhiều tiếng Trung và bạn sẽ  có thể dạy lại cho người khác (thông tin về cách chúng tôi chuyển biến các học viên thành giáo viên có trong quảng cáo ở bài học đầu tiên.)
Khoá học sẽ bắt đầu với cơ bản dành cho bất kỳ ai hoàn toàn mới với tiếng Trung và nhanh chóng tiến đến với trình độ đàm thoại. Chúng tôi bao gồm các kỹ năng đọc, viết, và nói trong một gói. Mục tiêu cuối cùng của khoá học là bạn có thể đọc và thậm chí là viết bài hoàn toàn bằng tiếng Trung ở trình độ trung cấp. Bạn sẽ đồng thời có đủ vốn từ và hiểu biết về cách thứ ngôn ngữ này hoạt động để có thể tranh luận hầu hết các chủ đề.
Nếu bạn vẫn chưa học với chúng tôi trước đó, chúng tôi khuyên bạn nên đến với khoá học nền tảng ""Tiếng Trung đơn giản: Một bắt đầu hào hứng với tiếng Trung"" hoàn toàn miễn phí với nội dung bằng video lên đến hơn 4 giờ đồng hồ, và bạn sẽ hiểu được cách bạn sẽ học với chúng tôi. Bạn sẽ có thể tìm thấy khoá học này ngay dưới thông tin cá nhân của tôi (Felix Lättman).
Nếu bạn đã đọc đến đây và vẫn chưa biết phải quyết định thế nào, hãy nhìn vào các nhận xét về chúng tôi. Chúng tôi tin rằng bạn sẽ thấy rằng đây là một khoá học tuyệt vời
Tuy nhiên, nếu bạn thuộc về 0.0001 phần trăm không đồng ý, hãy nhớ rằng bạn luôn có Cam kết hoàn tiền trong 30 ngày. 
Felix Lättman","Chúng tôi khuyên tất cả các học viên nên tiếp cận với giáo viên để thực hành. Điều này sẽ giúp cải thiện kỹ năng nói tiếng Trung của bạn đáng kể vì điều giáo viên quan tâm không phải là dạy bạn bổ sung mà là giúp bạn bắt đầu sử dụng những gì đã học. Tải về quảng cáo của chúng tôi trong bài học đầu tiên và tìm hiểu bổ sung!
Khi bạn có một giáo viên bên mình, giáo viên sẽ cung cấp cho bạn tất cả các tài liệu bổ sung mà bạn cần
Nếu như bạn chỉ học khoá học online, bạn có thể tải về sách học ở bải học đầu tiên
","Hơn 265 Bài giảng và 10 giờ nội dung
Đến cuối khoá học, bạn sẽ có thể trò chuyện hoàn toàn bằng tiếng Trung về hầu hết mọi thứ. 
Bạn cũng sẽ có thể đọc và viết những câu chuyện/bài viết/sách đơn giản trong tiếng Trung","Bạn không cần biết gì trước về tiếng Trung. Tuy nhiên, nếu bạn chưa từng học khoá học của chúng tôi, bạn nên bắt đầu với khoá học nền tảng: ""Tiếng Trung đơn giản""
Nếu bạn đã có chút kiến thức về tiếng Trung rồi, bạn vẫn nên tham gia khoá học này vì chúng tôi sẽ giới thiệu các khái niệm vô cùng quan trọng mà bạn có thể bỏ lỡ trước đó.",,Chào mừng bạn đến với phiên bản mới của chính mình! (Bản xem trước),8:24
,,,,,,,Đường dẫn (Bản xem trước),Văn bản
,,,,,,,Bài học 1-4: Từ vựng (Bản xem trước),6 trang
,,,,,,,THẺ TỪ TIÊNG TRUNG WCC,7 slides
,,,,,,Phần 1: Bài 5 - Trưởng thành,,
,,,,,,,Giới thiệu về những điều tốt đẹp (Bản xem trước),1:23
,,,,,,,Một người trưởng thành (Bản xem trước),1:00
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Darren có thể chơi bóng đá như một người lớn,1:06
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Đừng ngại một vài âm sắc nhỏ (Bản xem trước),1:28
,,,,,,,Loài cá vô cùng nhỏ bé (Bản xem trước),2:15
,,,,,,,Vấn đề,1  câu hỏi
,,,,,,,Nắm bắt được tâm lý người Trung (Bản xem trước),1:28
,,,,,,,Coi chừng - con dao kìa! (Bản xem trước),0:39
,,,,,,,Cái mác - Một con dao lớn! (Bản xem trước),0:16
,,,,,,,Vấn đề,2 câu hỏi
,,,,,,,"""Ngươi"" chứ không phải ""Bạn"" (Bản xem trước)",1:39
,,,,,,,Nhân (Bản xem trước),0:30
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Bạn và bạn (Bản xem trước),2:25
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,"Ai thật sự là ""Người Trung Quốc?"" (Bản xem trước)",1:11
,,,,,,,"""Nữ"" - người phụ nữ tập Yoga (Bản xem trước)",2:28
,,,,,,,Suy nghĩ... (Bản xem trước),0:29
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Đây là cách phụ nữ làm điều đó (Bản xem trước),0:39
,,,,,,,Tương tự nhưng khác (Bản xem trước),1:19
,,,,,,,Chiếc xe trượt của ông già Noel (Bản xem trước),2:35
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Cách nào cũng được .... (Bản xem trước),1:45
,,,,,,,Âm thanh đường phố (Bản xem trước),0:22
,,,,,,,她 (Bản xem trước),0:22
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,"Một ""Người phụ nữ"" cũng là một ""Cô ấy"" (Bản xem trước)",1:06
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,"Ai ""là Người Trung Quốc?"" (Bản xem trước)",0:21
,,,,,,,Vấn đề ,1 câu hỏi
,,,,,,,Bạn - Bạn - Anh ấy - Cô ấy (Bản xem trước),2:09
,,,,,,,"Cứ làm loạn lên với ""đồ vật""  (Bản xem trước)",2:10
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Ba thứ đầy đủ về câu! (Bản xem trước),0:36
,,,,,,,Hỏi giảo viên của bạn (Bản xem trước),1:40
,,,,,,,Ôn lại sự hào hứng (Bản xem trước),4:52
,,,,,,,Tài liệu bổ sung - 5 (Bản xem trước),5:24
,,,,,,,Từ vựng - 5 (Bản xem trước),1 trang
,,,,,,Phần 2: Bài 6 - Cần bổ sung thước dây!,,
,,,,,,,Giới thiệu bài 6,1:10
,,,,,,,Các từ đo lường,6:17
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Người cây và cái ô,4:17
,,,,,,,Những cái cửa ba một phần hai,0:48
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Một cái cửa mở,0:41
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Các bản nhạc ca tụng Felix,2:13
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,CHÚNG TA LÀ GIA ĐÌNH,1:06
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Giống như người Tây Ban Nha thích nó vậy,0:57
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Chuyến thám hiểm ở Lào,2:25
,,,,,,,Ôn lại sự hào hứng ,3:52
,,,,,,,Tài liệu bổ sung bài 6,2:14
,,,,,,,Từ vựng 6 (Bản xem trước),1 trang
,,,,,,Phần 3: Bài 7,,
,,,,,,,Giới thiệu bài 7,1:10
,,,,,,,Một người được phục vụ,2:31
,,,,,,,8 người con trai,2:28
,,,,,,,Người dân Bắc Kinh tự hào,2:11
,,,,,,,Một cướp biển người Trung,2:28
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Em bé bị nhốt trong chiếc hộp,1:40
,,,,,,,Đứa trẻ người Trung nhỏ bé,1:40
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Đây là một người con trai thật sự,1:08
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,"Trẻ, đáng yêu và tóc vàng",2:24
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Den lilla prisen,1:59
,,,,,,,Một ngày đẹp trời!,1:57
,,,,,,,Coi chừng - con dao kìa! ,0:20
,,,,,,,"""Nhỏ"" - Được cởi xích",2:52
,,,,,,,"Bây giờ thì họ cũng đã nhận ra được điều đó, chúng tôi nghĩ vậy",1:50
,,,,,,,Nhanh và nguy hiểm 14?,0:41
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Đây là cách bạn tán tỉnh một cô gái Trung Quốc,0:51
,,,,,,,"Thiếu ""OK"" ",0:46
,,,,,,,"Thiếu ""Đây là""",4:02
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Bằng chứng khác về việc anh ta là siêu nhân,1:32
,,,,,,,"""Hảo"" thật là hữu ích",1:39
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Xin chào mọi người!,1:05
,,,,,,,Ôn lại sự hào hứng.,4:28
,,,,,,,Tài liệu bổ sung - 7 (Bản xem trước),11:37
,,,,,,,Từ vựng 7 (Bản xem trước),2 trang
,,,,,,Phần 4: Bài 8,,
,,,,,,,Giới thiệu bài 8,1:00
,,,,,,,Baywatch đã quay lại!,1:52
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Ghép cặp ngựa mẹ ,1:16
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Anh hùng của tôi,0:59
,,,,,,,Những người mẹ to lớn,2:48
,,,,,,,Đây là cách tôi được nuôi dạy,2:08
,,,,,,,Mẹ không bao giờ có thể ... hoặc?,1:31
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Một con ngựa có vấn đề,1:56
,,,,,,,Được rồi!,0:57
,,,,,,,Vấn đề,1 câu hỏi
,,,,,,,Bạn thế nào?,0:28
,,,,,,,Các nguyên tắc cơ bản của một cuộc hội thoại,1:12
,,,,,,,"""Có phải không?""",1:36
,,,,,,,"Bản đồ tư duy ""Mã""",1:51
,,,,,,,Ôn lại sự hào hứng ,3:51
,,,,,,,Tài liệu bổ sung 8 (Bản xem trước),11:42
,,,,,,,Từ vựng 8 (Bản xem trước),2 trang
,,,,,,,Giờ kể chuyện - Chương 2 (Bản xem trước),7:41
