Name,Sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
"Tạo ra tình yêu, tình dục và đam mê nhiều hơn với phong thủy","Đôi thoại trao đổi và những phương pháp phong thủy để thúc đẩy tình yêu trong gia đình bạn, để thu hút tình yêu và thêm gia vị cho tình dục và sự gần gũi","Tham gia với chúng tôi để có cuộc nói chuyện sôi nổi với nhà phong thủy Nicolette Vajtay chuyên về  phong cách sống theo phong thủy và nhà phong thủy Tanya Jahnke chuyên về bùa về khoa học và nghệ thuật cổ của phong thủy để phát triển tình yêu và sự gần gũi trong cuộc sống và trong phòng the!
Chúng ta sẽ xem xét vấn đề về tính yêu trong gia đình bạn dưới con mắt phong thủy. Một khi chúng ta đã đánh giá được những gì thấy được, chúng ta sẽ nhận ra những chi tiết thiết kế tiêu cực, những điều cần làm và không nên làm trong phòng ngủ. Chúng ta sẽ tập trung vào cảm nhận, mùi và sự đụng chạm của tình yêu và áp dụng những phương pháp phong thủy nhất định để thu hút tình cảm hoặc thêm gia vị cho mối quan hệ của bạn
Trong 45 phút của cuộc trò chuyện sẽ là một buổi phỏng vấn với những chỉ dẫn cụ thể và các phương pháp phong thủy mà bạn có thể áp dụng theo cách của bạn tại nhà ngay lập tức
Tạo ra một mục tiêu mới, thu hút tình cảm và tạo ra 1 căn phòng dành cho nhiều tình yêu hơn, nhiều tình dục hơn và đam mê cho bạn tình của bạn",Một bản kế hoạch phác thảo về mức độ chủ yếu hoặc về nhà bạn là cần thiết,"Hơn 6 bài giảng với 43 phút nội dung
Biết được nơi ẩn chứa tình yêu trong nhà bạn
Các phương pháp phong thủy để thúc đẩy tình yêu trong gia đình bạn
Học cách để tạo ra nhiều không gian mở để thu hút bạn tình mà bạn mong muốn
Những điều nên và không nên làm
Phương pháp cho những người độc thân muốn tìm tình yêu
Phương pháp cho các cặp đôi đã sẵn sàng để kết hôn
Phương pháp cho các cặp vợ chồng đang muốn tăng sự gần gũi hay thêm gia vị cho đời sống tình dục của họ",Không cần thiết phải có kiến thức về phong thủy từ trước. Lớp học này dành cho những người muốn tìm kiếm tình yêu trong cuộc sống hoặc đắm chìm sâu hơn trong mối quan hệ của họ,Phần 1: Giới thiệu chung và chuẩn bị,,
,,,,,,,Gặp gỡ các nhà phong thủy và chuẩn bị cho kế hoạch của bạn,4:36
,,,,,,Phần 2: Tổng quan về bát quái,,
,,,,,,,Một bảng 9 ô vuông cho thấy nơi 9 các loại năng lượng khác nhau ở đâu trong nhà bạn,4:34
,,,,,,"Phần 3: Ảnh hưởng, nghệ thuật tượng trưng và các tác phẩm",,
,,,,,,,Những ảnh hưởng nhất định có thể làm suy kiệt hoặc căng cường năng lượng trong nhà bạn,6:22
,,,,,,Phần 4: Tình yêu và phòng ngủ,,
,,,,,,,Tìm kiếm những vấn đề trong tình yêu của bạn và phòng ngủ và tạo ra những thay đổi tích cực,18:55
,,,,,,Phần 5: Các phương pháp,,
,,,,,,,Học các phương pháp động lực để thúc đẩy tình yêu trong cuộc sống của bạn dù bạn độc thân hay không,7:37
,,,,,,Phần 6: kết thúc,,
,,,,,,,Chia sẻ về những tập tục cổ xưa của lì xì và cảm ơn Tanya!,1:35
,,,,,,,Phong thủy và tình yêu: sự thành công chắc chắn trong việc thúc đẩy tình yêu trong cuộc sống của bạn với thuật Phong thủy,20 questions
