Category,Alias,Sub-Category,Alias,Course,Alias
Phát triển ứng dụng,phat-trien-ung-dung,,,,
,,Phát triển Web,phat-trien-web,Học và tìm hiểu về AngularJS,hoc-va-tim-hieu-ve-angularjs
,,Ứng dụng di động,ung-dung-di-dong,Thiết kế ứng dụng di động từ con số 0: Nguyên tắc thiết kế và trải nghiệm người dùng (UX),thiet-ke-ung-dung-di-dong-tu-con-so-0-nguyen-tac-thiet-ke-va-trai-nghiem-nguoi-dung-ux
,,Ngôn ngữ lập trình,ngon-ngu-lap-trinh,Khóa đào tạo ngôn ngữ lập trình Ruby cho người mới bắt đầu,khoa-dao-tao-ngon-ngu-lap-trinh-ruby-cho-nguoi-moi-bat-dau
,,Phát triển Game,phat-trien-game,Học lập trình game - Phát triển game bằng Unity 5,hoc-lap-trinh-game-phat-trien-game-bang-unity-5
,,Cơ sở dữ liệu,co-so-du-lieu,Chứng chỉ Hadoop Developer cho người mới bắt đầu,chuong-chi-hadoop-developer-cho-nguoi-moi-bat-dau
,,Kiểm thử phần mềm,kiem-thu-phan-mem,Khóa học kiểm thử phần mềm tốt nhất dành cho bạn!,khoa-hoc-kiem-thu-phan-mem-tot-nhat-danh-cho-ban
,,Công nghệ phần mềm,cong-nghe-phan-mem,Đào tạo quy trình Agile Scrum và chứng chỉ Scrum,dao-tao-quy-trinh-agile-scrum-va-chung-chi-scrum
,,Công cụ phát triển,cong-cu-phat-trien,Khóa học Git cấp tốc trong 1 giờ,khoa-hoc-git-cap-toc-trong-1-gio
,,Thương mại điện tử,thuong-mai-dien-tu,Xây dựng trang web thương mại điện tử với Wordpress,xay-dung-trang-web-thuong-mai-dien-tu-voi-wordpress
Kinh Doanh,kinh-doanh,,,,
,,Tài chính,tai-chinh,Gọi vốn cộng đồng thành công cho các chiến dịch trị giá 100.000 USD,goi-von-cong-dong-thanh-cong-cho-cac-chien-dich-tri-gia-100000-usd
,,Khởi nghiệp,khoi-nghiep,Khóa học Freelancer,khoa-hoc-freelancer
,,Truyền thông,truyen-thong,Bí quyết để trở thành một nhà văn,bi-quyet-de-tro-thanh-mot-nha-van
,,Quản lý,quan-ly,Thiết kế Gamification Level 1 (cơ bản) + Chứng nhận,thiet-ke-gamification-level-1-co-ban-chung-nhan
,,Bán hàng,ban-hang,Phát triển kinh doanh dành cho các công ty khởi nghiệp và công ty công nghệ cao,phat-trien-kinh-doanh-danh-cho-cac-cong-ty-khoi-nghiep-va-cong-ty-cong-nghe-cao
,,Chiến lược,chien-luoc,Làm thế nào để phác thảo một kế hoạch kinh doanh?,lam-the-nao-de-phac-thao-mot-ke-hoach-kinh-doanh
,,Vận hành,van-hanh,Hệ thống quản lý chất lượng: Quản lý và kiểm soát chất lượng,he-thong-quan-ly-chat-luong-quan-ly-va-kiem-soat-chat-luong
,,Quản lý dự án,quan-ly-du-an,Khóa học về quản lý dự án chuyên nghiệp (PMP),khoa-hoc-ve-quan-ly-du-an-chuyen-nghiep-pmp
,,Luật doanh nghiệp,luat-doanh-nghiep,Những điều cơ bản về quyền tác giả: Bảo vệ các tác phẩm khỏi vi phạm bản quyền,nhung-dieu-co-ban-ve-quyen-tac-gia-bao-ve-cac-tac-pham-khoi-vi-pham-ban-quyen
,,Phân tích dữ liệu,phan-tich-du-lieu,SQL (Structured Query Language - Ngôn ngữ truy vấn có cấu trúc) cho người mới: Nhập môn Phân tích dữ liệu,sql-cho-nguoi-moi-nhap-mon-phan-tich-du-lieu
,,Kinh doanh tại gia,kinh-doanh-tai-gia,Làm thế nào để kiếm tiền trên youtube mà không cần quay clip,lam-the-nao-de-kiem-tien-tren-youtube-ma-khong-can-quay-clip
