Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
sql-cho-nguoi-moi-nhap-mon-phan-tich-du-lieu,SQL (Structured Query Language - Ngôn ngữ truy vấn có cấu trúc) cho người mới: Nhập môn Phân tích dữ liệu,"Dành cho những người không có chuyên môn và người làm marketing. Chủ yếu sử dụng MySQL nhưng vẫn chấp nhận PostgresSQL/ Postgres, SQL Servrer, v..v",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Chào mừng!,,,,
,,,Câu chuyện của bạn,- Không có yêu cầu về Khối kiến thức chuyên môn,- Hơn 35 bài giảng và 3.5 giờ học nội dung.,- Những người làm marketing,,Xem tôi này!,2:59,Video,
,,,"Bill mới tốt nghiệp cao đẳng và không có những kĩ năng có thể tiếp thị được (marketable skills) thực sự (đặc biệt là trong ngành nhân lực) Nhưng vì muốn cố gắng cải thiện CV của mình để trông ấn tượng hơn, anh ấy đã ghi khả năng Microsoft Word và PowerPoint ở mục ""kỹ năng"". Tuyệt vời? Không phải vậy.",,- Phân tích được hành vi người dùng,- Người khởi nghiệp,,Ghi chú từ người trưởng nhóm khiêm tốn của bạn,Văn bản,Text,
,,,Joe đang làm tại vị trí marketing tại một công ty nhỏ. Anh ấy có hàng đống ý tưởng sáng tạo nhưng thỉnh thoảng lại cảm thấy như anh ấy đang mò mẫm thiếu định hướng đoán mò về những việc mà khách hàng đang làm. Giá mà anh ấy hiểu biết sâu về hành vi của người tiêu dùng thì anh ấy đã có thể trở thành marketer được định hướng với nhiều dữ liệu thực tế hơn. Nhưng phân tích dữ liệu chỉ dành cho những người làm kĩ thuật thôi....phải không nhỉ?,,- Tìm ra sự thấu hiểu đối với khách hàng/doanh nghiệp có thể sử dụng được,- Người chưa có chuyên môn,,Bắt đầu (Tải về một Text Editor) - Tất cả hệ điều hành,2:20,Video,
,,,CÂU CHUYỆN CỦA TÔI:,,"- Ra quyết định dựa trên thông tin, số liệu xác thực",- Nhà phân tích dữ liệu,,Thiết lập (Cài đặt) - Phiên bản cho Mac,9:48,Video,
,,,"David và Peter đã gia nhập TTudemy khi họ gần như không có kinh nghiệm chuyên môn nào. Nhưng sau rất nhiều lần thử nghiệm và sai, những rắc rối và cả sự hỗ trợ từ bạn bè, cuối cùng họ cũng đủ khả năng để khám phá ra những kiến thức gốc cho bản thân họ, cho đội cũng như công ty họ. Họ có khả năng tìm ra những điều thú vị về hành vi người tiêu dùng, tạo ra bảng theo dõi và tính toán quá trình đạt mục tiêu cả nhóm, hay tìm kiếm dữ liệu cho đội để họ sử dụng khi thuyết trình trước nhà đầu tư, và ra quyết định dựa trên những thông tin xác thực.",,- Đo lường và theo dõi hiệu quả marketing,- Sinh viên mới tốt nghiệp,,Thiết lập (Cài đặt) - Phiên bản cho Windows,13:14,Video,
,,,Điều bạn sẽ học được:,,- Khám phá ra số liệu hấp dẫn trong marketing,- Người đang tìm việc,Phần 2: Giới thiệu về MySQL ,,,,
,,,"Chúng tôi đã đúc kết được hiểu biết và kinh nghiệm qua việc sử dụng SQL trong một khóa học ngắn hạn. Vì vậy, đến cuối khóa học, bạn sẽ có những kỹ năng cơ bản để thực hiện một số việc phân tích dữ liệu thật sự cho công ty bằng cách sử dụng SQL - một loại ngôn ngữ mà mọi công ty đều dùng. Thậm chí cả khi nếu bạn không có nền tảng chuyên môn thì cũng không phải lo lắng!",,,,,"Cơ sở dữ liệu quan hệ (relational database) là gì?
Xem trước",5:56,Video,
,,,CÁCH THỨC KHÓA HỌC ĐƯỢC TỔ CHỨC:,,,,,[Câu hỏi] Cơ sở dữ liệu quan hệ là gì?,1 câu hỏi ,Quiz,
,,,"Trong khóa học này, chúng ta sẽ đóng giả làm một doanh nghiệp thực sự (vd Blockbuster) nên những điều mà bạn học được sẽ dễ dàng được áp dụng vào vị trí/công ty của chính bạn. Sẽ không có thứ trừu tượng/giả thuyết nào hết.",,,,,"Dữ liệu SQL cơ bản:Khung query
Xem trước",10:23,Video,
,,,Chúng tôi sẽ chạy truy vấn (queries) như một doanh nghiệp thực thụ trong khi vẫn hướng dẫn bạn những kiến thức nền về query để bạn có thể áp dụng và tạo ra query phục vụ những mục tiêu của riêng bạn.,,,,,Khung query SQL,3 câu hỏi,Quiz,
,,,"Để tạo áp lực học tập, chúng tôi sẽ có các bài tập, bài thi xuyên suốt khóa học cho bạn thực hành",,,,,[Cân não] Xây dựng câu query đầu tiên của bạn!,5:32,Video,
