Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-doc-viet-tieng-a-rap-tu-co-ban-den-nang-cao,Học đọc viết tiếng Ả Rập: Từ cơ bản đến nâng cao,"Với các bài học cơ bản của chúng tôi, bạn sẽ học được cách đọc và viết mọi thứ bằng tiếng Ả rập, đồng thời bạn cũng sẽ được học các bài đàm thoại cơ bản!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Chúng tôi đã giảm giá khóa học này xuống 50%,Bạn nên sắm cho mình một chiếc loa và tai nghe. Hãy chọn cho mình một không gian yên tĩnh để bắt đầu khóa học,Hơn 14 bài giảng và 1 giờ nội dung,Bất kỳ ai có hứng thú học tiếng Ả Rập,,Giới thiệu,2:02,Video,
,,,"Để trở thành 1000 học viên đầu tiên, hãy nhanh tay tham gia với chúng tôi!",Chuẩn bị cho mình một tinh thần hào hứng học tiếng Ả Rập,"Đọc, viết và nói bảng chữ cái Ả Rập",Bất kỳ ai muốn luyện đọc và viết tiếng Ả Rập,Phần 2: Bảng chữ cái,,,,
,,,"Khóa học sẽ giúp bạn biết mọi chữ cái Ả Rập một cách đơn giản, khi kết thúc 10 bài giảng đầu tiên bạn sẽ biết cách đọc và viết mọi chữ cái Ả Rập. Thêm vào đó, bạn cũng sẽ học được hơn 100 chữ Ả Rập.","Bạn nên có máy tính, và còn tốt hơn nữa nếu bạn có cả máy in",Đọc và viết bất kỳ chữ cái Ả Rập nào,,,Nguyên âm + Alef,6:03,Video,
,,,"Bạn sẽ có thể bắt chuyện với người khác, nói về bản thân bạn và sử dụng nhiều từ thông dụng và từ ngữ biểu cảm trong cuộc sống hàng ngày.",,Giới thiệu bản thân bằng tiếng Ả Rập,,,Nguyên âm + Alef,5 câu hỏi,Quiz,
,,,"Chúng tôi soạn bài giảng ở một mức độ đơn giản giúp bạn hiểu và ghi nhớ dễ dàng, giống hệt như cách chúng tôi dạy trẻ con và người lớn không phải người Ả Rập trong các phòng học truyền thống",,Đối thoại bằng tiếng Ả Rập,,,ب - ت - ث,5:07,Video,
,,,Đây không chỉ là khóa học với bài giảng video mà còn có thêm bài tập về nhà và các bài tập lớn.,,Nhận diện hơn 50 chữ Ả Rập,,,ج ح خ,4:27,Video,
,,,"Đây không đơn thuần là một khóa học trực tuyến, nó còn là một cộng đồng mạng nơi bạn có thể gặp gỡ nhiều người khác đến từ khắp nơi trên thế giới có chung niềm đam mê học tiếng Ả Rập.",,Gặp gỡ những người bản sứ nói tiếng Ả Rập,,,د ذ ر ز,6:29,Video,
,,,Các bài giảng mới sẽ được cập nhật mới hàng tháng.,,Kết bạn trên khắp thế giới,,,س ش,3:24,Video,
,,,,,,,,ص ض ط ظ,7:47,Video,
,,,,,,,,ع غ,3:49,Video,
,,,,,,,,ف ق ك ل,5:34,Video,
,,,,,,,, م ن ,3:25,Video,
,,,,,,,,ه و ي,4:30,Video,
,,,,,,,,Bảng chữ cái Ả Rập,5 câu hỏi,Quiz,
,,,,,,,Phần 3: Các từ và cụm từ hội thoại thông dụng ,,,,
,,,,,,,,Giới thiệu bản thân,7:26,Video,
,,,,,,,,Số đếm,2 trang,Document,
,,,,,,,,Đại từ Ả Rập - đại từ riêng biệt,2:50,Video,
