Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,,
Bí mật để loại bỏ cơn giận ra khỏi cuộc sống của tôi,"Khoá học này là điều gần nhất bạn có để thực hiện một liệu pháp điều trị riêng tư với tôi, giúp bạn loại bỏ cơn giận khỏi cuộc sống của bạn ","Trong khoá học của tôi, bạn sẽ học cách loại bỏ cơn giận ra khỏi cuộc sống của bạn bằng một phương pháp dễ học và áp dung những ký thuật giúp kết nối cơ thể và tâm trí. Không chỉ có vậy, bạn sẽ học được phương pháp thay đổi cuộc sống giúp bạn vượt qua nỗi sợ, tự tin hơn và xoá bỏ những rào cản mà chúng ta thường gọi là những cảm xúc xấu ngăn cản bạn làm những điều bạn muốn trong cuộc sống
1) Bạn sẽ được hướng dẫn một bài tập để được chứng minh rằng mọi suy nghĩ bạn có ảnh hưởng đến cách bạn cảm nhận
2) Bạn sẽ học một phương pháp giúp bạn thay đổi cách bạn nghĩ và cảm nhận
3) Bạn sẽ học được bí mật đã giúp tôi thay đổi cuộc sống đời thường của bao người 
4) Bạn sẽ tiếp cận với cuốn sách của tôi, là bản tải xuống được, có các nghi thức áp dụng cho trên 28 phạm vị của cuộc sống cùng với phương pháp mà bạn sắp được học.
5) Bạn cũng sẽ có thể tải xuống 4 file mp3 dạy cách học và áp dụng cách phương pháp để bạn có thể sử dụng mọi lúc.
6) Bạn sẽ tải xuống một bản thu Thôi miên được tạo ra cho chương trình này
7) Sẽ không có bất cứ rủi ro nào khi mua khoá học này vì bạn có Cam kết hoàn tiền trong 30 ngày nếu như bạn hoàn toàn không thu được kết quả từ việc tiến hành sử dụng phương pháp này. Đồng thời, bạn có thể giữ mọi tài liệu đã tải xuống, vì tôi tự tin ràng nếu bạn bỏ ra một chút thời gian để thử khoá học, bạn sẽ nhận thấy cuộc sống thay đổi xung quanh bạn.
Tất cả các video đều có thể tải xuống để dễ dàng tiếp cận khi đang ngoại tuyến","Có một nơi thật yên tĩnh để bạn không bị quấy rầy
Máy in để in ra bài tập 
Nếu bạn không có máy in, sử dụng bút và giấy
Tai nghe sẽ giúp nâng cao trải nghiệm và kết quả","Hơn 29 bài giảng và 1.5 giờ nội dung
Giảm căng thẳng trong cuộc sống với một phương pháp đơn giản
Thay đổi cách bạn cảm nhận và phản ứng với các tình huống trong cuộc sống
Sử dụng phương pháp loại bỏ cơn giận dữ ra khỏi cuộc sống một cách dễ dàng
Sử dụng phương pháp này để vượt qua nhiều hạn chết như nỗi sợ, lo lắng, sự thèm khát như thuốc lá hay thức ăn
Sử dụng phương pháp này để cải thiện khả năng chơi thể thao 
5 file mp3 tải xuống được
7 file pdf tải xuống được
31 bài giảng 65 phút nội dụng 
157 trang Ebook tải xuống được với cách nghi thức cho các vấn đề từ A đến Z, sử dụng EFT
Tất cả các video đều có thể tải xuống để tiếp cận dễ dàng kể cả khi ngoại tuyến.","Khoá học này được tạo ra cho những ai thật sự muốn một cách dễ dàng để thay đổi cuộc sống theo hướng tích cực.
Đây không phải là khoá học dành cho bạn nếu bạn không có ý chí dành ra 35 phút mỗi ngày và cam kết với việc làm nên thay đổi tích cực trong cuộc sống",Phần 1: Mở đầu,,,
,,,,,,,Kết thúc là sự bắt đầu (Bản xem trước),0:52,
,,,,,,,Cái giá kinh khủng của sự không tha thứ (Bản xem trước),0:42,
,,,,,,,Bằng chứng về việc tâm trí ảnh hưởng đến cơ thể,4:42,
,,,,,,Phần 2: Phương pháp giải phóng cảm xúc (EFT): một phương pháp dễ học và áp dụng ,,,
,,,,,,,Phương pháp giải phóng cảm xúc là gì?,1:01,
,,,,,,,Khai thác điểm của EFT (Bản xem trước),2:56,
,,,,,,,Khai thác điểm của EFT và Cực điểm của năng lượng kết nối,1:26,
,,,,,,,Khai thác điểm (Bản xem trước),2 pages,
,,,,,,,Ôn tập lại các điểm của Phương pháp giải phóng cảm xúc,1:09,
,,,,,,,Cụm từ thiết lập,1:27,
,,,,,,,Cụm từ nhắc nhở,0:32,
,,,,,,,Kiểm tra những gì bạn đã học,4 questions,
