Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
suc-manh-cua-su-yeu-duoi,Sức mạnh của sự yếu đuối,"Giảng viên của chúng tôi sẽ đem đến cho bạn những bài học về sự kết nối giữa giữa con người với con người. Hay nói cách khác, bạn sẽ được tìm hiểu về năng lực của chính bạn trong việc thể hiện sự đồng cảm với người khác; trong việc hành xử sao cho chân thực nhất, hay khả năng trong cách thể hiện sự gần gũi, bày tỏ tình yêu, thậm chỉ cả nỗi tủi nhục với những người xung quanh bạn.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Lời mở đầu,Văn bản,Text,
,,,Đừng ngần ngại bộc lộ sự yếu đuối của mình. Hãy để chính con người bạn được tìm thấy!,Không cần có kiến thức sẵn từ trước,Hơn 37 bài giảng với 9.5 giờ nội dung.,Bất cứ ai quan tâm tới việc tìm hiểu nhiều hơn về sự yếu đuối và cách để sống tận tâm với cuộc đời,Phần 1: Tại sao chúng ta đấu tranh,,,,
,,,"Có phải yếu đuối là một điểm yếu? Đã từng có những nghiên cứu cho rằng: ""Trong nền văn hóa của loài người, chúng ta kết nối sự yếu đuối của chúng ta với những xúc cảm mà chúng ta muốn tránh. Ví dụ như sợ hãi, nỗi tủi hổ, hay sự bất ổn. Tuy nhiên, chúng ta cũng thường quên một thực tế là đôi khi điểm yếu lớn nhất có thể trở thành ưu điểm mạnh nhất. Nó là gốc rễ của những niềm vui, của sức sáng tạo và cả còn là cội nguồn của tình yêu thương"". Khóa học ""Sức mạnh của sự yếu đuôi"" của chúng tôi đưa ra một lời mời tham gia và đưa ra một lời hứa rằng: Một khi chúng ta dám thoát ra khỏi cái vỏ bọc mạnh mẽ; thoát khỏi thứ vỏ bọc mà chúng ta sử dụng để bảo vệ chúng ta khỏi sự tổn thương... thì chúng ta mới có thể mở rộng tâm hồn để trải nghiệm những điều có ý nghĩa đích thực, có mục đích đến với cuộc sống của chúng ta. Trong khóa học trực tuyến này, giảng viên của chúng tôi sẽ giúp cho bạn xua tan đi quan niệm hoang đường rằng sự yếu đuối là điểm yếu. Đồng thời, ông cũng sẽ tiết lộ cho bạn một sự thật rằng sự yếu đuối chính là thước đo chính xác nhất về lòng dũng cảm của chúng ta.","Chỉ cần có tài khoản trên Tudemy, không cần thêm tài liệu nào khác","Khóa học này bao gồm 6 câu chuyện hài hước, có tính thay đổi nhận thức của bạn với nội dung kéo dài 6 giờ. Thêm vào đó là hai giờ giảng dạy trực tiếp bằng video cùng giảng viên giàu kinh nghiệm giúp bạn dám sống dũng cảm, chân thành và đầy đam mê, sống hết mình với cuộc sống của bạn.",,,"Câu hỏi ""Làm thế nào"" chẳng bao giờ có hiệu quả",14:27,Video,
,,,"Qua các cuộc phỏng vấn với hàng trăm người tham gia trong dự án nghiên cứu về sự yếu đuối của con người hơn 12 năm qua, các nhà nghiên cứu rút ra một kết luận rằng: Con người chúng ta luôn cố gắng để tránh né nỗi thất vọng bằng một tấm lá chắn của sự hoài nghi, cố gắng làm tiêu tan đi sự hổ thẹn bằng tự gây mê chính bản thân mình nhằm mục đích chống lại niềm vui, thậm chí tự lừa dối rằng mình không hề đau buồn bằng việc dập tắt đi mọi thiện trí, mọi ham muốn yêu thương. Một khi chúng ta nhận thức được về những vấn đề này, chúng ta mới bắt đầu có ý thức về việc chúng ta đã hy sinh nhiều như thế nào khi cứ phải cố gắng gồng mình tự vệ. Cuộc sống của chúng ta sẽ đẹp hơn biết bao nếu chúng ta mở lòng, chấp nhận sự yếu yếu của bản thân hay những tổn thương trong cuộc sống.",Bạn có thể tải danh mục các câu hỏi trong phần tài liệu bổ sung,"Kết thúc khóa học này, bạn sẽ có thể",,,Ba thành tố trong văn hóa ràng buộc khan hiếm,9:25,Video,
,,,"Tác giả của dự án nghiên cứu trên cũng nói thêm rằng: Có một từ để miêu tả những ứng viên đã tham gia dự án nghiên cứu ""Sức mạnh của sự yếu đuối"", những người có khả năng thích ứng ở nơi họ có thể bị tổn thương bất cứ lúc nào vì sự yếu đuối của họ, là ""tận tâm""! Tận tâm là một bài thực hành mà chúng ta có thể chọn lựa chọn để để tu dưỡng dựa trên lòng cảm thông, sự biết ơn, và cả dựa trên nhận thức của chúng ta về sự yếu đuối. Hãy tham gia với chúng tôi để có được cái nhìn sâu sắc trên các cung bận của cảm xúc. Từ đó, chúng ta có thể bộc lộ bản thân. Hãy để chính con người bạn được tìm thấy trong mắt tất cả mọi người.",,"1) Giải thích cách tu dưỡng khả năng vượt qua sự hổ thẹn - chìa khóa để phát triển ý thức về giá trị và cảm giác thuộc về,",,,Tình yêu và sự gắn kết là nhu cầu tối thiểu,10:21,Video,
,,,"BẠN SẼ HỌC""",,"2) Thảo luận về sự yếu đuối như điểm gốc rễ cho sự đổi mới, khả năng thích nghi, tinh thần trách nhiệm và khả năng lãnh đạo nhìn xa trông rộng,",,,Rào cản cơ bản của sự gắn kết,5:57,Video,
,,,"Hơn 7 giờ học bằng video - Chúng tôi sẽ mang đến cho bạn 6 buổi học thông qua video, mỗi video kéo dài 60 phút (được cắt ra thành những bài giảng ngắn hơn). Các bài giảng tập trung giới thiệu những kiến thức cốt lõi và các bài thực hành nhằm mục đích giúp bạn vượt qua mặc cảm về sự yếu đuối của mình và sống hết mình với cuộc đời. Ngoài ra, khóa học đưa thêm 2 phần hỏi và đáp với giảng viên. Câu hỏi và câu trả lời sẽ được ghi âm lại đối với những người tham gia khóa học trực tuyến.",,"3) Thảo luận về kho vũ khí cảm xúc - làm thế nào để tránh cảm giác bị tổn thương, những điều hoang đường về sự yếu đuối - những quan niệm sai lầm thông thường về điểm yếu, lòng tin, và sự tự lực; và việc dễ bị tổn thương - nhận ra được điều gì làm chúng ta nhụt chí và làm sao chúng ta có thể thay đổi điều này,",,,Tin rằng bạn xứng đáng trong tình yêu và được gắn kết,8:59,Video,
,,,Bản hướng dẫn viết tay của giảng viên sẽ đem đến cho bạn những câu hỏi mấu chốt để cho việc phản ánh bản thân bạn sâu hơn. Việc này cũng giúp cho bạn tìm ra những điểm yếu cũng như những điểm mạnh của bản thân bạn.,,4) Tóm tắt 10 châm ngôn sống hết mình - những kỹ năng thiết yếu để tận hưởng cuộc sống.,,,Chấp nhận sự yếu đuối,18:58,Video,
,,,"Hoàn tất việc tải tất cả các tài liệu liên quan đến khóa học. Toàn bộc chương trình của khóa học ""Sức mạnh của sự yếu đuối"" là của bạn. Hãy tận hưởng nó!",,,,Phần 2: Những điều gây nên sự xấu hổ,,,,
,,,,,,,,Nỗi sợ hãi giả tưởng,10:20,Video,
