Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
hoc-cac-thu-thuat-boxing-de-co-the-tu-phong-ve-tren-pho,Học các thủ thuật boxing để có thể tự phòng vệ trên đường phố,Bạn hoàn toàn có thể học được những kỹ năng cần thiết để hạ gục đối thủ to lớn và khỏe hơn bạn một cách dễ dàng...,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Bắt đầu,,,,
,,,"Chào các bạn,",- Mua một cái dây nhảy,- Hơn 17 bài giảng và 29 phút nội dung,"Khóa học này dành cho những người muốn học cách tự bảo về bản thân. Với những thủ thuật trong boxing, bạn có đủ tự tin và kỹ năng bảo vệ gia đình cùng những người thân yêu khỏi những mối đe dọa từ bên ngoài.",,Giới thiệu,1:45,Video,
,,,Tưởng tượng rằng bạn đang đi vào một quán bar mờ ảo đầy khói thuốc. Bạn cảm nhận được ánh mắt soi mói từ những gã say rượu đang nhìn vào mình.,- Có một người bạn học cùng và chia sẻ chi phí khóa học với họ :),- Kỹ năng đánh bại các đối thủ to khỏe hơn mình,,,Trắc nghiệm các thế đứng khi chiến đấu,1 question,,
,,,Nếu bạn có mong muốn được học các thủ thuật đấm bốc (boxing) để tự bảo vệ mình trước những tấn công trên đường phố thì đây chính là khóa học quan trọng nhất mà bạn cần học.,,- Có thể tự tin bước vào một căn phòng và biết rằng bạn có thể đánh bại bất kỳ ai một cách dễ dàng (...nếu cần thiết thôi),,Phần 2: 10 cách tung ra các cú đấm,,,,
,,,Những thủ thuật về phòng vệ trong khóa học này đều được bảo đảm và được kiểm chứng rằng bạn có thể hạ gục những đối thủ to lớn hơn bạn.,,"- Tăng cường sức khỏe. Bằng việc tham gia khóa học này, bạn có thể cải thiện thể trạng của mình mà vẫn rất vui vẻ",,,10 cách tung ra các cú đấm (phần 1),2:16,Video,
,,,Dưới đây là những điều bạn sẽ học được:,,,,,10 cách tung ra các cú đấm (tiếp tục),2:05,Video,
,,,"5 bộ động tác đấm bốc ""hạ gục nhanh tiêu diệt gọn"" sẽ khiến đối thủ đo ván và ước rằng biết thế không dây vào bạn.",,,,,Trắc nghiệm về các cách đấm,1 question,Quiz,
,,,"Các tư thế boxing đường phố sẽ giúp bạn có được sự cân bằng, sự linh hoạt khi tấn công và phòng thủ trong suốt cuộc chiến (không phải là các tư thế chiến đấu thông thường đâu)",,,,Phần 3: Làm thế nào để có các cú đánh mở lòng bàn tay và không bị gãy cổ tay,,,,
,,,Cách di chuyển linh hoạt khiến cho đối phương tự hỏi rằng tại sao hắn liên tục bị ăn đòn,,,,,Làm thế nào để thực hiện các cú đánh mở lòng bàn tay,2:36,Video,
,,,Bổ sung 9 cách tung ra các cú đấm cho bạn (sẽ có 2 cách mà có thể bạn chưa bao giờ sử dụng),,,,,Trắc nghiệm các cú đánh mở lòng bàn tay,1 question,Quiz,
,,,"Phương án ""Che chắn và Đánh trả"" sẽ khiêu khích đối thủ vào trạng thái để lỏng phòng thù trong khi mình vẫn giữ vững trước các đòn tấn công của đối thủ",,,,"Phần 4: Làm thế nào ""Che chắn và Đánh trả""",,,,
,,,"Lối chiến đấu ru ngủ sẽ điều hướng đối phương vào thế trận và ăn đủ các đòn đánh nhanh, mạnh, bạo của bạn",,,,,"Làm thế nào ""Che chắn và Đánh trả""",2:52,Video,
,,,"Một ""điểm mù"" mà bất kỳ ai cũng dính phải khi tham gia một trận chiến và cách bạn có thể ứng dụng nó để hạ gục đối thủ của bạn",,,,Phần 5: Các đòn hạ gục nhanh 2,,,,
,,,"và còn nhiều, nhiều hơn thế nữa...",,,,,Các đòn hạ gục nhanh 2,2:55,Video,
,,,"Đây là khóa học tốt nhất về thủ thuật boxing và là cách nhanh nhất để học về cách tự phòng vệ. Hãy mua ngay và mở ngay bài học về ""hạ gục nhanh tiêu diệt gọn""",,,,Phần 6: Các đòn hạ gục nhanh 3,,,,
,,,,,,,,Các đòn hạ gục nhanh 3,2:21,Video,
,,,,,,,Phần 7: Dùng khuỷu tay để phòng thủ và đánh trả,,,,
,,,,,,,,Dùng khuỷu tay để phòng thủ và đánh trả,1:15,Video,
,,,,,,,Phần 8: Làm thế nào để phòng thủ trước một cú ôm mạnh và hung bạo,,,,
,,,,,,,,Làm thế nào để phòng thủ trước một cú ôm mạnh và hung bạo,1:50,Video,
,,,,,,,Phần 9: Các kỹ thuật bổ sung,,,,
,,,,,,,,Các kỹ thuật bổ sung,1:36,Video,
,,,,,,,Phần 10: 2 cách di chuyển ,,,,
,,,,,,,,2 cách di chuyển,2:11,Video,
,,,,,,,Phần 11: Tại sao bạn cần nhảy dây,,,,
,,,,,,,,Tại sao bạn cần nhảy dây,0:59,Video,
,,,,,,,Phần 12: Bài tập luyện thể hình chiến đấu số 1,,,,
,,,,,,,,Bài tập luyện thể hình chiến đấu số 1,1:15,Video,
,,,,,,,Phần 13: Bài tập luyện thể hình chiến đấu số 2,,,,
,,,,,,,,Bài tập luyện thể hình chiến đấu số 2,1:04,Video,
,,,,,,,Phần 14: Bài tập luyện thể hình chiến đấu số 3,,,,
,,,,,,,,Bài tập luyện thể hình chiến đấu số 3,0:36,Video,
,,,,,,,Phần 15: Bài tập luyện thể hình chiến đấu số 4,,,,
,,,,,,,,Bài tập luyện thể hình chiến đấu số 4,1:07,Video,
,,,,,,,Phần 16: Bài tập luyện thể hình chiến đấu số 5,,,,
,,,,,,,,Bài tập luyện thể hình chiến đấu số 5,0:47,Video,
