Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Ngôn ngữ cơ thể của tình yêu và hò hẹn,Tìm kiếm một mối quan hệ thành công cùng khoa học phi ngôn ngữ của sự quyến rũ. Tìm hiểu những dấu hiệu lãng mạn tinh tế để giải mã cuộc hẹn của bạn,"Tôi muốn mang tới cho các bạn một cách tiếp cận hoàn toàn mới về tình yêu và hẹn hò
khóa học này sẽ giúp bạn làm chủ sự lãng mạn, từ tán tỉnh, hẹn hò, thu hút cho tới kết nối
Quan trọng là khóa học này sẽ chỉ ra cho làm như thế nào để thu hút một nửa hoàn hảo của bạn
Bạn muốn biết làm như thế nào chứ?
Mọi thứ đều xuất phát từ cơ thể bạn. Tôi sẽ dạy bạn khoa học phi ngôn từ của tình yêu
Đây là lời hứa của tôi:
Khi bạn hiểu ngôn ngữ cơ thể hẹn hò, nó sẽ giống như một định nghĩa cấp cao của hẹn hò. Bạn có thể sẽ phát hiện ra những dấu hiệu bị bỏ lỡ, thấy được những cảm xúc ẩn, và bạn biết chính xác làm thế nào để đánh giá sự kết nối của giữa hai người
Mỗi bài học sẽ có các bước hành động, giải pháp mang tính chiến thuật và những ví dụ thực tế trong cuộc sống. Chúng tôi sử dụng mỗi công cụ thích hợp để đưa tới các bạn một khóa học tốt nhất. Chúng ta có những khán giả sinh động trong từng phần chúng ta cần, ví dụ như những video truyền hình thực tế, khoa học hấp dẫn và những thử thách thú vị
Tôi rất mong được gặp các bạn trong khóa học. Có thể có đôi lúc tôi hơi ủy mị nhưng hãy chiều lòng tôi và tham gia cùng tôi trong khóa học này.
Khóa học này dành cho cả nam và nữ, thực tế bạn sẽ thấy được giới tính khác nhau thì tiếp cận chuyện hẹn hò như thế nào.
Yêu cầu của khóa học là gì?
Đang tìm kiếm tình yêu
Những chàng trai cô gái còn độc thân
Quan tâm tới tất cả các phương diện của các mối quan hệ","Đang tìm kiếm tình yêu
Những chàng trai cô gái còn độc thân
Quan tâm tới tất cả các phương diện của các mối quan hệ","Hơn 24 bài giảng với hơn 4 giờ giảng dạy
Thu hút một nửa hoàn hảo của bạn
Có một cuộc hẹn thật tự tin
Có khả năng thu hút ngay từ ấn tượng đầu tiên
sử dụng ngôn ngữ cơ thể để tạo sự lãng mạn
Giải mã những cảm xúc thầm kín trong cuộc hẹn của bạn
Làm chủ cuộc hẹn trực tuyến,tán gẫu điện thoại và tán tỉnh 
Tìm hiểu xem làm thế nào để di chuyển đúng cách, đúng thời điểm
Xây dựng sự kết nối bền vững
Tìm hiểu làm thể nào để phát hiện ra những dấu hiệu lãng mạn bị bỏ lỡ","Đàn ông
Phụ nữ",Phần 1: Chào mừng,,
,,,,,,,Giới thiệu,10:05
,,,,,,,Thách thức,3:25
,,,,,,,Tài liệu,2:10
,,,,,,Phần 2: Ngôn ngữ cơ thể của tình yêu,,
,,,,,,,Ngôn ngữ cơ thể của tình yêu,7:18
,,,,,,Phần 3: Khoa học của sự thu hút,,
,,,,,,,Khoa học về sự thu hút,12:58
,,,,,,,Khoa học về sự thu hút: ôn tập ví dụ và thách thức,7:16
,,,,,,Phần 4: Tán tỉnh căn bản,,
,,,,,,,Tán tỉnh căn bản,20:35
,,,,,,,"Tán tỉnh cơ bản: Ôn tập, ví dụ và thách thức",9:58
,,,,,,Phần 5: Tâm lý học về sự tán tỉnh,,
,,,,,,,Tâm lý học về sự tán tỉnh ,13:44
,,,,,,,"Tâm lý học của sự tán tỉnh : Ôn tập, ví dụ, thách thức",5:01
,,,,,,,Hành động nhướn mày ,2:07
,,,,,,Phần 6: Động lực hẹn hò,,
,,,,,,,Động lực hẹn hò,30:00:00
,,,,,,,"Động lực hẹn hò: ôn tập, Ví dụ, và thách thức",11:03
,,,,,,Phần 7: Khả năng kết nối mối quan hệ,,
,,,,,,,Khả năng kết nối mối quan hệ ,8:15
,,,,,,,"Khả năng kết nối mối quan hệ : Ôn tập, ví dụ và thách thức",6:16
,,,,,,Phần 8: Hãy rèn luyện thể chất,,
,,,,,,,Hãy rèn luyện thể chất,17:48
,,,,,,,"Hãy rèn luyện thể chất: Ôn tập, Ví dụ và thử thách",9:12
,,,,,,Phần 9: Đi vào hành động,,
,,,,,,,Đi vào hành động,2:28
,,,,,,,Bước tiếp theo,12:44
,,,,,,,Kiểm tra kỹ năng tình yêu của bạn,20 câu hỏi
,,,,,,,Phần 10: Kết luận,
,,,,,,,Xem xét lại thử thách,2:37
,,,,,,,Thưởng: Tán tỉnh qua điện thoại,13:36
,,,,,,,Thưởng: Hẹn hò trực tuyến,13:23
,,,,,,,Phần thưởng hài hước,4:03
,,,,,,,Một từ cuối cùng,6:19
