Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,
Kịch bản phim trị giá triệu đô! Hãy viết bộ phim của chính bạn ngay hôm nay,"
Học các bí quyết đằng sau kịch bản những bộ phim thành công trên thế giới","Paul Castro là biên kịch của Warner Bros và bộ phim đình đám August Rush. Anh đã được nhận được nhiều giải thưởng và là giáo sư về kịch bản. Thành công cũng có nguyên do của nó và những kịch bản giá trị hàng triệu đô cũng vậy.
20 phân đoạn ngắn.
Kĩ thuật viết kịch bản chuyên nghiệp
Phát triển nội dung cho màn ảnh rộng
Tạo ra những nhân vật hấp dẫn để thu hút các ngôi sao điện ảnh
Những đoạn thoại hay
Cấu trúc đóng vai trò như một bản kế hoạch cho bộ phim
Cảnh phim tạo nên sự hồi hộp
Diễn biến kịch bản để kiểm soát dàn diễn viên
Ý tưởng phim tốt để viết một kịch bản nổi bật
Và nhiều hơn thế nữa
Những chuyên gia trong ngành công nghiệp giải trí nhận xét về Paul Castro:
""Một trải nghiệm đầy cảm hứng. Tôi đã hoàn thành lớp học của Paul Castro và cảm thấy sẵn sàng hơn. Thật vô giá"" Rick Rapoza. Đã bán được kịch bản với giá 500 ngàn đô
""Paul đã tạo được tiếng vang về tình yêu và sự cống hiến của ông đối với học viên của mình và viết kịch bản. Ông ấy là một nghệ sĩ và là một giáo viên điềm tĩnh và thực tế nhưng giàu trí tưởng tượng."" Michael Eisner, nguyên tổng giám đốc của Walt Disney
""Paul Castro dạy về viết kịch bản một cách toàn diện"" Richard Walter, chủ tịch của UCLA Screenwriting
""Paul Castro không nằm ngoài dự đoán, cực kì có kĩ năng với những kịch bản của mình"" Bill Badalato, người viết ra Top Gun và Men of honor
""Paul là một trong số những biên kịch giỏi nhất tôi từng biết trong 50 năm có lẻ làm việc trong ngành điện ảnh"" người đã giành giải Oscar Shirly Maclaine
""Thật là một tuyệt tác"" Terrence Howard, người được đề cử Oscar, biên kịch cho Ironman, August rush
""Phong cách dạy của paul Castro hết sức tinh tế"" Sean Astin, người viết kịch bản cho Lord of the rings
""Tôi đã bị buốn đi bởi những hiểu biết của ông ấy về viết kịch bản phim: Ross Greenburg, Nhà sản xuất của Miracle 
""Một nhà biên kịch với ý tưởng mạch lạc và súc tích. Các công cụ cần thiết cho những kịch bản sơ khai cho tới những người làm chuyên nghiệp. Tôi mãi mãi khâm phục"" Yule Caise, biên kịch cho Heroes
""Paul đơn giản là một trong số những người giỏi nhất tôi từng làm việc chung""
Don Ranvaud, biên kịch cho City of God",Một sự sẵn sàng học cách viết để kể câu chuyện mà bạn muốn. Máy tính xác tay hoặc bảng và bút là đủ,"hơn 21 bài giảng với 1.5 giờ nội dung!
Ở cuối khóa học, bạn sẽ có thể tạo ra 1 kịch bản phim hoàn thiện đầy ấn tượng
",Những biên kịch mới hoặc chuyên nghiệp,Phần 1: Hãy viết câu chuyện mà bạn muốn viết. Hãy bắt đầu,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Giới thiệu chung
,,,,,,,Cốt truyện
,,,,,,,Câu tóm tắt truyện
,,,,,,,Tiêu đề
,,,,,,Phần 2: Tạo ra các nhân vật và hình ảnh để đưa bộ phim tới đời thực,
,,,,,,,Vai chính
,,,,,,,Vai phản diện
,,,,,,,Hình ảnh mở đầu
,,,,,,Phần 3: Bố cục của kịch bản là sơ đồ cho chúng ta sáng tạo ngôn ngữ!,
,,,,,,,TÌnh tiết cao trào
,,,,,,,trang 17
,,,,,,,trang 30
,,,,,,,trang 45
,,,,,,,trang 60
,,,,,,,trang 75
,,,,,,,trang 90
,,,,,,,Tình tiết kết thúc
,,,,,,Phần 4: Bí quyết viết kịch bản mà những nhà biên kịch chuyên nghiệp tận dụng và giờ tới lượt bạn,
,,,,,,,Dựng cảnh
,,,,,,,Tuyến nhân vật
,,,,,,,Mạch viết
,,,,,,Phần 5: Sự khác biệt giữa kịch bản để bán và không để bán,
,,,,,,,"Tin tốt, tin xấu, khung giờ, giờ giấc"
,,,,,,,Làm rõ nội dung
,,,,,,,Kết luận
