Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
cac-bai-tap-thien-de-chua-benh,Các bài tập thiền để chữa bệnh,Các bài tập thiền thở bằng các kỹ thuật thở Yoga để giảm căng thẳng và lo âu,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu khóa học,,,,
,,,"Khóa học mang tên ""Các bài tập thiền thở để chữa lành vết thương sử dụng NLP và Yoga"" do Pradeep Aggarwal cung cấp các kỹ thuật thở như ""Pranayam, Dấu hiệu hơi thở, Thở bằng bụng"" với mục đích giúp làm giảm các cơn đau, căng thẳng, lo âu, đau đầu, sợ hãi. Các kỹ thuật thở giúp bạn được thư giãn sâu và đạt được trạng thái thoải mái và yên bình ngay lập tức.",- Máy tính với đường truyền Internet tốc độ cao,- Hơn 9 bài giảng và 35 phút nội dung.,"- Khóa học rất phù hợp với những người hay chơi thể thao và cần được chữa lành các vết thương, giải tỏa các căng thẳng, lo âu và đau đầu.",,Giới thiệu,2:16,Video,
,,,Khóa học gồm hơn 30 phút nội dung video và 9 bài giảng.,- Tai nghe,"- Tới cuối khóa học, bạn sẽ thành thạo các kỹ thuật thở để làm giảm căng thẳng, bớt đau đầu, vượt qua các cơn đau và chấn thương của cơ thể, đồng thời đạt được trạng thái thư giãn sâu ngay lập tức.",- Khóa học này cũng phù hợp với những người làm việc trong môi trường áp lực cao và lịch làm việc dày đặc. Các kỹ thuật thở giúp cơ thể đạt được trạng thái thư giãn sâu và giải thoát khỏi các căng thẳng.,Phần 2: Bài tập thiển thở cho chữa lành bằng NLP,,,,
,,,Các kỹ thuật vô cùng lí tưởng và phù hợp cho những người chơi thể thao và những người có lịch làm việc bận rộn:,- Không gian yên tĩnh,"- Bạn cũng sẽ có khả năng chữa lành vết thương cho người khác bằng các kỹ thuật thở và giúp họ vượt qua những sợ hãi, lo âu.",- Không có giới hạn về tuổi tác.,,"Bài tập thở ""Pranayam""",4:05,Video,
,,,Khóa học bao gồm:,- Tập trung cao độ,,,,"Bài tập thở ""Dấu hiệu hơi thở""",2:17,Video,
,,,Giới thiệu,- Sổ và bút,,,,"Bài tập thở ""Thư giãn để giảm căng thẳng""",2:56,Video,
,,,"Bài tập thở ""Pranayam""","- Thảm Yoga (khuyến khích, không bắt buộc)",,,,Làm thế nào để chữa lành vết thương bằng các bài tập thở,3:57,Video,
,,,"Bài tập thở ""Dấu hiệu hơi thở""",,,,,Bài tập thở giảm đau đầu,2:55,Video,
,,,"Bài tập thở ""Thư giãn để giảm căng thẳng""",,,,,Bài tập thở bụng,3:55,Video,
,,,Làm thế nào để chữa lành vết thương bằng các bài tập thở?,,,,,Học cách thư giãn sâu nhờ các kỹ thuật thở,10:20,Video,
,,,Bài tập thở giảm đau đầu,,,,Phần 3: Tổng kết khóa học,,,,
,,,Bài tập thở bụng,,,,,Tổng kết,2:43,Video,
,,,Học cách thư giãn sâu nhờ các kỹ thuật thở,,,,,,,,
,,,Tổng kết khóa học,,,,,,,,
