Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
nhung-dieu-thu-vi-ve-tieng-bo-dao-nha-cua-nguoi-brazil,Những điều thú vị về tiếng Bồ Đào Nha của người Brazil,"Học tiếng Bồ Đào Nha thông dụng của người Brazil trong các buổi học ngắn, thú vị!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Giới thiệu,2:01,Video,
,,,"Khóa học ""Những điều thú vị về tiếng Bồ Đào Nha của người Brazil""sẽ dạy bạn những cấu trúc và từ vựng mà bạn cần biết để có thể giao tiếp trong các tình huống thực tế ở Brazil. Bạn sẽ học các chiêu thức để nói chuyện một cách tự nhiên và tự tin hơn, cũng như hiểu cách người Brazil giao tiếp như thế nào trong các cuộc trò chuyện thân mật hàng ngày như thế nào.",KHÓA HỌC NÀY DÀNH CHO:,Hơn 99 bài giảng và 8 giờ nội dung!,Những người đến Brazil vì công việc.,,Cách sử dụng khóa học này,Văn bản,Document,
,,,,Những người đến Brazil vào kỳ nghỉ hoặc đi công tác và cần học những kiến thức cơ bản để có thể hiểu các tình huống hằng ngày.,CHÀO HỎI,Những người đi du lịch đến Brazil vào kỳ nghỉ.,Phần 1: Tạo mối quan hệ xã hội,,,,
,,,,"Những người đi đến Brazil dự World Cup 2014 và/hoặc Thế vận hội Olympic Mùa hè vào năm 2016, hoặc đến xem hoặc đến để làm việc trong các sự kiện này, tuy nhiên lại không có kiến ​​thức về ngôn ngữ.",HỎI AI ĐÓ NHƯ THẾ NÀO,Những người muốn học những kiến thức cơ bản để có thể giao tiếp với các đối tác/bạn bè người Brazil của họ.,,Chào hỏi,9:49,Video,
,,,,Những người có các đối tác/gia đình/bạn bè là người Brazil và muốn có khả năng nói tiếng Bồ Đào Nha với họ.,GIỚI THIỆU BẢN THÂN,Những người có một số kiến ​​thức về ngôn ngữ người muốn ôn lại các cấu trúc và từ vựng cơ bản để được áp dụng cho các tình huống thực tế.,,Ghi chú,4 trang,Document,
,,,,Những người yêu tất cả mọi thứ của người Brazil và sẽ yêu thích việc học ngôn ngữ!,GIỚI THIỆU GIA ĐÌNH CỦA BẠN,Những người muốn học tiếng Bồ Đào Nha chỉ để cho vui!,,Hỏi ai đó như thế nào (Phần 1),5:54,Video,
,,,,"Những người đã có sẵn một số kiến ​​thức về tiếng Bồ Đào Nha của người Brazil, nhưng muốn ôn tập lại các cấu trúc và từ vựng phổ biến nhất cho các tình huống hằng ngày.",NÓI BẠN ĐẾN TỪ ĐÂU,,,Ghi chú,1 trang,Document,
,,,,KHÓA HỌC NÀY KHÔNG DÀNH CHO:,NÓI VỀ NGÔN NGỮ,,,Đại từ nhân xưng làm chủ ngữ,7:01,Video,
,,,,Những người có kiến ​​thức trung cấp/ nâng cao về tiếng Bồ Đào Nha bởi vì bạn có thể nhận thấy khóa học này quá dễ!,NÓI VỀ CÔNG VIỆC CỦA BẠN,,,Ghi chú,2 trang,Document,
,,,,Những người chỉ quan tâm đến tiếng Bồ Đào Nha trang trọng.,THÍCH VÀ KHÔNG THÍCH,,,Hỏi ai đó như thế nào (Phần 2),4:09,Video,
,,,,Những người chỉ quan tâm đến việc học ngữ pháp tiếng Bồ Đào Nha.,THU HÚT SỰ CHỨ Ý CỦA AI ĐÓ,,,Ghi chú,1 trang,Document,
,,,,** Khóa học này CÓ THỂ tải về! **,HỎI CÁCH ĐÁNH VẦN VÀ PHÁT ÂM MỘT TỪ,,Phần 2: Hỏi và đưa thông tin cá nhân,,,,
,,,,"Nếu kết nối internet của bạn chậm, hoặc bạn muốn tham dự khoá học này với bạn trên máy tính xách tay, điện thoại thông minh của bạn hoặc thiết bị cầm tay khác, đăng ký và tải về tất cả các video ngay bây giờ!",CHẮC CHẮN RẰNG BẠN HIỂU NHỮNG GÌ BẠN ĐANG NÓI,,,Giới thệu bản thân,4:27,Video,
,,,,,CHỈ RA RẰNG BẠN ĐANG NGHE,,,Ghi chú,3 trang,Document,
,,,,,DUY TRÌ CÁC CUỘC HỘI THOẠI,,,Giói thiệu gia đình của bạn,7:41,Video,
,,,,,XIN LỖI,,,Ghi chú,5 trang,Document,
,,,,,BÀY TỎ SỰ BIẾT ƠN,,,Nói về quốc gia của bạn,10:06,Video,
,,,,,BÀY TỎ MONG MUỐN,,,Ghi chú,2 trang,Document,
,,,,,NÓI TẠM BIỆT,,,Nói bạn đến từ đâu,6:10,Video,
,,,,,BẢNG CHỮ CÁI,,,Ghi chú,3 trang,Document,
,,,,,HƯỚNG DẪN PHÁT ÂM,,,Nói về bạn sống ở đâu,4:32,Video,
,,,,,SỐ ĐẾM,,,Ghi chú,3 trang,Document,
,,,,,"NGÀY TRONG TUẦN, THÁNG VÀ MÙA",,,Nói về ngôn ngữ,4:10,Video,
,,,,,NÓI VỀ THỜI GIAN,,,Ghi chú,3 trang,Document,
,,,,,LÀM THỦ TỤC TẠI SÂN BAY,,,Nói về công việc của bạn,7:39,Video,
,,,,,GIAO THÔNG CÔNG CỘNG,,,Ghi chú,3 trang,Document,
,,,,,BẮT TAXI,,,Thích và không thích,8:53,Video,
,,,,,ĐẶT PHÒNG KHÁCH SẠN,,,Ghi chú,5 trang,Document,
,,,,,PHÀN NÀN TẠI KHÁCH SẠN,,Phần 3: Chiến lược cơ bản để  giao tiếp,,,,
,,,,,HỎI ĐƯỜNG,,,Thu hút sự chú ý của ai đó,6:12,Video,
,,,,,NÓI VỀ NHỮNG GÌ BẠN SẼ LÀM,,,Ghi chú,1 trang,Document,
,,,,,MỜI AI ĐÓ LÀM GÌ,,,Hỏi cách đánh vần và phát âm một từ,4:10,Video,
,,,,,GỌI MÓN ĂN VÀ ĐỒ UỐNG,,,Ghi chú,1 trang,Document,
,,,,,MUA SẮM,,,Chắc chắn rằng bạn hiểu những gì bạn đang nói,4:32,Video,
,,,,,TIỀN TỆ CỦA NGƯỜI BRAZIL / CÁCH ĐỔI TIỀN,,,Ghi chú,1 trang,Document,
,,,,,CÁC TRƯỜNG HỢP KHẨN CẤP VỀ SỨC KHỎE,,,Chỉ ra rằng bạn đang nghe,11:28,Video,
,,,,,TRÊN BÃI BIỂN,,,Ghi chú,1 trang,Document,
,,,,,THAM QUAN,,,Duy trì các cuộc hội thoại,9:27,Video,
,,,,,GIẢI TRÍ,,,Ghi chú,1 trang,Document,
,,,,,TÁN TỈNH,,,Xin lỗi,4:37,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Bày tỏ sự biết ơn,8:24,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Bày tỏ mong muốn,4:51,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Nói tạm biệt,5:31,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,Phần 4: Pha trộn,,,Video,
,,,,,,,,Bảng chữ cái,4:46,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Cách phát âm của nguyên âm,10:17,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Cách phát âm của phụ âm,14:23,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Số đếm,8:31,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,"Ngày trong tuần, tháng, mùa",3:22,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,,Nói về thời gian(Phần 1),10:21,Video,
,,,,,,,,Nói về thời gian(Phần 2),9:56,Video,
,,,,,,,,Ghi chú,3 trang,Document,
,,,,,,,Phần 5: Phương tiện đi lại,,,Video,
,,,,,,,,Làm thủ tục tại sân bay,8:04,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Hình thức giao thông vận tải,5:15,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,,Giao thông công cộng,9:53,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,bắt Taxi,5:40,Video,
,,,,,,,,Ghi chú,1 trang,Document,
,,,,,,,Phần 6: Điều kiện vật chất,,,Video,
,,,,,,,,Đặt phòng khách sạn,9:35,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,,Phàn nàn tại khách sạn,10:54,Video,
,,,,,,,,Ghi chú,2 trang,Document,
,,,,,,,"Mục 7: Giới từ ""Ngoài"" và ""Về""",,,Video,
,,,,,,,,Hỏi đường,11:53,Video,
,,,,,,,,Ghi chú,3 trang,Document,
