Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
thiet-ke-web-can-ban,Thiết Kế Web Căn Bản,"Học về HTML (tiếng Anh, viết tắt cho HyperText Markup Language, hay là “Ngôn ngữ Đánh dấu Siêu văn bản”), ngôn ngữ đánh dấu được thiết kế ra để tạo nên các trang World Wide Web",https://youtu.be/fzh_qCM5a-o?list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1 : Thiết kế website cá nhân đơn giản,,,,
,,,,GIỚI THIỆU SƠ LƯỢC về HTML:,Cần phải có kiến thức cơ bản về HTML và JavaScript cũng như cách vận dụng.,Mục tiêu của khóa học này là giúp cho các bạn biết cách kết hợp và vận dụng giữa HTML và JavaScript để có thể làm quen với cách hoạt động của nó.,Những người đã có kiến thức về lập trình và muốn cải thiện web của mình tốt hơn nữa.,,"Tìm hiểu cặp thẻ img, center, b, h1, Ul",11:00,Video,https://www.youtube.com/watch?v=jWela0d_oJU&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=3
,,,,"HTML (tiếng Anh, viết tắt cho HyperText Markup Language, hay là “Ngôn ngữ Đánh dấu Siêu văn bản”) là một ngôn ngữ đánh dấu được thiết kế ra để tạo nên các trang web với các mẩu thông tin được trình bày trên World Wide Web. HTML được định nghĩa như là một ứng dụng đơn giản của SGML và được sử dụng trong các tổ chức cần đến các yêu cầu xuất bản phức tạp. HTML đã trở thành một chuẩn Internet do tổ chức World Wide Web Consortium (W3C) duy trì. Phiên bản chính thức mới nhất của HTML là HTML 4.01 (1999). Sau đó, các nhà phát triển đã thay thế nó bằng XHTML. Hiện nay, HTML đang được phát triển tiếp với phiên bản HTML5 hứa hẹn mang lại diện mạo mới cho Web.",Cần có máy tính.,,,,Tạo đường link với cặp thẻ a,10:00,Video,https://www.youtube.com/watch?v=brxgLMyIP6Y&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=4
,,,,"Bằng cách dùng HTML động hoặc Ajax, lập trình viên có thể được tạo ra và xử lý bởi số lượng lớn các công cụ, từ một chương trình soạn thảo văn bản đơn giản – có thể gõ vào ngay từ những dòng đầu tiên – cho đến những công cụ xuất bản WYSIWYG phức tạp.",,,,,"Tìm hiểu cặp thẻ font, dl, dt và dd",13:00,Video,https://www.youtube.com/watch?v=g5U2-x4EMaM&index=5&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,"HTML không phải là ngôn ngữ lập trình, nó là ngôn ngữ trình bày.",,,,,Tạo bảng với cặp thẻ table phần 1,8:00,Video,https://www.youtube.com/watch?v=XjWLW-6SxwU&index=6&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,"Như các bạn biết ngày nay hầu hết tất cả các website đều áp dụng giữa HTML, JavaScript để xử lý website được tốt hơn, mượt hơn theo đúng yêu cầu của khách hàng. Mục tiêu của khóa học này là giúp cho các bạn biết cách kết hợp và vận dụng giữa HTML và JavaScript để có thể làm quen với cách hoạt động của nó, đồng thời giúp các bạn cũng cố lại kiến thức ở 2 khóa học HTML căn bản và JavaScript Căn Bản cũng như cách vận dụng. Vậy các bạn còn chờ gì nữa hãy đến với khóa học Thiết Kế Web Căn Bản với HTML ngay nào!",,,,,Tạo bảng với cặp thẻ table phần 2,13:00,Video,https://www.youtube.com/watch?v=tNi0H9l_ffc&index=7&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo bảng với cặp thẻ table phần 3,04:00,Video,https://www.youtube.com/watch?v=AkehFpUvHMk&index=8&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo bảng với cặp thẻ table phần 4,7:00,Video,https://www.youtube.com/watch?v=n0Lrp64tSFg&index=9&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo bảng với cặp thẻ table phần 5,12:00,Video,https://www.youtube.com/watch?v=9UnNJmR-Tbs&index=10&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tìm hiểu và sử dụng cặp thẻ input phần 1,11:00,Video,https://www.youtube.com/watch?v=kWzBK9haLaM&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=11
,,,,,,,,,Tìm hiểu và sử dụng cặp thẻ input phần 2,7:00,Video,https://www.youtube.com/watch?v=R2_w6UAiXhA&index=12&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tìm hiểu cặp thẻ select và radio,10:00,Video,https://www.youtube.com/watch?v=k7MtbxSTJiw&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=13
,,,,,,,,,Tìm hiểu cặp thẻ textarea,6:00,Video,https://www.youtube.com/watch?v=Nha7bK31y-Q&index=14&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tìm hiểu và sử dụng cặp thẻ frameset,8:00,Video,https://www.youtube.com/watch?v=VcEeu2lTDuE&index=15&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,Chương 2 : Thiết kế website cá nhân nâng cao,,,,
,,,,,,,,,Tạo trang giới thiệu,18:00,Video,https://www.youtube.com/watch?v=DfdFAfvVK4g&index=16&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Xử lý đổi màu text khi click vào button,10:00,Video,https://www.youtube.com/watch?v=arECiY1Bq54&index=17&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo trang sở thích,8:00,Video,https://www.youtube.com/watch?v=HsUT57CbWSs&index=18&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Tạo trang Project,24:00,Video,https://www.youtube.com/watch?v=qVRKr73eZBY&index=19&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,,,,,,Xây dựng Menu trang chủ,12:00,Video,https://www.youtube.com/watch?v=8EjXkCP3rbE&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=20
,,,,,,,,,Đổi màu menu,13:00,Video,https://www.youtube.com/watch?v=faK-kLqHxWU&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=21
,,,,,,,,,Load nội dung trang tương ứng với mỗi menu,5:00,Video,https://www.youtube.com/watch?v=EbdaTnoIPAk&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=22
