Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
lap-trinh-sap-abap-cho-nguoi-moi-bat-dau-2014-dao-tao-truc-tuyen,Lập trình SAP ABAP cho người mới bắt đầu - 2014 - Đào tạo trực tuyến.,Học lập trình SAP ABAP cùng với Peter Moxon. Hỗ trợ Học chứng chỉ - Kết nối Trọn đời + Cập nhật!,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Tổng quan về hệ thống SAP,Truy cập Hệ thống SAP,Văn bản,Text,
,,,"Bây giờ, bạn có thể tham gia cùng với hơn 2850 học viên trong khóa học đào tạo lập trình SAP ABAP bằng Video cho người mới bắt đầu.",- Trình độ yêu cầu đối với người dùng là hiểu được cách điều hướng SAP GUI.,"- Hơn 133 bài giảng và 13,5 giờ nội dung.",- Tất cả mọi người.,,Tổng quan về hệ thống SAP,0:41,Video,
,,,Hãy ghé thăm trang saptrainghq để tải các tài liệu phụ trợ cho khóa học.,,- Nhận được công việc đầu tiên của bạn trong lĩnh vực SAP.,- Từ người mới bắt đầu đến các nhà tư vấn về SAP.,,Cấu trúc của hệ thống SAP,5:41,Video,
,,,SAP ABAP là một ngôn ngữ lập trình cho doanh nghiệp phổ biến được phát triển bởi SAP và được sử dụng bởi những tổ chức lớn nhất trên thế giới để điều hành hệ thống kinh doanh của họ.,,- Nâng cao kỹ năng SAP hiện tại của bạn.,- Những nhà tư vấn chức năng của SAP muốn học về ABAP.,,Môi trường làm việc cho các Chương trình,8:19,Video,
,,,"Trong khóa học về SAP ABAP này, giảng viên sẽ giới thiệu đến bạn những kĩ năng cơ bản cần thiết để hiểu về SAP ABAP và bắt đầu tạo ra chương trình ABAP của riêng bạn.",,"- Các video bài giảng chuyên sâu, đầy đủ thông tin và thú vị.",- Các thành viên trong Đội Dự án của SAP.,,Cái nhìn đầu tiên về ABAP Workbench,11:18,Video,
,,,"Bạn sẽ học bằng cách xem tác giả thực sự thực hiện các hoạt động mà ông đang hướng dẫn, như ông giải thích từng bước làm thế nào để tạo ra và chỉnh sửa mã ABAP. Khóa đào tạo sẽ giải thích về SAP ABAP từ nền tảng, bắt đầu với những điều cực kỳ cơ bản để đảm bảo bạn biết được rằng hệ thống lập trình doanh nghiệp SAP này tuyệt vời tới mức nào. Ông ấy sẽ từ từ nâng cao kiến thức lên những yếu tố chủ chốt của việc phát triển ABAP, cũng như giới thiệu những khái niệm mới và các thành phần ngôn ngữ có trong SAP. Ông cũng sẽ đề cập đến những chủ đề như xây dựng giao diện báo cáo và mô-đun hóa chương trình của bạn với ""Đề cập"" ""Cấu trúc"" và ""Mô hình tính năng"".",,Giúp bạn vượt qua bài kiểm tra chứng chỉ SAP ABAP,Sinh viên đại học muốn dẫn đầu trong học tập,,Làm thế nào để có được chứng nhận hoàn thành khóa học?,3 trang,Document,
,,,Khóa học đào tạo này không chỉ cho bạn một cái nhìn toàn diện về cách ngôn ngữ lập trình SAP vận hành mà nó còn giúp cho bất cứ ai tham gia khóa học sẽ hoàn toàn không còn khó khăn trong việc hiểu về tất cả các chủ để sẽ được thảo luận.,,Liên hệ trực tiếp với giảng viên thông qua nền tảng Tudemy,Tư vấn viên SAP BASIS muốn mở rộng kiến thức,Phần 2: Từ điển dữ liệu,,,,
,,,"Khóa học đào tạo này giúp bạn học SAP ABAP một cách dễ dàng, bạn sẽ viết và kiểm thử mã của chính bạn trong nháy mắt. Để không làm cho bạn sa lầy với đống lý thuyết, khóa học này tập trung vào học tập thông qua thực hành và nó bao gồm đầy đủ từng bước ví dụ thực hành giúp bạn tạo được code ngay từ ngày đầu tiên.",,,Tư vấn viên SAP BW - ABAP đóng vai trò TO LỚN trong vai trò tư vấn viên này,,Hướng dẫn về từ điển dữ liệu,1:44,Video,
,,,"Dù bạn mới học lập trình hay mới học ABAP đi nữa, khóa học về SAP ABAP này sẽ hướng dẫn cho bạn để nhanh chóng bắt kịp sự phát triển phần mềm thương mại thực tế.",,,,,Tạo ra bảng đầu tiên - Phần 1,5:18,Video,
,,,"Đa số các khóa học SAP tốn hàng ngàn đô la và chỉ cho phép bạn chạm tới bề mặt những gì nó có thể làm. Trong khi một chương trình đào tạo SAP ABAP dễ dàng có thể mất hơn 50 ngày để hoàn thành việc học tập toàn thời gian với SAP, sẽ không có gì gần về mặt chất lượng với khóa học này. Khóa học được cung cấp bởi giảng viên, người đã làm việc với SAP ABAP và SAP BW trong hơn 12 năm.",,,,,Tạo ra bảng đầu tiên - Phần 2,16:10,Video,
,,,"Bằng việc hoàn thành khóa đào tạo trực tuyến này, bạn sẽ được diễn tả đầy đủ, và có khả năng làm việc với các chương trình ABAP, cũng như tạo ra các chương trình ABAP của riêng bạn trong một môi trường thương mại.",,,,,Tạo ra bảng đầu tiên - Phần 3,8:49,Video,
,,,,,,,,Tạo ra bảng đầu tiên - Phần 4,6:39,Video,
,,,,,,,,Nhập dữ liệu vào bảng,5:01,Video,
,,,,,,,,Hiển thị dữ liệu trong bảng,4:07,Video,
,,,,,,,Phần 3: Giới thiệu Chức năng chỉnh sửa bằng ABAP,,,,
,,,,,,,,Tạo ra chương trình đầu tiên của bạn - Phần 1,5:43,Video,
,,,,,,,,Tạo ra chương trình đầu tiên của bạn - Phần 2,8:07,Video,
,,,,,,,,Viết câu lệnh,21:47,Video,
,,,,,,,,Xâu chuỗi các câu lệnh,2:22,Video,
,,,,,,,,Khai báo biến,14:13,Video,
,,,,,,,,Hằng số,2:39,Video,
,,,,,,,Phần 4: Thực hiện tính toán,,,,
,,,,,,,,Phép tính số học - Phép cộng,5:14,Video,
,,,,,,,,Phép tính số học - Phép trừ,1:02,Video,
,,,,,,,,Phép tính số học - Phép chia,0:45,Video,
,,,,,,,,Phép tính số học - Phép nhân,1:58,Video,
,,,,,,,,Các quy luật đảo,4:41,Video,
,,,,,,,,Sự phân chia biến,8:57,Video,
,,,,,,,Phần 5: Các chuỗi ký tự,,,,
,,,,,,,,Các chuỗi ký tự khai báo trường C và N,7:30,Video,
,,,,,,,,Chuỗi ký tự Intro và Concatenate,6:48,Video,
,,,,,,,,Sự ngưng tụ,3:03,Video,
,,,,,,,,Tìm độ dài của một chuỗi,1:58,Video,
,,,,,,,,Thay thế,2:53,Video,
,,,,,,,,Tìm kiếm,8:00,Video,
,,,,,,,,Di chuyển,5:25,Video,
,,,,,,,,Tách,6:26,Video,
,,,,,,,,Các trường phụ,4:44,Video,
,,,,,,,Phần 6: Sửa lỗi cho chương trình của bạn,,,,
,,,,,,,,Sửa lỗi cho chương trình của bạn - Phần 1,4:57,Video,
,,,,,,,,Sửa lỗi cho chương trình của bạn - Phần 2,4:23,Video,
,,,,,,,,Sửa lỗi cho chương trình của bạn - Phần 3,4:13,Video,
,,,,,,,,Biến hệ thống,1:09,Video,
,,,,,,,,Chế độ bảng biểu,3:31,Video,
,,,,,,,,Breakpoints (điểm ngắt),3:31,Video,
,,,,,,,,Watchpoints (điểm giám sát),6:02,Video,
,,,,,,,,Kết thúc quá trình sửa lỗi của bạn,1:16,Video,
,,,,,,,Phần 7: Làm việc với bảng cơ sở dữ liệu,,,,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: tạo bản sao chép cho bảng biểu của bạn,12:54,Video,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: khóa ngoại,7:03,Video,
,,,,,,,,Trợ giúp tìm kiếm cho trường GENDER,1 trang,Document,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: Thêm cấu trúc,5:40,Video,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: Gom cấu trúc,7:12,Video,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: Các khóa trường,6:11,Video,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: Xóa các trường,10:37,Video,
,,,,,,,,Làm việc với bảng cơ sở dữ liệu: Xóa bảng,5:34,Video,
,,,,,,,Phần 8: Làm việc với các kiểu dữ liệu khác,,,,
,,,,,,,,Trường ngày tháng và thời gian,8:34,Video,
,,,,,,,,Trường ngày tháng trong tính toán,10:32,Video,
