Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
salesforce-dao-tao-co-ban-cho-quan-ly-va-cac-nha-phat-trien,Salesforce: Đào tạo cơ bản cho quản lý và các nhà phát triển,Học cách sử dụng sức mạnh của công nghệ Salesforce và trở thành một tài nguyên kinh doanh không thể thiếu.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Thực hành quản trị toàn bộ Saleforce từng bước một.,,,,
,,,Điện toán đám mây là một trong những công nghệ hiệu quả và đáng mong đợi nhất ngày nay.,- Salsforce là một nền tảng điện toán đám mây vì thế chỉ cần một chiếc máy tính có kết nối Internet là được.,"- Hơn 48 bài giảng và 6,5 giờ nội dung.","- Khóa học này dành cho bất cứ ai muốn làm nhà phát triển, quản lý, tư vấn viên hoặc người dùng.",,Làm quen,4:33,Video,
,,,"Dù bạn là một lập trình viên giàu kinh nghiệm hay người mới dùng máy tính và đang tìm kiếm khóa học cơ bản về Saleforce ở ngay trong nhà bạn thì khóa học này chính là dành cho bạn. Không quan trọng nền tảng kiến thức của bạn thế nào, khóa học này sẽ giúp bạn bộc lộ nguồn lực vô hạn của mình qua việc học về loại công nghệ mạnh mẽ này dựa trên kỹ năng được mong đợi nhất hiện này - Công nghệ điện toán đám mây.",- Bạn sẽ có một tài khoản miễn phí trọn đời để thực hành theo giống như những gì tôi sẽ trình bày video thứ 2.,"- Kết thúc khóa học này, bạn sẽ có thể làm việc với Saleforce như một chuyên gia.",,,Nền tảng Saleforce và tổng quan các tính năng,4:59,Video,
,,,"Khóa học này bao gồm các hướng dẫn từng bước về cả phần Quản trị và Phát triển Saleforce CRM, đề cập tới tất cả các chủ đề như App, Objects, Profiles, Security, Workflows, Visualforce page, Apex Controllers, Triggers và hơn thế nữa.",,Khóa học này sẽ bao gồm cả hai phần Khai báo và Lập trình của Saleforce,,,Tạo ra ứng dụng và đối tượng đầu tiên,6:44,Video,
,,,SFDC có nhu cầu lớn về những chuyên gia đầy kỹ năng với cơ cấu lương đặc biệt. Khóa học này bao gồm những hướng dẫn hiệu quả với giải thích rõ ràng.,,,,,Tạo các trường trên đối tượng đầu tiên của bạn,7:33,Video,
,,,Khóa học này được cập nhật thường xuyên mỗi khi phiên bản mới nhất của Salefforce tung ra và nó cũng bao gồm những ví dụ để giúp bạn nhận được trang bị đầy đủ kỹ năng.,,,,,Tạo hóa đơn và các đối tượng con,13:48,Video,
,,,"Một khi bạn đã đăng ký, bạn sẽ được tham gia khóa học trọn đời, không có bất kỳ giới hạn nào cả.",,,,,Tạo các trường trên đối tượng,5:47,Video,
,,,,,,,,Hiểu và tạo sự liên kết giữa các đối tượng,10:56,Video,
,,,,,,,,Tạo liên kết giữa các đối tượng con và Trường Rollup Summary,7:57,Video,
,,,,,,,,Hiểu về quy trình làm việc và tạo một quy trình làm việc cho Trường Cập nhật giá,10:03,Video,
,,,,,,,,Tạo quy trình làm việc để khấu trừ hàng dự trữ trong kho,9:57,Video,
,,,,,,,,Quy luật giá trị để kiểm tra hàng sẵn có.,7:31,Video,
,,,,,,,,Quy luật giá trị để tạo một Trường Bắt buộc,5:40,Video,
,,,,,,,,Quy luật giá trị và Trường Phụ thuộc,9:24,Video,
,,,,,,,,Quy luật giá trị để khóa Hồ sơ con dựa trên hồ sơ mẹ,8:15,Video,
,,,,,,,,Làm thế nào để đổ màu cho các Trường bằng Picklist,11:16,Video,
,,,,,,,,Các loại hồ sơ và Bố cục trang,7:31,Video,
,,,,,,,,Quy trình CRM,8:50,Video,
,,,,,,,,Opportunity Product và Price Books,5:05,Video,
,,,,,,,,Quy trình Lead và Quy trình Sales,7:30,Video,
,,,,,,,,OWD và truy cập mạng,5:27,Video,
,,,,,,,,"Users, Roles and Profiles",8:21,Video,
,,,,,,,,"OWD, thực hành Roles và Profiles",10:02,Video,
,,,,,,,,Tất cả các loại ID,3:29,Video,
,,,,,,,,Bộ nạp dữ liệu,10:22,Video,
,,,,,,,,Làm thế nào để cấp quyền truy cập để quản trị hệ thống,2:29,Video,
,,,,,,,Phần 2: Học lập trình Saleforce từng bước,,,,
,,,,,,,,Giới thiệu về lập trình Saleforce và tạo ra trang Visualforce của bạn,9:19,Video,
,,,,,,,,Khóa trang và đặt nhãn cho các trường,6:24,Video,
,,,,,,,,Trang Visualforce để quan sát các đối tượng liên quan,5:47,Video,
,,,,,,,,Hiện chi tiết về các báo cáo động,9:38,Video,
,,,,,,,,ActionSupport và EventHandler,4:43,Video,
,,,,,,,,Kiểm soát danh sách tiêu chuẩn,6:28,Video,
,,,,,,,,Trang Visualforce với chức năng quản trị khách hàng (Apex Class),8:40,Video,
,,,,,,,,Quản trị khách hàng (Apex Class) để tạo và cập nhật Hồ sơ,3:35,Video,
,,,,,,,,Danh sách chọn và Tùy chọn,6:41,Video,
,,,,,,,,SOSL - Ngôn ngữ tìm kiếm đổi tượng ,8:43,Video,
,,,,,,,,Giới thiệu về Saleforce Trigger,4:41,Video,
,,,,,,,,Thực hành với Trigger để tính các tác vụ mở cho Lead,18:10,Video,
,,,,,,,,Cập nhật Trigger trong liên kết với Lookup,19:14,Video,
,,,,,,,,Thực hành: cập nhật trường Saleforce Trigger trong Lead dựa trên các thành viên của dự án,17:19,Video,
,,,,,,,Phần 3: Phân tich,,,,
,,,,,,,,Giới thiệu về Reports (báo cáo),6:52,Video,
,,,,,,,,Báo cáo tổng kết,6:39,Video,
,,,,,,,,Trường Bucket,3:07,Video,
,,,,,,,,Thêm biểu đồ vào báo cáo,4:12,Video,
,,,,,,,,Báo cáo ma trận,7:05,Video,
,,,,,,,Phần 4: Câu hỏi ôn tập để nhận chứng chỉ,,,,
,,,,,,,,201 Câu hỏi ôn tập ADM ,9 trang ,Document,
,,,,,,,,201 Câu hỏi ôn tập ADM phần 2,11 trang ,Document,
,,,,,,,,201 Câu hỏi ôn tập ADM phần 3,9 trang ,Document,
,,,,,,,,401 Câu hỏi ôn tập Dev ,20 trang ,Document,
