Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Chế độ ăn uống giảm cân không ràng buộc: Tư duy giúp giảm cân lâu dài,"Giảm cân lâu dài và vượt qua cảm giác thèm ăn để thay đổi sự ràng buộc vào thực phẩm, cảm thấy khỏe mạnh mà không cần ăn kiêng.","Giảm 50% từ $95 xuống chỉ còn $60 trong thời gian có hạn
Nếu bạn đã ăn kiêng theo các chế độ giảm cân mà vẫn không thể duy trì việc giảm cân và vóc dáng mà bạn muốn, thì đây là khóa học dành cho bạn bởi bạn sẽ được học một kỹ năng giúp bạn làm điều đó.
Loại bỏ cảm giác thèm ăn sô cô la để giảm cân nhanh chóng
Loại bỏ cảm giác thèm ăn thực một loại thức ăn nào đó để giảm cân nhanh chóng và lâu dài
Loại bỏ việc ăn uống thoải mái để giảm cân lâu dài
Để bắt đầu giảm cân lâu dài và dễ dàng quản lý, tôi sẽ dạy bạn một kỹ năng gọi là EFT (Emotional Freedom Technique - Sự tự do trong cảm xúc) thông qua đoạn video dần dần từng bước sẽ giúp bạn loại bỏ cảm giác thèm ăn các loại thức ăn cụ thể thường gây cản trở cho những nỗ lực loại bỏ trọng lượng dư thừa và cải thiện kết quả cho giảm cân lâu dài.
Tôi sẽ hướng dẫn bạn qua từng bài tập để giúp bạn có được những kỹ thuật dễ dàng và hiệu quả để bắt đầu tạo ra sự thay đổi mà bạn mong muốn. Tôi sen hướng dẫn bạn cách loại bỏ cảm giác thèm ăn sô cô la trong vòng chưa đầy 10 phút.
Để chứng minh điều này là có thể, tôi đã thêm một bản ghi âm tác nghiệp trực tiếp của tôi trên đài phát thanh ở Ireland với người dẫn chương trình phát thanh Gerry Kelly về việc giúp anh ta loại bỏ chứng thèm sô cô la của mình.
Tôi cũng sẽ dạy bạn làm thế nào để vận dụng EFT với các chứng thèm ăn khác để đạt được Phần tiêu giảm cân lâu dài của bạn.
Sau đó tôi sẽ dạy bạn làm thế nào để sử dụng các kỹ năng tương tự với sự thèm ăn bộc phát mà đã khiến bạn ăn quá nhiều và huỷ hoại các nỗ lực giảm cân trước đó.
Nhưng trước khi bạn bắt đầu tạo ra bất kỳ thay đổi trên tôi sẽ hướng dẫn bạn thông qua một bài tập sẽ giúp bạn hình dung theo cách bạn muốn để bạn biết những gì bạn cần từ khóa học này trước khi bạn bắt đầu học cách giảm cân lâu dài để sau khoảng 21 ngày bạn sẽ có thể nhận ra những thay đổi tích cực trong cơ thể và phong cách sống của bạn và mối liên hệ với thức ăn chỉ vì bạn đã hoàn toàn tham gia vào khóa học này.
Vì tôi đã tạo ra khóa học này để mô phỏng các phiên làm việc mà tôi đã thực hiện với những khách hàng giảm cân thành công ngay tại đây trong phòng điều trị của tôi ở County Cavan Ireland. Tôi cũng sẽ giúp bạn thiết lập một cách thức suy nghĩ mới với liệu pháp thôi miên riêng tư  mà một lần nữa lại được mô phỏng từ công việc với khách hàng của tôi để lập trình lại trí óc của bạn trở thành 'slim thinking' với việc giảm cân lâu dài có thể quản lý được.
Tất cả Video đều có thể tải về để dễ dàng truy cập ngoại tuyến.

Học cách hình dung bạn muốn ngoại hình của mình trông như thế nào
Học EFT (Emotional Freedom Technique) và cách áp dụng nó
Loại bỏ cảm giác thèm ăn 1 loại thực phẩm đặc biệt
Đánh bại những kích thích ăn uống ngay từ ban đầu.
Tìm hiểu cách để kích thích tâm trạng tốt bất cứ lúc nào
Nghe ba phần thu âm riêng về thôi miên
Rà soát tiến độ của bạn với buổi tập huấn
Sau 21 ngày, thông báo các kết quả hiện trạng và biết rằng bạn sẽ tiếp tục bởi vì bạn đã tham gia khoá học này.","Có một tinh thần cởi mở và xác định Phần đích tham gia vào tất cả các bài tập và bạn sẽ được tận hưởng những lợi ích mà EFT mang lại.
Có một không gian yên tĩnh đảm bảo bạn không bị quấy rầy để hoàn thành tất cả các bài tập
Máy in để in một số văn bản cần tải xuống
Nếu không có sẵn máy in thì sẽ cần đến một cây bút và giấy
Việc giảm cân lâu dài khả thi mà không cần đến sức mạnh ý chí hoặc chế độ ăn kiêng","Hơn 32 bài giảng và 3,5 giờ lý thuyết.
Vận dụng kỹ thuật này để vượt qua nhiều hạn chế của bản thân như sợ hãi, lo lắng, cảm giác thèm ăn (VD: thuốc lá và đồ ăn)
Thay đổi cách bạn cảm nhận và đối phó với mọi tình huống trong cuộc sống.
Giúp đỡ bạn bè và gia đình, cảm thấy rất tốt
Giảm căng thẳng từ cuộc sống của bạn chỉ với một kỹ năng đơn giản
Có quyền truy cập tới các files mp3 có thể tải về được.
Có thể tải về các files PDF
Loại bỏ cảm giác thèm ăn sô cô la để việc giảm cân lâu dài có hiệu quả
Loại bỏ cảm giác thèm ăn thực phẩm đặc trưng để giảm cân lâu dài
Dừng việc ăn uống thả phanh bằng cách loại bỏ những kích thích thoả mãn ăn uống ban đầu giảm cân lâu dài","Khóa học này được tạo ra cho những người thực sự muốn thay đổi cách họ cảm nhận về thức ăn
Không phải dành cho bạn nếu bạn không sẵn sàng dành 35 phút mỗi ngày và cam kết thực hiện một thay đổi tích cực cho cuộc sống của bạn
Khóa học này được tạo ra cho những người cởi mở sẵn sàng thay đổi mối quan hệ của họ với thực phẩm
Chỉ khi bạn cam kết có một cách hiệu quả để kiểm soát việc ăn uống và  một cách giảm cân lâu dài.",Phần 1: Chào mừng đến với bạn mới được cải thiện để giảm cân lâu dài,,
,,,,,,,"Giới thiệu 
Preview ",1:50
,,,,,,,"Alan giải thích về EFT trực tiếp trên đài phát thanh Ailen
Preview",11:20
,,,,,,,EFT,3 questions
,,,,,,,Tạo ra hình ảnh mới cho việc giảm cân lâu dài.,11:21
,,,,,,Phần 2: Tìm hiểu EFT là gì trong việc giảm cân lâu dài,,
,,,,,,,EFT với bản mp3,3:27
,,,,,,,EFT Tapping points,4:16
,,,,,,,Points Recap,1:09
,,,,,,,EFT Tapping points và năng lượng kinh tuyến chúng được kết nối tới,3:48
,,,,,,,Thân tâm,1 question
,,,,,,Phần 3: Sự liên kết giữa tâm trí và cơ thể,,
,,,,,,,Chứng minh rằng tâm trí và cơ thể được kết nối,4:42
,,,,,,,Các cụm từ Thiết lập,1:27
,,,,,,,Các cụm từ Reminder,0:32
,,,,,,,Các bài tập thở với một file tải về mp3,11:57
,,,,,,Phần 4: phiên EFT cá nhân của bạn để loại bỏ cảm giác thèm ăn để giảm cân,,
,,,,,,,Loại bỏ cảm giác thèm ăn sôcôla với EFT để giảm cân,14:47
,,,,,,,Loại bỏ cảm giác thèm ăn với EFT để giảm cân,8:22
,,,,,,,Dừng ăn theo cảm xúc với EFT để giảm cân,5:50
,,,,,,,Thèm ăn,1 question
,,,,,,Phần 5: Đào thải để cải thiện kết quả giảm cân với EFT,,
,,,,,,,Đào thải với EFT với một thể tải về mp3,6:10
,,,,,,,Đào thải với EFT sử dụng màu sắc,3:05
,,,,,,,Các chi phí khủng khiếp cho sự không tha thứ,0:42
,,,,,,,Loại bỏ sự tức giận đối với bản thân và những người khác với EFT,5:53
,,,,,,,Sự phẫn nộ,1 question
,,,,,,Phần 6: Kỹ thuật nâng cao cho những thay đổi khó khăn với EFT để giảm cân,,
,,,,,,,Mẹo bí mật của tôi với File Pdf,1:25
,,,,,,,Nâng cao Kỹ thuật EFT,4:31
,,,,,,,Cảm thấy kích hoạt tốt,11:23
,,,,,,Phần 7: Thôi miên sức mạnh nội tại của bạn,,
,,,,,,,"Bạn không thể bị thôi miên trái với ý muốn của bạn
Xem trước ",0:23
,,,,,,,Tiềm thức của bạn luôn luôn làm những gì bạn muốn,4:07
,,,,,,,Sự tưởng tượng,1 question
,,,,,,,Sức mạnh trí tưởng tượng của bạn với Finger magnets,1:42
,,,,,,,Sức mạnh trí tưởng tượng của bạn với Hand magnets,2:25
,,,,,,,Sức mạnh của trí tưởng tượng của bạn và Balloon and Book,2:41
,,,,,,,Phản ứng đối lập,2:03
,,,,,,,Sức mạnh của lời nói,2:53
,,,,,,Phần 8: Các giai đoạn thôi miên của bạn để giảm cân,,
,,,,,,,Tuần một: Buổi thôi miên tạo hình dung về cơ thể mới để giảm cân,18:12
,,,,,,,Thôi miên,2 questions
,,,,,,,Tuần 2: Buổi thôi miên loại bỏ cân nặng dư thừa để giảm cân,27:55:00
,,,,,,,Tuần 3: Buổi thôi miên giải phóng năng lượng dư thừa để giảm cân lâu dài,23:53
,,,,,,Phần 9: Buổi tập huấn lại cho bạn kết quả giảm cân với EFT,,
,,,,,,,Buổi tập huấn với các tập tin tải về,1:39
