Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tung-buoc-thuc-day-su-tu-tin-va-long-tu-trong-trong-con-nguoi-ban,Từng bước thúc đẩy sự tự tin và lòng tự trọng trong con người bạn,Học cách làm thế nào để cảm nhận và tỏ ra tự tin. Bản kế hoạch chi tiết được tập hợp bán chạy nhất với những chiến lược vững chắc & Kỹ thuật đơn giản,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu chung và Mục tiêu ,,,,
,,,"Hơn 22,500 học viên từ khắp nơi trên thế giới đã đăng ký học những khóa học của tôi",Sự cởi mở và tận tâm,61 bài giảng và 5.5 giờ nội dung!,Là bất kỳ ai có mong muốn xây dựng nhanh chóng sự tự tin và lòng tự trọng ở cấp cao.,,Giới thiệu,2:24,Video,
,,,Được công nhận là 1 trong những giảng viên Tốt nhất ở Udemy,,Phát triển sự tự tin bên trong bạn,,,Cấu trúc chương trình và Mục tiêu,7:35,Video,
,,,"Nhìn chung, trên 350 những nhận xét HÀNG ĐẦU từ những học viên rất hài lòng",,Nhận thức được việc trở thành một người tự tin,,,Sự tự tin là gì?,4:08,Video,
,,,"CẬP NHẬT CUỐI CÙNG: Tháng 5 2015 - những video TẶNG THÊM đã được cập nhật! Sự tự tin là một trong những yếu tố cơ bản cốt lõi của hạnh phúc. Và sự sợ hãi là một trong những vật cản căn bản đến sự tự tin. Sự tự tin đã được chứng mình là có thể giảm căng thẳng và sự lo lắng, và cũng nâng cao khả năng của bản thân để suy nghĩ rõ ràng để đưa ra nhiều quyết định hàng ngày. Khóa học này được thiết kế để dạy những điều căn bản mà làm nên tự trọng và sự tự tin, để bạn có thể bắt đầu cải thiện được cách nhìn của mình trong cuộc sống đồng thời đạt được những mức cáo hơn về sự hài lòng của bản thân.",,Bắt đầu tin vào bản thân mình,,,Hơn 1000 học viên tuyệt vời!,4:20,Video,
,,,Hãy bắt đầu toát lên sự tự tin và cảm nhận nhiều hơn về sự hài lòng của bản thân với khóa học liên tục và hiệu quả này.,,"Luyện tập các chiến lược, kỹ thuật và phương pháp",,Phần 2: Gấp đôi sự tự tin cốt lõi bên trong bạn,,,,
,,,Xây dựng sự tự tin,,Ngừng trông đợi sự ủng hộ,,,Hãy biết ơn Chúa - video tặng kèm từ 20/2/2014,7:12,Video,
,,,Phát triển tư duy mạnh mẽ,,Loại bỏ nỗi sợ bị tự chối,,,Tạo dựng hình ảnh bản thân mạnh mẽ,7:00,Video,
,,,Niềm tin xã hội & quan điểm,,Loại bỏ căng thẳng và những âu lo xã hội,,,Dừng lại việc tìm kiếm sự chấp nhận,4:59,Video,
,,,Elevator Pitch (các bài giới thiệu tối giản),,Trở nên hòa nhập với xã hội hơn,,,Vì sao tôi trong danh sách nổi bật,8:05,Video,
,,,Trình tự và các thủ thuật,,Cảm thấy tự tin với bề ngoài của mình,,,Mở rộng vùng thư giãn của bạn,8:03,Video,
,,,Nội dung và Khái quát chung,,Học cách làm thế nào để gây ấn tượng tốt ngay lần gặp đầu tiên,,,Thử thách thư giãn 1,2:46,Video,
,,,Khóa học này được xây dựng cho bât cứ ai có mong muốn nâng cao sự tự tin và lòng tự trọng của họ. Chỉ có những yêu cầu sau đây đó là một tư duy linh hoạt và sự tận tâm để thay đổi bản thân.,,Học cách làm thế nào để nói chuyện tự tin,,Phần 3: Phát triên tư duy mạnh mẽ,,,,
,,,Học viên của khóa học này sẽ phải truy cập vào hơn 35 video để khám phá sự tự tin bên trong con người bạn và xây dựng nó từng bước một với các bài tập tâm lý. Bạn sẽ được học làm thế nào để cảm nhận sức mạnh và năng lượng trong những khả năng của mình và phá bỏ những rào cản tâm lý mà bạn đã xây quanh bản thân mình trước đó.,,Tận hưởng những video chất lượng,,,Video tặng kèm MỚI - Đối mặt với những nỗi sợ của bạn,6:42,Video,
