Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
goi-von-cong-dong-thanh-cong-cho-cac-chien-dich-tri-gia-100000-usd,Gọi vốn cộng đồng thành công cho các chiến dịch trị giá 100.000 USD,"Hãy cùng xem cách mà tôi cùng các học viên của mình gọi vốn cộng đồng thành công tới hơn 1 triệu USD. Đây là tất cả các lời khuyên và công cụ để làm được điều ấy, và tôi không hề nói đùa đâu nhé!",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Trước khi bạn bắt đầu,,,,
,,,Khóa học này bao gồm những thủ thuật từ cơ bản đến nâng cao để tăng số vốn cộng đồng của bạn lên tới hàng nghìn đô la.,"Bạn cần có máy tính cá nhân, laptop hay điện thoại di động để truy cập tài liệu. Nếu thích bạn cũng có thể in ra để học.",- Hơn 56 bài giảng và 4.5 giờ nội dung!,- Nhà phát minh và nhà doanh nghiệp muốn gây quỹ cho ý tưởng điên rồ của họ.,,Tổng quan về gọi vốn cộng đồng,14:22,Video,
,,,"Tất cả các bài học được giảng dạy qua việc chia sẻ trực quan qua màn hình và video. Tôi sẽ hướng dẫn các bạn dựa trên tất cả các công cụ tôi đã thực sự sử dụng, bao gồm mẫu và kịch bản, và sẽ hé lộ cho các bạn vô số điều mà trước giờ các bạn chưa hề biết.",,- Học được cách làm thế nào để tận dụng các dự án gọi vốn cộng đồng có sẵn nhằm thu hút lượng đầu tư cho bạn.,- Các tổ chức phi lợi nhuận vừa nhận ra cách làm cũ không còn hiệu quả nữa.,,Các ghi chú phần 1,2 trang,Document,
,,,Các bạn có thể vượt qua khóa học này trong một ngày nếu các bạn lướt qua một lần từ đầu đến cuối; nhưng khuyến cáo rằng các bạn nên học đi học lại ba lần để có thể tiếp thu khóa học này tốt nhất.,,- Học được cách làm thế nào để tìm được và tuyển những người có sức gây ảnh hưởng cho dự án của bạn.,,,Danh sách kiểm tra phần 1,1 trang,Document,
,,,Khóa học có thể được chia thành 3 mục tiêu chính:,,- Gây tiếng vang trước khi bạn bắt đầu thực hiện.,,Phần 2: Bắt đầu,,,,
,,,"1. Nghiên cứu và Tiền khai trương,",,- Viết được kịch bản video thu hút được nhà tài trợ.,,,Đào tạo công cụ Trello,4:55,Video,
,,,"2. Xây dựng các pha liên kết nội dung và tạo ra tài sản kỹ thuật số,",,"- Tất cả các bài thực hành, công cụ và lời khuyên này đều là các chiến thuật marketing du kích có thể dùng để marketing cho doanh nghiệp hay dự án của bạn.",,,Thêm các công cụ Trello cho Bạn,Văn bản,Text,
,,,và 3. Đến giờ triển khai trò chơi này rồi!,,,,,Nhận được kiến thức chuyên sâu về dự án,3:47,Video,
,,,"Các bạn nên theo học khóa học này nếu các bạn không muốn phí thời gian của mình đi mò mẫm những cách để đạt được những mục tiêu đó. Tôi đã sử dụng quy trình này trong 10 chiến dịch khác nhau, đồng thời những người khác đã sử dụng quy trình tương tự (học viên của tôi) để gọi vốn cộng đồng cho các ý tưởng và sản phẩm của riêng họ.",,,,,Các ghi chú phần 2,1 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 2,1 trang,Document,
,,,,,,,Phần 3: Tìm những người có khả năng gây ảnh hưởng & Tận dụng truyền thông xã hội,,,,
,,,,,,,,Cách khiến những người có khả năng gây ảnh hưởng như Seth Godin làm việc với Bạn!,10:26,Video,
,,,,,,,,Tìm kiếm như một Ninja!,Văn bản,Document,
,,,,,,,,Netvibes- Cách thành lập một biểu sơ lược về xã hội,3:13,Video,
,,,,,,,,Cách để tìm ra người có sức ảnh hưởng trên Twitter ,6:00,Video,
,,,,,,,,Cách tìm người viết blog có ảnh hưởng - BuzzStream,7:20,Video,
,,,,,,,,Trang tìm kiếm Omgili và diễn đàn Outreach,1:57,Video,
,,,,,,,,Cho quyền tìm kiếm và cách làm chủ tìm kiếm Google,1:50,Video,
,,,,,,,,Thực hành tốt nhất về tương tác xã hội với Erin Giles,10:40,Video,
,,,,,,,,Các ghi chú phần 3,3 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 3,2 trang,Document,
,,,,,,,Phần 4: ***Đề nghị đặc biệt dành riêng cho những ai học khóa này***,,,,
,,,,,,,,Danh sách phương tiện truyền thông tốt nhất dành cho chiến dịch của bạn!,3:20,Video,
,,,,,,,Phần 5: Xây dựng tài sản thế chấp của bạn,,,,
,,,,,,,,Launchrock ... Hãy sử dụng nó,4:11,Video,
,,,,,,,,Bảng tính để phát triển nhắn tin,1 trang,Document,
,,,,,,,,Phát triển nhanh (được quay phim),5:15,Video,
,,,,,,,,Đồ họa,2:37,Video,
,,,,,,,,Các ghi chú phần 5,2 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 5,2 trang,Document,
,,,,,,,Phần 6: Lập Danh sách Của bạn,,,,
,,,,,,,,Xuất từ Gmail,1:45,Video,
,,,,,,,,Xuất từ Linkedin,1:58,Video,
,,,,,,,,Phát động cuộc thi nhận thư điện tử - Offerpop (được quay phim),4:21,Video,
,,,,,,,,Các ghi chú phần 6,2 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 6,2 trang,Document,
,,,,,,,Phần 7: Video,,,,
,,,,,,,,Kịch bản Video,10:30,Video,
,,,,,,,,Trang thiết bị và các công cụ,1:52,Video,
,,,,,,,,Âm nhạc,2:43,Video,
,,,,,,,,Các ghi chú phần 7,2 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 7,2 trang,Document,
,,,,,,,Phần 8: Trình bày ý tưởng & Tiếp cận cộng đồng,,,,
,,,,,,,,Pagemodo,8:06,Video,
,,,,,,,,Google Mail Merge (Trộn Google Mail),3:19,Video,
,,,,,,,,Phác thảo buổi trình bày ý tưởng của bạn trước truyền thông,7:51,Video,
,,,,,,,,Trình bày ý tưởng đến cộng đồng với Google Mail Merge,Văn bản,Text,
,,,,,,,,Cách thành lập một chương trình đại sứ cho chiến dịch của bạn,11:40,Video,
,,,,,,,,Hỏi đáp với đại sứ video,1:56,Video,
,,,,,,,,Các ghi chú phần 8,2 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 8,1 trang,Document,
,,,,,,,Phần 9: Chạy chiến dịch nào!,,,,
,,,,,,,,Cách đến trang chủ ,1:49,Video,
,,,,,,,,Số liệu phân tích cho chiến dịch của bạn,4:26,Video,
,,,,,,,,Đặt tất cả bạn bè trên Facebook trong tình trạng báo động đỏ như thế nào,3:31,Video,
,,,,,,,,Tận dụng các trang đích để tăng chuyển đổi,Văn bản,Text,
,,,,,,,,Các ghi chú phần 9,2 trang,Document,
,,,,,,,,Danh sách kiểm tra phần 9,1 trang,Document,
,,,,,,,Phần 10: Các cuộc phỏng vấn,,,,
,,,,,,,,Jake Bronstein gây được quỹ 1 triệu USD trên trang Kickstarter,1:01:55,Video,
,,,,,,,Phần 11: TẶNG KÈM! Các cuộc phỏng vấn tôi thực hiện với một vài nhà doanh nghiệp hàng đầu các quốc gia.,,,,
,,,,,,,,Xu hướng vạch ra bởi trùm khởi nghiệp Mike Stemple,4:28,Video,
,,,,,,,,"Phỏng vấn người đồng sáng lập Apple, Steve Wozniak.",20:10,Video,
,,,,,,,,Phỏng vấn với Brad Feld tại Các cộng đồng khởi nghiệp.,3:29,Video,
,,,,,,,,VC trông đợi gì từ Bilal Zuberi,3:35,Video,
,,,,,,,,Cách bảo vệ tài sản trí tuệ và các bí mật thương mại với Jeffrey Kaas,3:40,Video,
,,,,,,,,Guy Kawasaki nói về khởi sự doanh nghiệp và say mê,5:46,Video,
