Không cần phải có trước những kiến thức cần thiết hay tài liệu bắt buộc nào.,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
cac-phuong-phap-toi-uu-giac-ngu-de-co-mot-cuoc-song-khoe-manh,Các phương pháp tối ưu giấc ngủ để có một cuộc sống khỏe mạnh,"Cải thiện sức khỏe, tinh thần và năng lượng của bạn bằng cách làm chủ giấc ngủ với bộ hướng dẫn này. Trong này có cả những mẹo nhỏ về dinh dưỡng và kiểm soát căng thẳng.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Những nguyên tắc cơ bản của giấc ngủ,,,,
,,,Bạn có muốn sở hữu năng lượng vô hạn?,Không cần phải có trước những kiến thức cần thiết hay tài liệu bắt buộc nào.,- Hơn 37 bài giảng với 4.5 giảng dạy.,- Những người không hiểu toàn diện về việc làm thế nào để có một giấc ngủ tối ưu.,,Hiểu về chu kỳ giấc ngủ của bạn,8:30,Video,
,,,Bạn có muốn làm việc năng suất hơn và có nhiều thời gian làm việc mình yêu thích?,,"- Trong khóa học này bạn sẽ tìm hiểu về việc làm thế nào để có một giấc ngủ tốt. Khóa học này bao gồm những yếu tố, nguyên tắc của việc làm sao tạo lập một cách sống để tối ưu giấc ngủ.",- Những người quan tâm tới việc có được nhiều năng lượng và thời gian hơn.,,Chất lượng với số lượng - giấc ngủ sâu,2:11,Video,
,,,"Bạn có tò mò về những con người dường như sinh hoạt với giấc ngủ cực ngắn, nhưng bằng cách nào đó vẫn có được hiệu quả làm việc phi thường?????",,"- Bạn sẽ được tìm hiểu về thực hành chi tiết những điều liên quan tới chế độ ăn uống, các bài tập thể dục, thói quen buổi sáng và buổi tối và thiết kế không gian giúp bạn đi vào giấc ngủ.",- Khóa học này không dành cho những người đã tìm hiểu và luyện tập kỹ về việc tối ưu hóa giấc ngủ.,,90 phút nhầm lẫn,2:05,Video,
,,,Hãy cùng với hơn 8000 học viên khác tham gia khóa học này và cùng có nhiều thời gian thức hơn mỗi tuần mà lại sở hữu nhiều năng lượng hơn mỗi ngày.,,,,Phần 2: Sự biến đổi nguyên tắc cơ bản của giấc ngủ sâu,,,,
,,,Câu chuyện kì diệu về lớp học này (và cuộc phiêu lưu với giấc ngủ của tôi),,,,,"Tổng quan về nhiệt độ cơ thể, tiếp xúc ánh sáng và sự tiêu hóa",0:58,Video,
,,,"Tôi đã từng dành trung bình 7.5 đến 8 giờ mỗi đêm để ngủ.. Mặc dù theo y học thì đây là thời gian ngủ hợp lý nhưng tôi vẫn hay cảm thấy mệt mỏi, haizzz. Vì vậy tôi bắt đầu nghiên cứu thử nghiệm với giấc ngủ.",,,,,Nhiệt độ cơ thể,2:42,Video,
,,,"Qua rất nhiều thí nghiệm tối ưu hóa trong nhiều năm qua, tôi đã giảm bớt thời gian ngủ xuống 6 tiếng nhưng vẫn không cảm thấy thêm chút năng lượng nào. Nếu tổng hợp lại, bạn sẽ có thêm 4 tuần thời gian không ngủ để LÀM NHỮNG GÌ BẠN THÍCH.",,,,,Tiếp xúc ánh sáng,4:12,Video,
,,,4 tuần được thêm này liệu có làm bạn cảm thấy thích thú? Bạn sẽ dùng thời gian này như thế nào?,,,,,Sự tiêu hóa,1:27,Video,
,,,Tôi muốn tiết kiệm nhiều thời gian và năng lượng nên tôi quyết định viết ra bài thuyết trình này để chia sẻ cùng bạn bè. Tôi cũng cần tìm ra một vài người nghĩ rằng nó được.,,,,"Phần 3: Đi sâu vào các bài tập, tính nhất quán, và tiếp xúc ánh sáng",,,,
