Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
chi-20-phut-de-tim-ra-dong-luc-cho-muc-tieu-cua-ban,Chỉ 20 phút để tìm ra động lực cho mục tiêu của bạn.,"Một cách đơn giản để bộc lộ khát khao của bản thân và đánh bại sự trì hoãn, sự lúng túng và tự hủy hoại bản thân.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Hơn 1150 học viên mới ngay trong tuần đầu tiên! Hãy tìm hiểu xem tại sao lại như vậy.,"Bút, giấy và sự tập trung cao độ.",Hơn 12 bài giảng và 44 phút nội dung.,Tất cả những ai đang tìm kiếm cách để đặt mục tiêu mới và xem xét lại những mục tiêu cũ.,,Giới thiệu.,6:39,Video,
,,,"Đây là những gì một số học viên mới (tổng cộng có 13 lượt đánh giá 5 sao), những người đã quyết định lựa chọn khóa học này, nói sau khi hoàn thành khóa học:",,Nhanh chóng khám phá ra khát vọng cốt lõi của bạn và tìm ra cách tự nhiên để đạt được mục tiêu.,,,Giới thiệu về ý tưởng lớn.,4:00,Video,
,,,"""Đây không phải là một khóa học thông thường. Giảng viên đã thật sự phát triển những hướng đi độc đáo và hướng thẳng tới mục đích nhanh chóng, tạo động lực cho bản thân để bạn có thể hoàn thành những gì bạn đã đặt ra cho mình. Đây là một trong những khóa học có thể thật sự thay đổi cuộc sống của bạn và cách bạn làm mọi việc."" Thùy Ly.",,Trở nên hoàn toàn rõ ràng và loại bỏ nghi ngờ về phương hướng và mục đích trong cuộc sống của bạn.,,,Cách thực hiện các bước.,1:41,Video,
,,,"""Rõ ràng và đánh thẳng vào trọng tâm.""",,Học bí quyết dẫn tới những hành động hữu hiệu đối với mục tiêu của bạn.,,Phần 2: Các bước thực hiện,,,,
,,,"Nếu bạn đã đọc bất cứ sách nào về phát triển bản thân hay cải thiện bản thân, bạn sẽ quá hiểu rằng chúng chứa rất nhiều điều thừa thãi.",,Tìm ra cảm hứng mới và sự nhiệt huyết trên con đường tới mục tiêu của bạn.,,,Bước 1,3:07,Video,
,,,"Khóa học này không có những điều thừa thãi đó. Nói ngắn gọn, những chuỗi bài tập đơn giản, giảng viên đưa tới một công cụ hữu hiệu để làm rõ bạn đang muốn đạt được điều gì. Rất đáng để thử!"" - Linh Chi.",,Xác định những trở ngại trong việc thiết lập lối sống của riêng mình,,,Bước 2,2:37,Video,
,,,"""Một từ để miêu tả khóa học này đó là ""tuyệt vời "". Chúc mừng! Nếu mục đích của anh là để giúp đỡ mọi người, tôi sẽ nói rằng anh đã làm được điều đó. Tôi thích khóa học này vì nó đi thẳng vào vấn đề. Đây không chỉ là 1 khóa học đơn thuần, nó là 1 hướng dẫn hằng ngày mà sẽ có thể giúp ước mơ của bạn trở thành hiện thực."" - Hải Anh.",,Có thể tránh sự lúng túng phức tạp và cạm bẫy trong việc xác định mục tiêu theo cách truyền thống,,,Bước 3,7:10,Video,
,,,"""Khóa học giúp tôi mở rộng tầm mắt! Bạn sẽ yêu khóa học này và sự đơn giản cũng như sức mạnh của nó.""",,Học cách vượt qua sự trì hoãn và hành động để đạt được mục tiêu,,,Bước 4,5:04,Video,
,,,"Có quá nhiều khóa học và sách về làm thế nào để đạt được mục tiêu của bạn và chúng làm việc đó trở nên thật phức tạp và tốn thời gian. Giảng viên đã biến nó trở nên đơn giản, đi thẳng vào trọng tâm và tìm ra sự rõ ràng ngay. Tôi đã thực hiện từng bước và đã biết được làm sao để tiến lên và điều gì đã cản trở mình! Tôi sẽ thêm khóa học hành vào trong những công cụ để phát triển bản thân của mình và sử dụng nó thường xuyên. Tôi sẽ xem qua nó mỗi lần tôi muốn đạt được một mục tiêu mới. Hãy đăng kí ngay hôm nay! "" - Lan Phương.",,Tìm ra những gì khiến con người mất cảm hứng và học cách không phạm phải những sai lầm tương tự,,,Bước 5,2:04,Video,
