Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Kết nối với hướng đạo sinh của bạn,Làm thế nào để những hướng đạo sinh có thể hỗ trợ bạn và cách để tạo dựng một mối quan hệ.,"Bạn đang trên đường phát triển về mặt tinh thần không? Những hướng đạo sinh và những giáo viên luôn ở đây để hỗ trợ,Những hướng đạo sinh có thể và nên là một phần đang diễn ra trong cuộc sống của bạn, Khóa học này đưa ra những cách để giúp bạn xây dựng một sự kết nối, một sự giao tiếp với những người hướng đạo của bạn vào bất cứ lúc nào 
Trở nên cởi mở với những hướng đạo sinh
Tìm hiểu xem những hướng đạo sinh giao tiếp như thế nào?
Xác định hướng đạo sinh nào đang giao tiếp với bạn và họ có thể hỗ trợ như thế nào.
Hiểu những công cụ bạn có trong việc giao tiếp.
Xây dựng nền tảng cho một sự kết nối bền vững.
Xây dựng nền tảng cho phát triển tình thần
Hiểu rằng bạn không bao giờ thực sự cô đơn. Những hướng đạo sinh của bạn là người hỗ trợ về mặt tinh thần, và  có thể hỗ trọ bạn trong việc phát triển tinh thần. Bạn có những chỉ dẫn có thể giúp đỡ bạn trong con đường dẫn tới hạnh phúc, khỏe mạnh và tự do. Nếu bạn mở cửa ra, tinh thần sẽ ở ngay đó để dẫn lối bạn
Bạn không cần phải phát triển hoàn toàn về mặt thể chất để kết nối với tâm hồn. Hướng đạo sinh của bạn là người giúp đỡ cá nhân và luôn sẵn sàng giúp đỡ khi bạn cần.
Tổng quan khóa học
Trong khóa học này bạn sẽ học những điều cơ bản của hướng đạo sinh và làm cách nào họ có thể hỗ trợ bạn. chúng ta sẽ đi sâu về các loại chỉ dẫn và vai trò của họ, và làm thế nào bạn có thể bắt đầu tạo dựng sự kết nối. hướng đạo sinh có thể liên lạc bằng nhiều các, và chúng ta sẽ thảo luận chi tiết những cách thông thường. Tôi sẽ chỉ cho các bạn thấy làm thế nào bạn có thể sử dụng hơi thở và sự điều hòa để hỗ trợ trong giao tiếp tinh thần, và những công cụ thông thường được sử dụng để liên lạc với hướng đạo sinh của bạn,
Và ở cuối khóa học này bạn sẽ được củng cố để xây dựng sự kết nối bền vững với hướng đạo sinh của bạn, và sử dụng tình yêu và ánh sáng của họ để hỗ trợ phát triển tinh thần.",Học sinh tham gia khóa học với tư duy mở. Nhiều những chủ đề trong khóa học này có thể gây ra tranh luận vì chúng khá lạ khi đưa vào giảng dạy đối với tín ngưỡng tôn giáo của một số người. Sự liên kết tinh thần có thể chỉ diễn ra nếu người đó đã được làm quen với việc liên kết và có niềm tin vào việc họ đang làm.,"Hơn 27 bài giảng với 2 giờ giảng dạy.
Tìm hiểu xem những hướng đạo sinh giao tiếp như thế nào. 
Xác định chỉ dẫn nào đang giao thiệp với bạn và làm sao chúng có thể hỗ trợ.
Hiểu những công cụ họ có trong việc giao tiếp.
Xây dựng nền tảng cho một sự kết nối bền vững.","Khóa học này dành cho những người mong muốn tìm hiểu về hướng đạo sinh
Khóa học này dành cho những người sẵn sàng nhận sự chỉ dẫn và thông điệp tâm hồn.
Khóa học này không dành cho người không sẵn sàng đón nhận ý tưởng về hướng đạo sinh hoặc không tin tưởng vào việc giao thiệp với tinh thần",Phần 1: Phần mở đầu,,
,,,,,,,Chào đón và mô tả,2:29
,,,,,,,Mục sư Justin Terry,4:37
,,,,,,,Liên lạc với mục sư Justin Terry,2 slides
,,,,,,,Tổng quan về hướng đạo sinh,1:42
,,,,,,Phần 2: Về hướng đạo sinh?,,
,,,,,,,Hướng đạo sinh là gì?,2:33
,,,,,,,Thiên thần là gì?,2:22
,,,,,,,Những tài liệu kinh Thánh tham khảo,8:31
,,,,,,,Các loại hình hướng đạo,2:57
,,,,,,,Hướng đạo vui vẻ,4:52
,,,,,,,Hướng đạo triết học,3:11
,,,,,,,Hướng đạo hóa học,2:51
,,,,,,,Hướng đạo bảo vệ,3:15
,,,,,,,Giáo viên bậc thầy,4:09
,,,,,,Phần 3: Giao thiệp với những chỉ dẫn của bạn,,
,,,,,,,Xây dựng một mối quan hệ,3:29
,,,,,,,Hô hấp và điều hòa,8:05
,,,,,,,Điều hòa được chỉ dẫn,16:18
,,,,,,,Bắt đầu nhận thức.,3:59
,,,,,,,Nhận được tên chỉ dẫn của bạn,2:53
,,,,,,,Những dấu hiệu,3:33
,,,,,,,Những biểu tượng,5:38
,,,,,,,Những màu sắc,4:18
,,,,,,,Những con số,2:45
,,,,,,,Bạn có thích khóa học này không?,1 slide
,,,,,,Phần 4: Sự kết nối lâu dài,,
,,,,,,,Những công cụ giao tiếp.,2:10
,,,,,,,"""Con lắc đồng hồ""",3:40
,,,,,,,Giải thích về Con lắc đồng hồ,8:47
,,,,,,,Xây dựng một mối liên kết lâu dài,4:05
