,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Dễ dàng để học dấu chấm câu trong Tiếng Anh,Bạn sẽ được học những điều cơ bản về dấu câu mà không có chút khó khăn nào. Mọi người sẽ không bao giờ cười vào dấu chấm câu của bạn nữa.,"Có phải dấu chấm câu CỦA BẠN làm bạn thấy xấu hổ? Đây chính là BÀI HƯỚNG DẪN SỐNG CÒN dành cho BẠN để cải thiện nó.
Bạn buồn chán vì mọi người bảo rằng bài viết của bạn chỉ giống như bài viết của một đứa trẻ lên 10? Bạn biết chính xác bạn muốn nói lên điều gì nhưng dấu chấm câu của bạn lại không làm được điều đấy?  Có phải nó làm bạn cảm thấy cực kì xấu hổ khi mọi người đọc những gì mà bạn đã viết?
Tốt thôi, bạn không đơn độc đâu, nào, dấu chấm câu thật sự rất dễ !
Chỉ trong 30 phút, tôi có thể dạy bạn tất cả mọi thứ bạn cần để bạn biết đặt dấu chấm câu cho các câu văn của bạn một cách hoàn hảo.
Sắp xếp các lập luận của bạn đúng cách, làm cho bạn thuyết phục hơn và tạo cho công việc của bạn niềm vui để ĐỌC. Mọi người sẽ không thể cười vào dấu câu của bạn nữa.
Trong khóa học này, chỉ với một vài video rất ngắn, mỗi video tập trung vào một loại dấu chấm câu, bạn sẽ thấy thích thú trong việc kiểm soát tất cả mọi thứ mà bạn viết.
Không thuật ngữ. Không bài học ngữ pháp. Chỉ là những quy tắc đơn giản như A B C. Và cũng giống tất cả các khóa học của tôi, bạn sẽ được tải tài liệu về để học.
Tôi sẽ chỉ cho bạn cách lái xe chứ không chỉ cho bạn cách tháo rời cỗ máy.
Và tôi luôn cố gắng để bạn cảm thấy thoải mái trong quá trình học.
Đăng ký ngay bây giờ nào! Thật thú vị, thật DỄ DÀNG. Nó là HƯỚNG DẪN SỐNG CÒN của bạn đấy.
Hẹn gặp lại bạn trong lớp học!","Không có yêu cầu gì.
Bạn không cần bất kỳ tài liệu hoặc phần mềm nào. Bạn thậm chí không cần phải ghi chép gì vì đã có tài liệu cho mỗi buổi học.","Hơn 11 bài giảng và 43 phút nội dung!
Nhanh chóng học được những khái niệm cơ bản về dấu chấm câu trong Tiếng anh để có được sự tự tin và viết lách rõ ràng, rành mạch hơn.
Trong khóa học này bạn sẽ được học về các dấu chấm câu quan trọng với những cách đơn giản để dùng chúng sao cho đúng.","Nếu bạn đã hiểu về dấu chấm câu - Khoá học này KHÔNG phải dành cho bạn. Nếu bạn là một người hiểu một cách mù quáng về dấu chấm câu - Khoá học cũng KHÔNG cho bạn Nếu bạn chỉ muốn thư giãn, không bao giờ phải lo lắng về nó thì, chào đón bạn đến với khóa học.",Phần 1: VỀ KHÓA HỌC NÀY,,
,,,,,,,Video quảng cáo,1:55
,,,,,,,Cách tải tài liệu ,0:40
,,,,,,Phần 2: KHÓA HỌC - Dễ dàng để học dấu chấm câu trong Tiếng Anh,,
,,,,,,,Dấu chấm câu - Nó thế nào?,3:42
,,,,,,,Câu,3:39
,,,,,,,"Ngoài các dấu chấm
Xem trước ",5:13
,,,,,,,Dấu phẩy,5:12
,,,,,,,Dấu chấm và dấu chấm phẩy,3:40
,,,,,,,"Làm thế nào để sử dụng Hô ngữ (dấu lược, dấu lửng ') phần 1",3:42
,,,,,,,"Làm thế nào để sử dụng Hô ngữ (dấu lược, dấu lửng ') phần 2",6:18
,,,,,,,Dấu Lời nói (dấu ngoặc kép),7:48
,,,,,,,KẾT THÚC NỘI DUNG,1:15
