Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
lam-the-nao-de-thiet-ke-logo-khoa-hoc-cho-nguoi-moi-bat-dau,Làm thế nào để thiết kế Logo - khóa học cho người mới bắt đầu,Tìm hiểu cách thiết kế một logo từ khi có yêu cầu của khách hàng đến khi thiết kế xong.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,"Thiết kế ra logo không phải là điều dễ dàng, đặc biệt là khi làm việc với các khách hàng cụ thể. Và với biết bao nhiêu nhà thiết kế hiện nay thì khá khó khăn để bạn có thể tự khẳng định mình.","Máy tính, một phiên bản dùng thử đầy đủ hoặc miễn phí của Adobe Illustrator cho phần sau của khóa học (không yêu cầu phải có kiến thức trước)","- Hơn 42 bài giảng và 2,5 giờ nội dung!",Những người muốn tìm hiểu về thiết kế logo để bán như là một dịch vụ hoặc để thiết kế logo riêng của mình,,Giới thiệu về quá trình thiết kế logo,1:04,Video,
,,,"Khóa học biết cách giúp bạn vạch ra những ý tưởng của bạn sao cho có hiệu quả. Nó sẽ là nền tảng để bạn có thể vẽ ra các logo thật đặc biệt và mang lại sự mới mẻ mà khách hàng không thể từ chối. Đâychính là cách bạn làm cho khách hàng hài lòng, chú ý đến bạn, xây dựng được cơ sở khách hàng của bạn và giúp bạn có khả năng kiếm được nhiều tiền hơn.",,- Khóa học dạy từng bước tìm hiểu cách thiết kế logo,,Phần 2: Tặng thêm cho bạn,,,,
,,,Tìm hiểu Làm thế nào để thiết kế logo sao cho luôn bắt mắt và có hiệu quả,,,,,61 trang Ebook - Làm thế nào để thiết kế một Logo,16.45 MB,Document,
,,,Tạo ra và Thiết kế ý tưởng thật nhanh chóng,,,,Phần 3: Nhận yêu cầu thiết kế logo từ khách hàng,,,,
,,,Phông chữ và định vị văn bản,,,,,Yêu cầu thiết kế logo từ khách hàng,17:45,Video,
,,,Màu sắc và lựa chọn định dạng,,,,,Ghi chú: Tóm tắt yêu cầu thiết kế logo,48.15 KB,Document,
,,,Sử dụng Adobe Illustrator để tạo Logo,,,,,Câu hỏi về thiết kế mẫu logo,43.43 KB,Document,
,,,Trình bày Ý tưởng thiết kế và làm việc với khách hàng,,,,"Phần 4: Tài liệu tham khảo, Moodboards và bản đồ tư duy",,,,
,,,Hãy làm hài lòng mọi khách hàng bằng cách thiết kế ra một logo tuyệt vời,,,,,Cùng đi tìm tài liệu tham khảo,1:36,Video,
