Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
bi-quyet-tung-buoc-thiet-lap-muc-tieu,Bí quyết từng bước thiết lập mục tiêu,"Xác định tầm nhìn của bạn, đạt được các mục tiêu lớn và tận hưởng cuộc hành trình cùng các chiến lược được sử dụng bởi 1% những người giỏi nhất ",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Lời mở đầu,,,,
,,,Hơn 23000 người trên thế giới tham gia vào khóa học của tôi,- Giải trí,- Hơn 44 bài giảng và 4.5 giờ giảng dạy,"- Nếu như bạn đã chán việc là người bình thường, muốn nhiều hơn từ cuộc sống nhưng không biết phải làm thế nào để mọi chuyện khác biệt, hãy tham gia khóa học",,Khóa học bao gồm những gì?,2:59,Video,
,,,Được giảng dạy bởi một trong những giảng viên tốt nhất trên Tudemy,- Mở mang tâm trí,- Tận hưởng những Video HD từ bất cứ nơi nào,- Bạn nên tham gia khóa học này nếu như bạn muốn thiết kế cuộc đời mình thay vì để hoàn cảnh kiểm soát nó,,Những thông tin quan trọng - video bổ sung thêm vào tháng 7/2015,1 page,Document,
,,,Tổng cộng có hơn 380 review (dưới đây) từ những học viên hài lòng với khóa học,- Tiếp thu kiến thức,- Học theo quá trinh từng bước một của tôi,- Bạn không nên tham gia khóa học này nếu như bạn không tin vào việc tự cải thiện,,Tại sao bạn cần phải có mục tiêu?,4:37,Video,
,,,Sẽ có thêm các video tặng kèm vào tháng 7/2015,- Thực hiện các bài tập và bắt đấu thay đổi suy nghĩ của bạn,- Sẽ có thêm các video mới vào tháng 7/2015,,,Truyền thuyết lớn nhất về thiết lập mục tiêu,7:26,Video,
,,,"Trong khóa học này tôi sẽ tiết lộ 1 trong những chìa khóa của người thành công. Cụ thể là, họ không bao giờ ""mơ ngủ"" trong suốt cuộc đời của mình. Thay vào đó, họ có định hướng rõ ràng, xác định mục tiêu và tạo ra một kế hoạch hành động đúng đắn. Có thể bạn nghĩ chỉ cần làm việc chăm chỉ là đủ. Tuy nhiên, làm việc mà không có một định hướng rõ ràng cũng giống như đi tàu với tốc độ tối đa mà không hề có bất cứ hệ thống định vị nào. Vấn đề không phải ở chỗ bạn có thể đi nhanh như thế nào, vấn đề là bạn có thể sẽ không bao giờ đạt được mục tiêu mà bạn mong muốn. Trong bài giảng này, tôi sẽ chia sẻ cho các bạn từng bước của quá trình để đạt được những mục tiêu lớn của mình. Bạn chỉ sống có một lần, hãy tận dụng nó. Tôi không muốn làm phiền bạn với những thông điệp marketing dài dòng nên đơn giản bạn hãy xem trailer và những video xem trước, tìm hiểu xem tại sao lại có hàng chục nghìn người tin tưởng vào tôi. Tôi chắc chắn rằng bạn sẽ rất hứng thú tham gia cùng với tôi và tôi cũng sẽ rất vui khi được thấy các bạn.",,- Bản audio đầy đủ để nghe trên máy nghe nhạc hoặc điện thoại của bạn,,,Thiết lâp mục tiêu mạnh mẽ là đối trực quan. Đây là lý do,1:36,Video,
,,,Mọi người nói gì về khóa học của tôi (một vài review trong số 380 top review),,- Phá tan niềm tin hạn chế của bạn,,,Bẫy triệu phú,4:01,Video,
,,,"""Chất lượng sản xuất tuyệt vời. Giảng và đội ngũ của mình rõ ràng đã rất nỗ lực trong quá trình quay film và xử lý hậu kỳ. Họ là tiêu chuẩn để các giảng viên Tudemy khác noi theo"" - Bá Ngọc",,- Cảm thấy có động lực và khát khao,,,Phần 1 -  tổng kết,4 pages,Document,
,,,"""Tốt nhất, khóa học của này là tốt nhất!!! Chất lượng tuyệt vời !!!"" - Hải Đăng",,- Tìm hiểu những chiến lược vững chắc và kỹ thuật hữu ích,,Phần 2: Xác định tầm nhìn như thế nào?,,,,
,,,"""Những thông tin bổ ích! Giảng viên đưa ra những thông tin bổ ích và ông ấy đã giải thích mọi thứ rất hay, ông ấy không cần vòng vo mà đi thẳng vào vấn đề! Hành động luôn"" - Tuấn Linh",,- Tìm hiểu làm thế nào để xác định tầm nhìn hấp dẫn,,,Tại sao có một mục tiêu hấp dẫn lại quan trọng?,3:37,Video,
,,,"""Hữu ích và thú vị. Bài giảng này thật chuyên nghiệp, bắt đấu từ những điều đẹp đẽ trên toàn thế giới. Tôi học được những thông tin quan trọng và hữu ích, và tôi đang vận dụng nó khi tôi đang viết những dòng này "" - Hà Phương",,"- Tránh "" bẫy triệu phú """,,,Những bài tập được nhiều triệu phú thực hiện,5:38,Video,
,,,,,- Khám phá lý do tại sao những mục tiêu thông thường không hoạt động,,,Hơn 12.000.000 thiên tài? Hmmm,6:00,Video,
,,,,,- Áp dụng hệ thống thiết lập mục tiêu thông minh,,,Những câu hỏi hữu ích cho việc xác định tầm nhìn của bạn,2:16,Video,
,,,,,- Hiểu lý do vì sao những mục tiêu lập ra vào năm mới hiếm khi có hiệu quả,,,Chia sẻ tầm nhìn của bạn ngay bây giờ,1:25,Video,
,,,,,- Trở nên tự tin hơn và tự tin hơn nữa,,,Tại sao những mục tiêu đề ra trong năm mới lại hiếm khi thành công?,4:38,Video,
,,,,,,,,Những câu hỏi quan trọng,3 pages,Document,
,,,,,,,,Tổng kết phần 2,4 pages,Document,
,,,,,,,Phần 3: Những mục tiêu dài hạn,,,,
,,,,,,,,Xác định mục tiêu lâu dài của bạn,5:35,Video,
,,,,,,,,Làm thế nào để viết ra những mục tiêu của bạn?,3:26,Video,
,,,,,,,,Nguyên tắc Pareto - Phần 1,1:59,Video,
,,,,,,,,Nguyên tắc Pareto - Phần 2,3:12,Video,
,,,,,,,,Nguyên tắc Pareto_Phần 3,5:27,Video,
,,,,,,,,Phần 3 - tổng kết,5 pages,Document,
,,,,,,,Phần 4: Mục tiêu ngắn hạn,,,,
,,,,,,,,Giới thiệu về mục tiêu ngắn hạn,1:51,Video,
,,,,,,,,Những thách thức giới hạn con người,7:38,Video,
,,,,,,,,Phần 4 - Tổng kết,3 pages,Document,
,,,,,,,Phần 5: Những thói quen hàng ngày có thể thay đổi cuộc chơi,,,,
,,,,,,,,Những yếu tố cần thiết trên con đường dẫn tới thành công,4:54,Video,
,,,,,,,,Lễ nghi buổi sáng,7:21,Video,
,,,,,,,,Đo tiến trình của bạn,3:47,Video,
,,,,,,,,Sức mạnh của trách nhiệm,5:39,Video,
,,,,,,,,Đối tác trách nhiệm,3:41,Video,
,,,,,,,,Phần thưởng thì thế nào?,3:32,Video,
,,,,,,,Phần 6: Xây dựng sức mạnh tinh thần,,,,
,,,,,,,,Tiêu cực là một loại bệnh - Cách xử lý với những người tiêu cực,10:19,Video,
,,,,,,,,Lòng kiên trì,7:50,Video,
,,,,,,,,"""Nghiệp"" thì sao?",5:05,Video,
,,,,,,,,Tận hưởng cuộc hành trình,2:14,Video,
,,,,,,,,Video tốt nhất - Hãy xem qua,1 page,Document,
,,,,,,,Phần 7: Những video tặng kèm,,,,
,,,,,,,,Những công cụ truyền cảm hứng của tôi,5:23,Video,
,,,,,,,,Cái bẫy của việc tìm kiếm sự đồng thuận,8:14,Video,
,,,,,,,,Cảm ơn,1:43,Video,
,,,,,,,Phần 8: Bản audio của tất cả các bài giảng ,,,,
,,,,,,,,Phần 1 - Bản audio,17:41,Video,
,,,,,,,,Phần 2 - Bản audio,23:35,Video,
,,,,,,,,Phần 3 - Bản audio,19:40,Video,
,,,,,,,,Phần 4 - Bản audio,9:30,Video,
,,,,,,,,Phần 5 - Bản Audio,28:56:00,Video,
,,,,,,,,Phần 6 - Bản audio,16:53,Video,
