Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
mat-xa-mat,Mát xa mặt,"Tìm hiểu xem mát xa trên các điểm của khuôn mặt như thế nào để có làn da đẹp, khỏe",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Bài 1: Mở đầu,,,,
,,,Khóa học đầy đủ về mát xa các vùng mặt. Khóa học này bao gồm 28 bài giảng 31 phút video và tài liệu tải về.,- Tôi tạo ra khóa mát xa này để những người mới bắt đầu học cũng có thể hiểu được một cách dễ dàng. Không cần bất kỳ kiến thức cụ thể để bắt đầu học khóa học này,- Hơn 28 bài học và 32 phút nội dung,"Khóa học này là dành cho bạn nếu bạn đang bận rộn, không có thời gian thực hiện hoặc không có cơ hội đến chăm sóc tại các salon làm đẹp; hoặc bạn đang mệt mỏi và bạn đang cảm thấy căng thẳng. Lưu ý rằng khóa học này không phải dành cho bạn nếu bạn thường xuyên tới gặp các nhà trị liệu làm .đẹp.",,Giới thiệu,1:02,Video,
,,,Mỗi điểm được nhắc đến trong một video riêng biệt. Video cho thấy vị trí điểm và địa điểm mát xa.; mát xa bao lâu và làm thế nào để xoa bóp các điểm.,,"- Trong khóa học này, chúng ta sẽ chỉnh sửa các điểm mát xa và sẽ học về cách xoa bóp nó. Vào cuối của khóa học bạn sẽ mát xa mặt cho bản thân và cho bạn bè của bạn.",,Bài 2: Kiến thức cơ bản về mát xa vùng mặt,,,,
,,,"Trong khóa học này, bạn sẽ học kỹ thuật xoa bóp và bạn sẽ tìm thấy 20 điểm cần mát xa trên khuôn mặt.",,,,,Mát xa vùng mặt là gì?,Văn bản,Text,
,,,Mát xa không đòi hỏi nhiều. Chỉ sử dụng các ngón tay của bạn,,,,,Kiến thức cơ bản về vùng mát xa mặt ,1:21,Video,
,,,"Khóa học mát xa này rất dễ hiểu với những người mới bắt đầu, nhưng nó có thể được thực hiện bởi các chuyên gia, hoặc nó có thể được phối hợp với các mỹ phẩm khác và kỹ thuật massage khác.",,,,,Làm thế nào để mát xa các điểm chính trên khuôn mặt,Văn bản,Text,
,,,Tất cả mọi người đều có thể tự massage như thế này cho mình.,,,,,Lợi ích của việc tập trung  mát xa vùng mặt tới các bộ phận khác trên cơ thể,Văn bản,Text,
,,,"Việc mát xa này rất có hiệu quả sau những tình huống căng thẳng hay trước một sự kiện quan trọng (ví dụ. Các cuộc phỏng vấn, cuộc họp kinh doanh, hẹn hò, bữa tiệc ...) và nó giúp bạn trông trẻ hơn và đẹp hơn.",,,,,Kinh nghiệm cơ bản của bạn về massage,5 câu hỏi,Quiz,
,,,Mát xa không có bất kì tác dụng tiêu cực nào.,,,,Bài 3: Đâu là điểm xoa bóp phục hồi sức khỏe?,,,,
,,,Cuối khóa học bạn có thể mát xa cho khuôn mặt chính mình và ngay cả cho bạn bè của bạn,,,,,Điểm thứ 1,0:54,Video,
,,,,,,,,Điểm thứ 2,0:47,Video,
,,,,,,,,Điểm thứ 3,0:50,Video,
,,,,,,,,Điểm thứ 4,0:50,Video,
,,,,,,,,Điểm thứ 5,0:47,Video,
,,,,,,,,Điểm thứ 6,0:49,Video,
,,,,,,,,Điểm thứ 7,0:47,Video,
,,,,,,,,Điểm thứ 8,0:47,Video,
,,,,,,,,Điểm thứ 9,0:51,Video,
,,,,,,,,Điểm thứ 10,0:48,Video,
,,,,,,,,Điểm thứ 11,0:42,Video,
,,,,,,,,Điểm thứ 12,0:52,Video,
,,,,,,,,Điểm thứ 13,0:46,Video,
,,,,,,,,Điểm thứ 14,0:42,Video,
,,,,,,,,Điểm thứ 15,0:38,Video,
,,,,,,,,Điểm thứ 16,0:38,Video,
,,,,,,,,Điểm thứ 17,0:39,Video,
,,,,,,,,Điểm thứ 18,0:42,Video,
,,,,,,,,Điểm thứ 19,0:45,Video,
,,,,,,,,Điểm thứ 20,0:54,Video,
,,,,,,,Bài 4: Tất cả về tập trung mát xa vùng mặt,,,,
,,,,,,,,Tất cả về tập trung mát xa vùng mặt,6:42,Video,
,,,,,,,Bài 5: Bạn đã học được gì,,,,
,,,,,,,,Bạn đã học được gì về tập trung mát xa vùng mặt,4 slides,Document,
,,,,,,,,Bạn hiểu việc tập trung mát xa vùng mặt,4 câu hỏi,Quiz,
,,,,,,,Bài 6: Nếu bạn có câu hỏi gì,,,,
,,,,,,,,Nếu bạn có câu hỏi gì ,0:40,Video,
