Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
tieng-anh-hoc-dau-cau-chang-kho-chut-nao,Tiếng Anh: Học dấu câu chẳng khó chút nào!,Bạn sẽ được học những điều cơ bản về dấu câu mà không có chút khó khăn nào. Và mọi người sẽ không bao giờ cười vào dấu chấm câu của bạn nữa.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu về khóa học,,,,
,,,Có phải cách bạn dùng dấu chấm câu làm bạn thấy xấu hổ? Nếu đúng như vậy thì khóa học này chính là BẢN HƯỚNG DẪN SỐNG CÒN dành cho bạn giúp bạn cải thiện tình trạng này.,- Không có yêu cầu gì.,- Hơn 11 bài giảng và 43 phút nội dung!,"Nếu bạn đã hiểu về dấu chấm câu - Khoá học này KHÔNG phải dành cho bạn. Nếu bạn là một người hiểu một cách mù quáng về dấu chấm câu - Khoá học cũng KHÔNG cho bạn. Nếu bạn chỉ muốn thư giãn, không bao giờ phải lo lắng về dấu chấm câu tiếng Anh, chào đón bạn đến với khóa học.",,Video quảng cáo,1:55,Video,
,,,Bạn cảm thấy chán nản vì mọi người bảo rằng bài viết của bạn giống như bài viết của một đứa trẻ lên 10? Bạn biết rõ bạn phải làm điều gì nhưng dấu chấm câu của bạn lại cản trở bạn thực hiện điều đấy? Có phải nó làm bạn cảm thấy cực kì xấu hổ khi mọi người đọc những gì mà bạn đã viết?,- Bạn không cần bất kỳ tài liệu hoặc phần mềm nào. Bạn thậm chí không cần phải ghi chép gì vì đã có tài liệu cho mỗi buổi học.,"- Nhanh chóng học được những khái niệm cơ bản về dấu chấm câu trong Tiếng anh để có được sự tự tin và viết lách rõ ràng, rành mạch hơn.",,,Cách tải tài liệu ,0:40,Video,
,,,Có phải cách bạn dùng dấu chấm câu làm bạn thấy xấu hổ? Nếu đúng như vậy thì khóa học này chính là BẢN HƯỚNG DẪN SỐNG CÒN dành cho bạn giúp bạn cải thiện tình trạng này.,,- Trong khóa học này bạn sẽ được học về các dấu chấm câu quan trọng với những cách đơn giản để dùng chúng sao cho đúng.,,Phần 2: KHÓA HỌC - Tiếng Anh: Học dấu câu chẳng khó chút nào!,,,,
,,,Bạn cảm thấy chán nản vì mọi người bảo rằng bài viết của bạn giống như bài viết của một đứa trẻ lên 10? Bạn biết rõ bạn phải làm điều gì nhưng dấu chấm câu của bạn lại cản trở bạn thực hiện điều đấy? Có phải nó làm bạn cảm thấy cực kì xấu hổ khi mọi người đọc những gì mà bạn đã viết?,,,,,Dấu chấm câu - Nó thế nào?,3:42,Video,
,,,"Tốt thôi, bạn không đơn độc đâu! Hãy đến với chúng tôi! Dấu chấm câu thật sự rất dễ!",,,,,Câu,3:39,Video,
,,,"Chỉ trong 30 phút, tôi có thể dạy bạn tất cả mọi thứ bạn cần để bạn biết đặt dấu chấm câu cho các câu văn của bạn một cách hoàn hảo.",,,,,Ngoài các dấu chấm,5:13,Video,
,,,"Sắp xếp các lập luận của bạn đúng cách, làm cho văn bản của bạn thuyết phục hơn và mang đến sự thích thú khi bạn ĐỌC lại bài của mình. Mọi người sẽ không thể cười vào dấu câu của bạn nữa.",,,,,Dấu phẩy,5:12,Video,
,,,"Trong khóa học này, chỉ với một vài video rất ngắn, mỗi video tập trung vào một loại dấu chấm câu, bạn sẽ thấy thích thú trong việc kiểm soát tất cả mọi thứ mà bạn viết.",,,,,Dấu chấm và dấu chấm phẩy,3:40,Video,
,,,"Không thuật ngữ. Không bài học ngữ pháp. Chỉ là những quy tắc đơn giản như A B C. Và cũng giống tất cả các khóa học của tôi, bạn sẽ được tải tài liệu về để học.",,,,,"Làm thế nào để sử dụng Hô ngữ (dấu lược, dấu lửng ') phần 1",3:42,Video,
,,,Tôi sẽ chỉ cho bạn cách lái xe chứ không chỉ cho bạn cách tháo rời cỗ máy.,,,,,"Làm thế nào để sử dụng Hô ngữ (dấu lược, dấu lửng ') phần 2",6:18,Video,
,,,Và tôi luôn cố gắng để bạn cảm thấy thoải mái trong quá trình học.,,,,,Dấu Lời nói (dấu ngoặc kép),7:48,Video,
,,,"Đăng ký ngay bây giờ nào! Thật thú vị, thật DỄ DÀNG. Đây là HƯỚNG DẪN SỐNG CÒN của bạn đấy.",,,,,KẾT THÚC NỘI DUNG,1:15,Video,
,,,Hẹn gặp lại bạn trong lớp học!,,,,,,,,
