name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
Nhân đôi sự Tự Tin & Tự Trọng của bạn - Hoàn thiện bản kế hoạch chi tiết,Học cách làm thế nào để cảm nhận và trông tự tin. Bản kế hoạch chi tiết được tập hợp bán chạy nhất với những chiến lược vững chắc & Kỹ thuật đơn giản,"Hơn 22,500 học viên từ khắp nơi trên thế giới đã đăng ký học những khóa học của tôi
Được công nhận là 1 trong những giảng viên Tốt nhất ở Udemy
Nhìn chung, trên 350 những nhận xét HÀNG ĐẦU từ những học viên rất hài lòng
CẬP NHẬT CUỐI CÙNG: Tháng 5 2015 - những video TẶNG THÊM đã được cập nhật! Sự tự tin là một trong những yếu tố cơ bản cốt lõi của hạnh phúc. Và sự sợ hãi là một trong những vật cản căn bản đến sự tự tin. Sự tự tin đã được chứng mình là có thể giảm căng thẳng và sự lo lắng, và cũng nâng cao khả năng của bản thân để suy nghĩ rõ ràng để đưa ra nhiều quyết định hàng ngày. Khóa học này được thiết kế để dạy những điều căn bản mà làm nên tự trọng và sự tự tin, để bạn có thể bắt đầu cải thiện được cách nhìn của mình trong cuộc sống đồng thời đạt được những mức cáo hơn về sự hài lòng của bản thân. 
Hãy bắt đầu toát lên sự tự tin và cảm nhận nhiều hơn về sự hài lòng của bản thân với khóa học liên tục và hiệu quả này.
Xây dựng sự tự tin
Phát triển tư duy mạnh mẽ
Niềm tin xã hội & quan điểm
Phát triên sự tối giản (Elevator Pitch)
Trình tự và các thủ thuật
Nội dung và Khái quát chung
Khóa học này được xây dựng cho bât cứ ai có mong muốn nâng cao sự tự tin và lòng tự trọng của họ. Chỉ có những yêu cầu sau đây đó là một tư duy linh hoạt và sự tận tâm để thay đổi bản thân.
Học viên của khóa học này sẽ phải truy cập vào hơn 35 video để khám phá sự tự tin bên trong con người bạn và xây dựng nó từng bước một với các bài tập tâm lý. Bạn sẽ được học làm thế nào để cảm nhậnsức mạnh và  năng lực trong những khả năng của mình và phá bỏ những rào cản tâm lý mà bạn đã xây quanh bản thân mình trước đó.
Khóa học cũng bao gồm các chiến lược cho việc duy trì sự tự tin khi rơi vào trạng thái lo âu, và làm thế nào để đối phó với những tình huống căng thẳng. Sau đó, bạn sẽ tiến tới thực tập giao tiếp xã hội qua các bài tập như tạo sự tối giản hóa giả định. Cuối cùng, một khi bạn đã hoàn thành được quá trình, bạn sẽ học một vài những thủ thuật có thể đẩy mạnh sự tự tin và tiếp tục duy trì điều đó qua từng ngày. 
Những học viên đã hoàn thành khóa học sẽ được chuẩn bị về mặt tình thần để cảm nhận rõ hơn sự tự tin và tràn đầy lòng tự trọng trong hầu hết các hoàn cảnh, bao gồm những khoảnh khắc thay đổi có làm xoay chuyển cuộc sống của bạn. Khóa học này cũng có thể làm tăng khả năng thấy những cơ hội hàng ngày và tìm kiếm chúng thay vì bó hẹp trong sự sợ hãi.
Học cách không để sự lo lắng ngăn cản bạn dẫn dắt cuộc sống mà bạn xứng đáng; bắt đầu giành lại sức mạnh về tinh thần với những thủ thuật và chiến lược và không để cuộc sống đưa đẩy bạn mà bạn không hay biết.
Mọi người nói gì về khóa học này:
""Khóa học tốt nhất mà tôi đã tham gia tại Udemy. Tôi đã tham gia 2 khóa học của Jimmy, một giáo viên tuyệt vời"" - Mèo Đần.
""Khóa học tuyệt vời. Giảng viên rất thẳng thắn và đưa ra rất nhiều các ví dụ thực tiễn và đưa cả những thử thách để luyện tập. Các video có chất lượng rất cao và sáng tạo, một ý tưởng hay khi quay những video ở các thành phố khác nhau trên thế giới. Tôi sẽ trở lại để ghi nhớ những khía cạnh vững chắc rằng tôi quên và chắc chắn là tôi sẽ luyện tập luôn bây giờ"". - Jorge De Matos Vieira   ""Khóa học tuyệt vời. Hãy tận hưởng khóa học này. Có những thứ tuyệt vời mang đi được nhận lại. Rất cập nhật với thế giới ngày nay."" - Hayden Proffitt.
""NÓ THẬT ĐÁNG GIÁ! Tôi vẫn chưa kết thúc khóa học, nhưng tôi có thể nói rằng, nếu bạn thât sự lắng nghe, thấu hiểu và làm theo các bước và các gợi ý trên video, bạn sẽ chắc chắn tăng sự tự tin của mình!!"" - Lucio Rodriguez          ""Thật sự là rất vui và thử thách. Mặc dù tin rằng tôi khá sự tin về bản thân, nhưng tôi vẫn tham gia khóa học này để thấy rằng tôi có thể học được một vài điều gì đó mới. Khóa học thật sự thay đổi quan điểm của tôi về cái mà bạn có thể làm để nâng cao lòng tự trọng của mình. Đặc biệt là những Thử Thách thoải mái - như bạn có thể đoán được - rất thách thức. Chất lượng của các video thật sự là đáng ngạc nhiên và bạn có thể thấy rằng Jimmy đã dành rất nhiều nỗ lực với khóa học này. Tôi thật sự ngưỡng mộ với điều đó"". - Enis Tola     ""Tin tôi đi, bạn có thể nâng cao gấp đôi sự tự tin của mình! Khóa học của Jimmy Naraine về ""Gấp đôi sự tự tin & lòng tự trọng của mình"" đã vượt qua cả sự kỳ vọng của tôi. Có rất nhiều những yếu tố mà chúng tôi cho là không quan trọng. Những nếu giải quyết hợp lý, tầm quan trọng của thành công trong việc đạt được sự tự tin là điều có thật. Anh ấy giải thích thật chi tiết, điều mà làm chúng tôi nghĩ lại ""Vì sao chúng tôi chưa bao giờ nghĩ về điều đó hồi trước?!"" Tôi đã bắt đầu luyện tập với sự gợi ý của anh ấy. Âm thanh và video là một điểm cộng cho khóa học này. Rất khuyến khích."" - Shameer Mohammed.
""NHỮNG THÔNG TIN TUYỆT VỜI! Jimmy Naraine là một người đàn ông thực thụ! Anh ấy đưa ra những thông tin rất hữu ích và anh giải thích mọi điều rất tốt. Anh ấy không có sử dụng bất kỳ những lời đường mật nào. Anh ấy đi thẳng vào vấn đề! HÀNH ĐỘNG thôi!"" - Rihan
""KHÓA HỌC TUYỆT VỜI. Một khóa học được xây dựng xuất sắc, rất nhiều video hay và thật sự đề cập đền nội dung. Được trình bày rất tốt và chân thực theo cách chuyên nghiệp. Với cá nhân tôi thì khóa học rất đáng giá, sự tự tin của tôi và những kỹ năng giao tiếp đã được tăng thêm đáng kể và chất lượng sống nhìn chung đã được tăng lên nhiều. 1 Sự khuyến khích cực lớn"" - Valentin Funk
""Khóa học xuất sắc để khiến bạn tự tin hơn rất nhiều. Nội dung của khóa học là những video ngắn và rất trọng tâm. Tôi giống như đứa bé đi từng bước theo sự chỉ dẫn của Jimmy với các thủ thuật của anh ấy. Khóa học thật sự rất vui để nỗ lực vượt qua tất cả những thử thách. Khuyến khích cao"" - Afsar
""Đáng giá từng đồng xu! Khóa học này đã thực hiện những cái đã mà đã giới thiệu và còn hơn thế nữa, anh ấy thật sự đem bạn vào một chuyến đi mà bạn sẽ được tận hưởng cũng như thấy được những vấn đề cốt lõi mà bạn vẫn đang gặp phải và đang níu lại sự tự tin của mình phía sau và biết cách làm thế nào để thay đổi được những điều đó."" - Jerome Moore
""Một khóa học đáng ngạc nhiên. Tôi đang học rất nhiều và tôi bị ấm tượng với người thuyết trình. Anh ấy hiểu thế mạnh của mình và dẫn rất tuyệt. Cám ơn anh."" - Terrie
""Rất nhiều những khái niệm tốt. Jimmy có thể tìm được những từ chính xác và những ví dụ để có thể giải thích những khái niệm mang tính lý thuyết về sự tự tin và lòng tự trọng. Tôi khá chắc chắn rằng việc áp dụng những ý tưởng sẽ là tăng sự tự tin của con người."" - Matthieu Speeckaert        ""Tôi cần khóa học này. Cám ơn Jimmy rất nhiều với khóa học kỳ diệu này. Tôi thích tất các các kỹ năng bạn dạy trong khóa học này. Nhưng đây một điều đặc biệt đối với tôi và cái đem lại cho tôi sức mạnh và giúp đỡ là những thủ thuật điện thoại. Bất cứ khi nào tôi cảm thấy tôi cần một vài động lực với sự tự tin của tôi, tôi sử dụng nó và phương pháp đó thật sự đã giúp tôi rất nhiều trong những hoàn cảnh tôi gặp phải."" - Mohamad 
""CHẤT LƯỢNG SẢN XUẤT XUẤT SẮC. Jimmy and đội ngũ làm video của anh ấy đã rõ ràng làm ra được một thương vụ lớn trong nỗ lực làm phim và hậu kỳ. Họ đã đặt ra 1 tiêu chuẩn cho những giảng viên tại Udemy khác noi theo"". - Alicia  ""Một khóa học thiên tài! Một khóa học thật không thể tin được, tôi không có thể theo học hết đc khóa học nhưng tôi bị ngạc nhiên với sự dồi dào của lượng kiến thức trong khóa học. Chất lượng sản xuất video xuất chúng và giảng viên thật xuất sắc. Khuyến khích tuyệt đối."" - Richard Batt.",Cởi mở và tận tâm,"61 bài giảng và 5.5 giờ nội dung!
Phát triển sự tự tin bên trong bạn
Nhận thức được việc trở thành một người tự tin
Bắt đầu tin vào bản thân mình
Luyện tập các chiến lược, kỹ thuật và phương pháp
Ngừng việc tìm kiếm sự cho phép
Loại bỏ nỗi sợ bị tự chối
Loại bỏ căng thẳng và những âu lo xã hội
Trở nên hòa nhập với xã hội hơn
Cảm thấy tự tin với làn da của mình
Học cách làm thế nào để gây ấn tượng tốt ngay lần gặp đầu tiên
Học cách làm thế nào để nói tự tin
Tận hưởng những video tivi chất lượng",Là bất kỳ ai có mong muốn xây dựng nhanh chóng sự tự tin và lòng tự trọng ở cấp cao.,Phần 1: Giới thiệu chung và Mục tiêu ,,
,,,,,,,Giới thiệu,2:24
,,,,,,,Cấu trúc chương trình và Mục tiêu,7:35
,,,,,,,Sự tự tin là gì?,4:08
,,,,,,,Hơn 1000 học viên tuyệt vời!,4:20
,,,,,,Phần 2: Gấp đôi sự tự tin cốt lõi bên trong bạn,,
,,,,,,,Hãy biết ơn Chúa - video tặng kèm từ 20/2/2014,7:12
,,,,,,,Tạo dựng hình ảnh bản thân mạnh mẽ,7:00
,,,,,,,Dừng lại việc tìm kiếm sự chấp nhận,4:59
,,,,,,,Vì sao tôi trong danh sách nổi bật,8:05
