name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
Thiết lập mục tiêu hiệu quả - Kế hoặc chi tiết từng bước ,"Xác định tầm nhìn của bạn, đạt được các mục tiêu lớn và tận hưởng cuộc hành trình cùng các chiến lược được  sử dụng bởi 1 phần trăm những người giỏi nhất ","Hơn 23000 người trên thế giới tham gia vào khóa học của tôi
Điểm nổi bật là giảng viên là một trong những người tốt nhất tại Udemy
có hơn 380 review ( dưới đây) từ những học viên hài lòng với khóa học
Sẽ có thêm các video tặng kèm vào tháng 7/2015
Trong khóa học này tôi sẽ tiết lộ 1 trong những chìa khóa của người thành công.Cụ thể là, họ không bao giờ ""mơ ngủ"" trong suốt cuộc đời của mình. Thay vào đó, họ có định hướng rõ ràng, xác định mục tiêu và tạo ra một kế hoạch hành động đúng đắn. Có thể bạn nghĩ chỉ cần làm việc chăm chỉ là đủ. Tuy nhiên, làm việc mà không có một định hướng rõ ràng cũng giống như đi tàu với tốc độ tối đa mà không hề có bất cứ hệ thống định vị nào.Vấn đề không phải ở chỗ bạn có thể đi nhanh như thế nào, vấn đề là bạn có thể sẽ không bao giờ đạt được mục tiêu mà bạn mong muốn. Trong bài giảng này, tôi sẽ chia sẻ cho các bạn từng bước của quá trình để đạt được những mục tiêu lớn của mình. Bạn chỉ sống có một lần, hãy tận dụng nó. Tôi không muốn làm phiền bạn với những thông điệp marketing dài dòng nên đơn giản bạn hãy xem trailer và những video xem trước, tìm hiểu xem tại sao lại có hàng chục nghìn người tin tưởng vào chúng tôi. Tôi chắc chắn rằng bạn sẽ rất hứng thu tham gia cùng chúng tôi và tôi cũng sẽ rất vui khi được thấy các bạn.
Mọi người nói gì về khóa học của chúng tôi ( một vài review trong số 380 top review)
""Chấy lượng sản xuất tuyệt vời. Jimmy và đội ngũ của mình rõ ràng đã rất nỗ lực trong quá trình quay film và xử lý hậu kỳ. Họ là tiêu chuẩn để các giảng viên Udemy khác nên đi theo"" - Alicia
""Tốt nhất, khóa học của Jimmy là tốt nhất!!! chất lượng tuyệt vời !!! """" Sandy Allian
"" Những thông tin bổ ích! Jmmy Naraine ,ông ấy đưa ra những thông tin bổ ích và ông ấy đã giải thích mọi thứ rất hay, ông  ấy không cần vòng vo mà đi thẳng vào vấn đề! Hành động luôn "" Rihan
""Hữu ích và thú vị. Bài giảng của Jimmy thật chuyên nghiệp, bắt đấu từ những điều đẹp đẽ trên toàn thế giới. Tôi học được những thông tin quan trọng và hữu ích, và tôi đang vận dụng nó khi tôi đang viết những dòng này "" -Stan Prentice

","Giải trí 
Mở mang tâm trí
Tiếp thu kiến thức
Thực hiện các bài tập và bắt đấu thay đổi suy nghĩ của bạn
","
Hơn 44 bài giảng và 4.5 giờ giảng dạy
Tận hưởng những Video HD từ những địa điểm lạ
Học theo quá trinh từng bước một của tôi
Sẽ có thêm các video mới vào tháng 7/2015
bản audio đầy đủ để nghe trên máy nghe nhạc hoặc điện thoại của bạn
Phá tan niềm tin hạn chế của bạn
Cảm thấy có động lực và khát khao
Tìm hiểu những chiến lược vững chắc và ký thuật hữu ích
Tìm hiểu làm thế nào để xác định tầm nhìn hấp dẫn
Tránh ""bẫy triệu phú""
Khám phá lý do tại sao mục tiêu trung bình không hoạt động
Áp dụng Hệ thống thiết lập mục tiêu thông minh
Hiểu lý do vì sao danh sách ""Giải pháp cho năm mới"" hiếm khi có hiệu quả
Trở nên tự tin hơn
và tự tin hơn nữa","Nếu như bạn đã chán với việc là ngườ bình thường, muốn nhiều hơn từ cuộc sống nhưng không biết phải làm thế nào để mọi chuyện khác biệt, hãy tham gia khóa học
Bạn nên tham gia khóa học này nếu như bạn muốn thiết kế cuộc đời thay vì để hoàn cảnh kiểm soát nó
Bạn không nên tham gia khóa học này nếu như bạn không tin vào việc tự cải thiện",Phần 1: Lời mở đầu.,,
,,,,,,,1.Khóa học bao gồm những gì?,2:59
,,,,,,,2. Những thông tin quan trọng - video bổ sung thêm vào tháng 7/2015,1 page
,,,,,,,3. Tại sao bạn cần phải có mục tiêu?,4:37
,,,,,,,4. Truyền thuyết lớn nhất về thiết lập mục tiêu,7:26
,,,,,,,5. Thiết lâp mục tiêu mạnh mẽ là phản đối trực quan. Đây là lý do,1:36
,,,,,,,6.Bẫy triệu phú,4:01
,,,,,,,7. Phần 1 -  tổng kết,4 pages
,,,,,,Phần 2: Xác định tầm nhìn như thế nào?,,
,,,,,,,8. Tại sao có một mục tiêu hấp dẫn lại quan trọng?,3:37
,,,,,,,9. Những bài tập được nhiều Triệu phú thực hiện,5:38
,,,,,,,10.Hơn 12.000.000 những thiên tài ? Hmmm,6:00
,,,,,,,11. Những câu hỏi hữu ích cho việc xác định tầm nhìn của bạn,2:16
,,,,,,,12. Chia sẻ tầm nhìn của bạn ngay bây giờ,1:25
,,,,,,,13.Tại sao giải pháp cho năm mới lại ít khi thành công,4:38
,,,,,,,14. Những câu hỏi quan trọng,3 pages
,,,,,,,Tổng kết phần 2,4 pages
,,,,,,Phần 3: Những mục tiêu dài hạn,,
,,,,,,,16. Xác định mục tiêu lâu dài của bạn,5:35
,,,,,,,17. Làm thế nào để viết ra những mục tiêu của bạn?,3:26
,,,,,,,18. Nguyên tắc Pareto - Phần 1,1:59
,,,,,,,19. Nguyên tắc Pareto - Phần 2,3:12
,,,,,,,20. Nguyên tắc Pareto_Phần 3,5:27
,,,,,,,21. Phần 3 - tổng kết,5 pages
,,,,,,Phần 4: Mục tiêu ngắn hạn,,
,,,,,,,22: Giới thiệu về mục tiêu ngắn hạn,1:51
,,,,,,,23: Những thách thức giới hạn con người,7:38
,,,,,,,24: Phần 4 - Tổng kết,3 pages
,,,,,,Phần 5: Những thói quen hàng ngày có thể thay đổi cuộc chơi,,
,,,,,,,25. Những yếu tố cần thiết trên con đường dẫn tới thành công,4:54
,,,,,,,26. Lễ nghi buổi sáng,7:21
,,,,,,,27. Đo tiến trình của bạn,3:47
,,,,,,,28. Sức mạnh của trách nhiệm giải trình,5:39
,,,,,,,29. Đối tác trách nhiệm,3:41
,,,,,,,30. Phần thưởng thì thế nào?,3:32
,,,,,,Phần 6: Xây dựng sức mạnh tinh thần,,
,,,,,,,31. Tiêu cực là một loại bệnh - Cách xử lý với những người tiêu cực,10:19
,,,,,,,32. Lòng kiên trì,7:50
,,,,,,,33. Thế luật nhân quả thì sao?,5:05
,,,,,,,34.Tận hưởng cuộc hành trình,2:14
,,,,,,,35. Video tốt nhất - Hãy xem qua,1 page
,,,,,,Phần 7: Những video tặng kèm,,
,,,,,,,36. Những công cụ truyền cảm hứng của tôi,5:23
,,,,,,,37. Cái bẫy của việc tìm kiếm sự đồng thuận,8:14
,,,,,,,38. Cảm ơn,1:43
,,,,,,Phần 8: Bản audio của tất cả các bài giảng ,,
,,,,,,,39. Phần 1 - Bản audio,17:41
,,,,,,,40. Phần 2 - Bản audio,23:35
,,,,,,,41. Phần 3 - Bản audio,19:40
,,,,,,,42. Phần 4 - Bản audio,9:30
,,,,,,,44. Phần 5 - Bản Audio,28:56:00
,,,,,,,45. Phần 6 - Bản audio,16:53
