name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
Làm sao để tìm ra động lực để đạt được tất cả các mục tiêu trong 20 phút,"Một cách đơn giản để bộc lộ khát khao của bản thân và đánh bại sự trì hoãn, sự lúng túng và hủy hoại bản thân","Hơn 1 150 học viên mới ngay trong tuần đầu tiên! Hãy tìm hiểu xem tại sao lại như vậy
""Sẽ tăng giá từ 21/7/2015
Đây là những gì một số học viên mới ( tổng cộng có 13 lượt đánh giá 5 sao), những người đã quyết định lựa chọn khóa học này, nói sau khi hoàn thành khóa học:
""Đây không phải là một khóa học thông thường. Ken đã thật sự phát triển những hướng đi độc đáo và hướng thẳng tới mục đích nhanh chóng tạo động lực cho bản thân để bạn có thể hoàn thành những gì bạn đã đặt ra cho mình. Đây là 1 trong những khóa học có thể thật sự thay đổi cuộc sống của bạn và cách bạn làm mọi việc""
-Christine Evans
""Rõ ràng và hướng thẳng và điểm chính
Nếu bạn đã đọc bất cứ sách nào về phát triển bản thân hay cải thiện bản thân, bạn sẽ quá hiểu rằng chúng chứa rất nhiều điều thừa thãi
Khóa học này không có những điều thừa thãi đó. Nói ngắn gọn, những chuỗi bài tập đơn giản, Ken đưa tới một công cụ hữu hiệu để làm rõ bạn đang muốn đạt được điều gì. Rất đáng để thử""
-Sam Pollard
""Một từ để miêu tả khóa học này đó là ""tuyệt vời"". Chúc mừng Ken! Nếu mục đích của anh là để giúp đỡ mọi người, tôi sẽ nói rằng anh đã làm được điều đó. Tôi thích khóa học này vì nó đi thẳng vào vấn đề. Đây không chỉ là 1 khóa học đơn thuần, nó là 1 hướng dẫn hằng ngày mà sẽ có thể giúp ước mơ của bạn trở thành hiện thực""
-Mauel Heredia
""Thật là một khóa học soi sáng! Bạn sẽ yêu khóa học này và sự đơn giản cũng như sức mạnh của nó""
Có quá nhiều khóa học và sách về làm thế nào để đạt được mục tiêu của bạn và chúng làm việc đó trở nên thật phức tạp và tốn thời gian. Ken đã làm nó trở nên đơn giản và đi thẳng vào trọng tâm và tìm ra sự rõ ràng ngay. Tôi đã thực hiện tường bước và đã biết được làm sao để tiến lên và điều gì đã cản trở mình! Tôi sẽ thêm khóa học hành vào trong những công cụ để phát triển bản thân của mình và sử dụng nó thường xuyên. Tôi sẽ xem qua nó mỗi lần tôi muốn đạt được một mục tiêu mới. Hãy đăng kí ngay hôm nay!""
-Lan Anders
"" Một hành trang cần thiết cho bạn để hoàn thành mục tiêu của mình. Thật sự là như vậy! Bạn có thể tìm thấy động lức trong chưa đầy 20 phút. Đây là một phương pháp độc đáo được phát triển bởi Ken, nó không phải là một khóa học về động lực 1 cách bình thường. Ken đã ở đây để giúp đỡ, một người thầy nhiệt tình và thân thiện"" 
-Shane Lim
""Thiết thực và sâu sắc
Đây là một trong những khóa học tốt nhất trên Udemy về lập mục tiêu! nếu bạn dành thời gian cho khóa học, bạn sẽ có cơ hội đi qua tất cả các bước trong qui trình thú vị của khám phá bản thân. Khóa học được xây dựng và trình bày rất tốt. Tôi thật sự có lời khuyên về khóa học nên""
-Gulnara Emirali
Khá phá khát khao cốt lõi đằng sau những mục tiêu của bạn dẫn tới cảm hứng mới mẻ và động lực tự nhiên để thiết kế ra một cuộc sống mà bạn mong muốn
Khóa học này sẽ nói về 1 qui tình 7 bước sẽ giúp bạn tìm ra bạn thật sự muốn gì, tìm ra những điều cản trở bạn đến với thành công và hiểu sâu về những phương thức tạo động lực cốt lõi đằng sau những mục tiêu đó.
Nhanh chóng khám phá ra khát vọng cốt lõi và động lực thật sự để đạt được thành công một cách vừa tự nhiên vừa thú vị
Nhanh chóng khám phá ra khát vọng cốt lõi và động lực thật sự để đạt được thành công 
Trở nên hoàn toàn rõ ràng và loại bỏ nghi ngờ về phương hướng và mục đích trong cuộc sống của bạn
Học bí quyết dẫn tới những hành động hữu hiệu đối với mục tiêu của bạn
Tìm ra cảm hướng mới và sự nhiệt huyết trên con đường tới mục tiêu của bạn
Nhận diện những trở ngại chính cho việc thiết kế phong cách sống riêng 
Tránh sự lúng túng, phức tạp và cạm bẫy trong các cách đặt mục tiêu truyền thống
Vượt qua sự trì hoãn và bắt tay thực hiện mục tiêu
Nhận thức được điều gì khiến con người mất đi động lực và cách nhìn ra làm thế nào để tránh mắc phải những sai lầm tương tự
Kết thúc sự hủy hoại bản thân bằng cách sắp xếp các công cụ tạo động lức để tiếng lên đạt mục tiêu một các đầy hứng thú
Học cách đơn giản để chuyển những giới hạn của bản thân thành thế mạnh và nhận ra nguồn năng lượng sáng tạo mới và sự tự tin
Môột qui trình đơn giản và hiệu quả để khám phá bản thân mà có thể giúp bạn tìm ra khát vọng cốt lõi của mình
Tổng quan và Nội dung
Rất nhiều người gặp vấn đề với việc giữ động lực để làm việc để đạt mục tiêu của họ. Thông thường, lí do là vì học tập trung vào những mục tiêu sai lầm hoặc họ tập trung vào mục tiêu đúng đắn nhưng theo một cách sai lầm
Nhu cầu tăng động lực trở nên không cần thiết khi bạn đúc kết được những gì truyền cảm hứng và thúc đẩy bạn hành động một cách tự nhiên
Khi bạn làm được điều đó, đạt tới mục tiêu trở nên thú vị và đầy sự hứng thú
Khóa học này cũng sẽ giúp bạn mở ra những niềm tin ẩn dấu tồn tại trên con đường nhận ra ước mơ của bạn
Cũng có thêm một phương pháp về làm thế nào để bắt đầu thay đổi những niềm tin hạn chế đó
sử dụng 11 videos định hướng ngắn gọn, cùng với những ví dụ và câu chuyện bản thân để hướng dẫn bạn qua quá trình soi sáng mà nhiều người có thể thấy thay đổi cuộc đời mình
Qui trình 7 bước sau có thể hoàn thành trong 20-30 phút
Nó được thiết kế để giúp bạn đạt được chính xác những kết của mong muốn và đem tới cho bạn một cái nhìn 360 độ về mục tiêu của bạn trước khi bạn đặt ra nhiệm vụ cho mình
Nó sẽ hạn chế nhiều sự lúng túng và phức tạp với việc tìm ra điều gì bạn mong muốn và giúp bạn tránh khỏi những cạm bẫy liên quan tới đặt mục tiêu
Bạn cũng sẽ học một chút về những quan điểm và bắt đầu để ý rằng quan điểm của bạn về mục tiêu của bạn không phải là thực tế và có thể thay đổi để phục vụ bạn tốt hơn
Đây là một điểm bắt đầu tuyện vời cho những ai sẵn sàng bắt đầu thay đổi cuộc đời hoặc cho bất cứ ai đang tìm kiếm một hành trình mới
Đây chính xác là điểm tôi đã bắt đầu với những khách hàng mẫu của mình. Nó hoạt động tuyện vời khi bạn đơn giản chỉ cần làm theo các hướng dẫn
Bạn sẽ có những nhận thức rõ ràng mới, cảm hứng và động lực để sống cuộc sống bạn thật sự muốn
Tôi muốn bạn lưu ý rằng mọi khoảnh khắc bạn không sắp xếp được mong muốn của mình là lúc bạn lãng phí thời gian theo đuổi giấc mơ của người khác
Vậy bạn có thể thở, thư giãn, tham gia khóa học ngay để bắt đầu sống cuộc sống mà bạn xứng đáng","bút, giấy và não","Hơn 12 bài giảng và 44 phút nội dung
Nhanh chóng kháp phá ra khát vọng cốt lõi của bạn và tìm ra các tự nhiên để đạt được mục tiêu
Trở nên hoàn toàn rõ ràng và loại bỏ nghi ngờ về phương hướng và mục đích trong cuộc sống của bạn
Học bí quyết dẫn tới những hành động hữu hiệu đối với mục tiêu của bạn
tìm ra cảm hướng mới và sự nhiệt huyết trên con đường tới mục tiêu của bạn
xác định những trở ngại dẫn tới thiết kế phong cách sống của riêng bạn
Có thể tránh sự lúng túng. phức tạp và cạm bẫy trong việc xác định mục tiêu theo cách truyền thống
Học cách vượt qua sự trì hoãn và hành động để đạt tới mục tiêu
Tìm ra những gì khiến con người mất cảm hứng và học học các không phạm phải những sai lầm tương tự
Kết thúc sự hủy hoại bản thân bằng cách sắp xếp các công cụ tạo động lức để tiếng lên đạt mục tiêu một các đầy hứng thú
Học các đơn giản để chuyển những giới hạn của mình thành thế mạnh và nhận ra năng lượng sáng tạo mới và sự tự tin",tất cả những ai đang tìm kiếm cách để đặt mục tiêu mới và xem xét lại những mục tiêu cũ,Phần 1: Giới thiệu,,
,,,,,,,Giới thiệu,6:39
,,,,,,,Giới thiệu về ý tưởng lớn,4:00
,,,,,,,Cách thực hiện các bước,1:41
,,,,,,Phần 2: Các bước thực hiện,,
,,,,,,,Bước 1,3:07
,,,,,,,bước 2,2:37
,,,,,,,bước 3,7:10
,,,,,,,bước 4,5:04
,,,,,,,bước 5,2:04
