Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Toát ra sự tự tin: Làm thế nào để tỏa sáng,"Giúp bạn mở khóa những góc sáng bên trong mình, hay sự hiện diện để bạn có thể kết nối với mọi người mà bạn gặp một cách dễ dàng.","Hơn 4200 học sinh, Khóa học được cập nhật tới tháng 3/2015
Bạn đã từng thầm khao khát thành đạt hơn trong cuộc sống? Đối với nhiều người, bạn trông có vẻ thành công và hài lòng, nhưng trong thâm tâm bạn biết bạn vẫn chưa chạm tới tiềm năng cao nhất của mình.Và nó quả thực rất đau đớn. Có lẽ bạn sẽ không bao giờ đề nghị được tăng lương dù bạn xứng đáng. Hoặc bạn tránh trình bày trong một căn phòng có đầy đủ những người có tầm ảnh hưởng. Bạn chỉ đứng ở ""hậu trường"", Hoàn toàn có năng lực nhưng lại như thể vô hình
Nhưng có một lời thì thầm bên tai bạn, xin bạn hãy lên tiếng. Hãy mong muốn nhảy ra ngoài vùng thoải mái của bạn. Và thông điệp của bạn? Bạn biết bạn có nó_ nhưng có thứ gì đó ngăn cản bạn làm một điều khác biệt, khiến bạn tỏa sáng với khả năng của mình. NÓ LÀ GÌ?
Câu trả lời là khác nhau đối với từng người. Và điều tốt đẹp là, không khó để thoát khỏi cái vỏ bọc nhút nhát đó. Bởi vì bạn có được những gì?Danh tiếng? Vận may? Sự thừa nhận? Đúng, tất cả điều đó đều đúng nhưng cái mà bạn thực sự nhận được là những điều vô giá, là món quà đến cùng với con người thực sự của bạn theo cách hiệu quả nhất, cùng với sự lan truyền mạnh mạnh mẽ. Tới càng nhiều người càng tốt. Nó là món quà cho bạn, nhưng nó cũng là món quà đối với chúng tôi. Vâng, với chúng tôi. Việc đóng vai trò nhỏ bé, như Marianne Williamson tuyệt vời đã từng nói, chẳng làm được gì cho chúng ta.
Xin chào, tôi là Alexa
Tôi dành phần lớn công sức của mình cho sự nghiệp làm diễn viên truyền hình cho tới khi tôi nhận ra rằng cuộc sống trên những chương trình truyền hình sẽ không thỏa mãn khát khao được giúp đỡ người khác của mình. Kỹ xảo của diễn xuất chính là về giải thích cách hành xử của con người, học làm thế nào để một người được chú ý. Hiểu được những trở ngại họ gặp phải khi giành lấy những gì họ muốn. Tôi yêu diễn xuất, nhưng tôi thấy thật đáng buồn khi nhận ra sức ảnh hưởng của nền công nghiệp giải trí tới những người bình thường. Tôi thấy vô số người rơi nước mắt khi so sánh bản thân họ với những người nổi tiếng. Tôi biết giờ là lúc để tôi tham gia vào công tác giảng dạy
Đây là sự thực
Những người diễn viên cũng chỉ như tôi và bạn. Thực ra thì, mỗi người trên hành tinh này đều được sinh ra để tỏa sáng, Bạn đến với thế giới cùng với niềm đam mê và mục đích riêng. Bạn có thể vẫn chưa biết rằng nó là gì nhưng bạn từ tận đáy lòng, bạn biết, giờ là lúc để thay đổi. Hãy tưởng tượng xem bạn sẽ dành được những gì nếu bạn cố gắng hết sức:
Bạn có can đảm để yêu cầu những gì bạn muốn
Bạn có sự kiên trì để không từ bỏ
Bạn bước vào phòng cùng với sự tự tin và bình tĩnh
Bạn thể hiện bản thân một cách tự nhiên 
Bạn kiểm soát được sự chú ý của khán giả
Bạn có được sự sâu sắc đích thực và sự trung thực
Bạn sử dụng TẤT CẢ những kĩ năng có sẵn của mình, nhưng tốt hơn trước
Bạn tạo ra những cách mới và sáng tạo cho việc kinh doanh của mình
Bạn bắt đầu mở ra những cơ hội của riêng mình
Bạn đứng trước camera một cách dễ dàng
Bạn loại bỏ hẳn những suy nghĩ tiêu cực trong đầu mình
Khi mà bạn đã vượt qua được nỗi sợ hãi và sự nghi ngờ, bạn sẽ làm chủ được sức mạnh của bản thân. Khi kết nối với mục đích của mình, bạn sẽ cháy lên niềm đam mê. Khi có được sự tự tin, bạn sẽ đi theo vận mệnh của mình.
Khá đơn giản, khi bạn tỏa sáng, cả thế giới sẽ phải chú ý và những cơ hội đến với bạn một cách dễ dàng 
Nhưng trước tiên- điều quan trọng trong quá trình này là _ bạn có vui lòng bắt đầu ? bạn đã sẵn sàng rồi chứ? Bạn đã sẵn sàng để thoát khỏi bóng tối, bước ra ngoài trời nắng ấm để cảm nhận sự khác biệt trong cuộc sống của mình?
Tôi đã sẵn sàng, sẵn sàng thấy bạn làm điều đó. Và tôi tin bạn cũng có thể thực hiện nó. Bạn không cần đi một mình. Hãy bắt đầu ngay từ bây giờ,cùng nhau","Bạn được sinh ra với đầy đủ khả năng để tham gia khóa học này. Không cần yêu cầu nào khác
Như một phần thêm vào, tôi Khuyên bạn nên tham gia khóa học với một trái tim đầy nhiệt huyết, một tâm trí ham học hỏi và một tinh thần sẵn sàng","Hơn 56 bài giảng với 6.5 giờ giảng dạy
Tạo ra một cá nhân năng động, ấn tượng tỏa sáng một cách đích thực
Kết hợp với sức mạnh của suy nghĩ tích cực để xây dựng sự tự tin
Chế ngự sự nghi ngờ đã kìm hãm bạn trong quá khứ
Tham gia vào các cuộc đối thoại một cách dễ dàng và nhanh nhẹn
Thúc đẩy bản thân và công việc kinh doanh của bạn
Học những kĩ năng giao tiếp để thắng thế trong thương trường
trình bày thông điệp của bạn cùng với đam mê và mục đích
Truyền cảm hứng cho khán giả trên Máy quay
Xây dựng một nhóm người hâm mộ","Bất cứ ai từng mơ về việc lớn, nhưng lại thiếu đi sự tự tin cần có
Ai đó biết được rằng họ có mặt trên hành tinh này để tạo ra khác biệt
Một người sẵn sàng thực hiện những bước nhảy vọt để đi đến thành công nhưng cần một bàn tay giúp đỡ
Doanh nhân, những người tự lập nghiệp, và bất cứ ai khác cần phát triển bản thân và công việc kinh doanh của họ ",,Chào mừng các bạn đến với lớp học . Thật vui vì các bạn đã ở đây.,1:36
,,,,,,,Câu chuyện hay nhất của tôi: Sức mạnh của việc ra quyết định ,6:41
,,,,,,Phần 1: Hãy bắt đầu nào,,
,,,,,,,"Xin chào tôi là Alexa, rất vui được chia một chút về bản thân tôi",4:06
,,,,,,,Một vài mẹo để học tập hiệu quả nhất tại lớp học này,5:33
,,,,,,,Thêm: Sách bài tập,39 pages
,,,,,,Phần 2: Tài sản sẵn có của bạn: Xác định vật cản của bạn,,
,,,,,,,Tài sản của bạn: một cuộc hành trình đầy đam mê của việc tự phản ánh ,4:45
,,,,,,,Tư duy của bạn: nhìn vào cách nghĩ thường lệ của nạn,6:28
,,,,,,,"tư duy của bạn: gặp vị khách đặc biệt của tôi, Daphna Slonim, MD",2:09
,,,,,,,Thay đổi nhận thức: Kiến tạo lại tư duy của bạn để thành công,8:49
,,,,,,,Giọng nói của bạn: đào tạo công cụ tốt nhất của cơ thể,9:12
,,,,,,,"Giọng nói của bạn: các bài tập cho sự rõ ràng, linh hoạt, và phạm vi",6:06
,,,,,,,Khởi động giọng nói cùng với khách mời đặc biệt Tessa Auberjonois,11:30
,,,,,,,Cơ thể bạn: làm thế nào để mang bản thân tới thế giới?,6:12
,,,,,,,Cơ thể bạn: luyện tập để xây dựng sức mạnh và sự bình tĩnh,3:59
,,,,,,,Củng cố những điều cốt lõi của bạn cùng với vị khách mời đặc biệt Carlos requejo,11:00
,,,,,,,Phong cách đặc trưng của bạn: Làm thế nào để ăn mặc ấn tượng,2:52
,,,,,,Phần 3: Xây dựng sự tự tin không thể cưỡng lại được,,
,,,,,,,Xây dựng sự tự tin: nó có ý nghĩa gì và tại sao nó lại là vấn đề?,3:11
,,,,,,,Trí tuệ của cơ thể bạn: Giới thiệu về kiểm tra năng lượng cơ bắp,5:12
,,,,,,,Kiểm tra năng lượng cơ bắp: Thao tác mẫu,6:05
,,,,,,,Sự tự tin ngay lập tức: Những mẹo để làm chủ sự tuyệt vời của bản thân,5:27
,,,,,,,Thắng lợi lớn của tôi: Câu chuyện thành công cá nhân,6:50
,,,,,,,Khẳng định công việc : làm thế nào để tạo ra những mẩu ghi chú có hiệu quả,4:28
,,,,,,,Bí mật của thành công: làm thế nào để nuôi dưỡng lòng biết ơn,4:31
,,,,,,Phần 4: nghệ thuật đối thoại thông thường,,
,,,,,,,"Nghệ thuật đối thoại thông thường: Giới thiệu
Xem trước",5:14
,,,,,,,Giải trí số: làm thế nào để thể hiện trong từng khoảnh khắc,6:26
,,,,,,,làm thế nào để tạo ấn tượng đầu tiên tốt,6:05
,,,,,,,làm thế nào để đối phó với các thách thức đối thoại ,6:17
,,,,,,,"làm thế nào để đối phó với các thách thức đối thoại 
Xem trước",6 pages
,,,,,,,Cơ hội để luyện tập NGAY BÂY GIỜ,7:26
,,,,,,Phần 5: Trở thành một người bán hàng xuất sắc Dễ dàng- đích thực,,
,,,,,,,"Làm thế nào để lắng nghe và có nhiều bạn hơn sự kết nối - bán hàng
Xem trước",4 pages
,,,,,,,"mọi thứ để bán... vậy vấn đề là gì?
Xem trước",2:54
,,,,,,,"Kết nối lại với ""ngọn lửa"" trong bạn: Làm thế nào để tìm ra nguồn sáng của bạn",6:34
,,,,,,,Sẵn sàng! làm sao để thúc đẩy bạn lên?,10:05
,,,,,,,Trở nên khó quên: Sức mạnh của việc lắng nghe,7:51
,,,,,,,Vũ khí bí mật: Làm thế nào để xác định khách hàng lý tưởng của bạn,7:45
,,,,,,,"Tôi biết, đôi khi nó khiến bạn tốn thương: làm thế nào để đối phó với sự từ chối",10:15
,,,,,,Phần 6: làm thế nào để truyền tải bài thuyết trình tuyệt vời,,
,,,,,,,"Mơ lớn! Làm thế nào để hình dung ra chính mình trên sân khấu
Xem trước",3:13
,,,,,,,Làm thế nào để hoàn thành xuất sắc cuộc phỏng vấn tiếp theo của bạn,8:29
,,,,,,,làm thế nào để thực hiện các bài thuyết trình Power point LÔI CUỐN,10:19
,,,,,,,Bài tập chuẩn bị: Sáu chìa khóa thành công,9:30
,,,,,,,Làm thế nào để đối phó với những lo lắng,2:41
,,,,,,,Cứu trợ tức thì: Kỹ thuật giữ vững tâm lý,9:06
,,,,,,Phần 7: Tạo ra video: Làm thế nào để cảm thấy thoải mái khi đứng trước máy quay,,
,,,,,,,"Tỏa sáng trước máy ghi hình: Giới thiệu
Xem trước",2:41
,,,,,,,Sức mạnh của video,6:02
,,,,,,,Tất cả các cách để tận dụng video ngay bây giờ,6:31
,,,,,,,Trang thiết bị,9:01
,,,,,,,Thao tác mẫu với video trên Ipad,2:44
,,,,,,,Các loại video để sáng tạo,5:51
,,,,,,,Năm mẹo để tỏa sáng,0:49
,,,,,,Phần 8: Chúc mừng,,
,,,,,,,QUÀ TẶNG THÊM vì đã hoàn thành khóa học,2:50
,,,,,,Phần 9: NỘI DUNG TẶNG THÊM: bài giảng với khách mời và phỏng vấn,,
,,,,,,,Cuộc phỏng vấn của tôi với Bogdan Vaida: Giảng viên ngôi sao,38:11:00
,,,,,,,Lợi ích của phỏng vấn qua Skype cùng với Bogdan Vaida,1:34
,,,,,,,Những lời khuyên thiết thực cho việc lập kế hoạch - chuẩn bị cho cuộc phỏng vấn đầu tiên,1:10
,,,,,,,làm thế nào để định cấu hình Skye - ScreenFlow( một ứng dụng ghi lại màn hình) cho ghi hình- chỉnh sửa cùng với bogdan Vaida,1:30
,,,,,,,Cuộc phỏng vấn của tôi với Bogdan: Làm thế nào để chỉnh sửa cuộc phỏng vấn qua skype của bạn,8:25
