Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
an-uong-the-nao-de-co-du-nang-luong-cho-co-the,Ăn uống thế nào để có đủ năng lượng cho cơ thể?,Học cách điều chỉnh chế độ dinh dưỡng của bạn để có được tinh thần tốt và thể chất tràn đầy sinh lực.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu,,,,
,,,Lần cuối bạn có thể tập trung cao độ từ lúc thức dậy cho đến khi đi ngủ là khi nào? Tại sao bạn không cảm thấy như thế hàng ngày?,Tất cả những gì bạn cần đơn giản là sự quyết tâm học hỏi và phát triển bản thân,- Hơn 27 bài giảng và 1.5 giờ nội dung!,"Khóa học dành cho bất cứ ai đang tìm cách tăng năng lượng bản thân, tăng năng suất bằng việc tối ưu hóa dinh dưỡng. Khóa học này có lẽ không phải dành cho bạn nếu bạn không sẵn sàng hy sinh để đạt được mục tiêu của mình.",,Giới thiệu,2:10,Video,
,,,"Mỗi ngày bạn đưa ra hàng trăm quyết định nho nhỏ mà có thể thúc đẩy năng lượng của bạn hoặc hủy hoại nó. Hầu hết các quyết định này được thực hiện mà bạn không nhận ra hậu quả của chúng. Ví dụ, ăn sai loại thực phẩm tại sai thời điểm trong ngày có thể là liều thuốc độc đối với cơ thể của bạn trong dài hạn.",,- Đưa ra quyết định tốt nhất về dinh dưỡng trong mọi tình huống để tối đa hóa năng lượng.,,,Ai sẽ hưởng lợi từ khóa học này?,2:26,Video,
,,,"Thực tế là một số người cần phải tỉnh táo hơn những người khác. Nếu bạn làm việc nhiều giờ liền, có một cuộc sống xã giao bận rộn, có một gia đình cần có sự quan tâm của bạn, hoặc cần phải hoàn thành bài vở ở trường với số lượng lớn, thì việc điều chỉnh chế độ dinh dưỡng nhằm tối đa hóa năng lượng của bạn là rất quan trọng.",,- Đạt được kết quả mong muốn và tránh mệt mỏi ngay cả khi có một lịch trình bận rộn.,,,Mục tiêu và chủ đề của khóa học,3:22,Video,
,,,"Có nhiều yếu tố góp phần vào xây dựng mức năng lượng của bạn trong suốt cả ngày, nhưng một trong những yếu tố lớn nhất là những thứ bạn đưa vào cơ thể của bạn. Khóa học này phân tích cặn kẽ cách tối ưu hóa mọi quyết định liên quan đến chế độ dinh dưỡng của bạn nhằm tối đa hóa năng lượng cho cơ thể. Khóa học cũng bao gồm một loạt các tình huống thường xảy ra với những người bận rộn.",,,,Phần 2: Thực phẩm/chất dinh dưỡng cơ bản,,,,
,,,"Trong thâm tâm, hầu hết mọi người đã biết cái gì là lành mạnh và cái gì không. Vấn đề là hầu hết thời gian, sự lựa chọn tốt nhất cho sức khỏe lại không dễ dàng, hoặc thậm chí không thể thực hiện được. Đừng lo, khóa học sẽ minh họa tất cả những lựa chọn tốt nhất cho mọi tình huống.",,,,,Dinh dưỡng nghĩa là gì?,1:50,Video,
,,,"Khóa học đưa ra những nguyên nhân làm bạn mệt mỏi, cách tránh và chống lại chúng. Nhưng so với một kế hoạch chi tiết cho việc đưa ra quyết định, khóa học này còn hơn thế bởi nó có thể thực hiện được. Các thông tin được chia thành 11 bài giảng với tổng thời lượng là 1,5 giờ nội dung. Mỗi bài giảng sẽ cung cấp cho bạn các kiến thức cụ thể và có thể thực hiện được, có thể áp dụng thực hiện vào chế độ ăn uống hàng ngày của bạn luôn được.",,,,,Tại sao vấn đề chất lượng thực phẩm lại quan trọng,3:54,Video,
,,,Một vài điều bạn sẽ học được trong khóa học này:,,,,,Chất dinh dưỡng,2:52,Video,
,,,Nên và không nên làm gì trước chuyến bay để tránh mệt mỏi?,,,,Phần 3: Khái niệm cơ bản về bữa ăn,,,,
,,,"Tại sao chúng ta lại có thể ""say đồ ăn""?",,,,,Xác định thời gian bữa ăn + Các bước thực hiện,4:53,Video,
