Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
khoa-hoc-day-tao-thuong-hieu-cho-ban-than,Khóa học dạy tạo thương hiệu cho bản thân,Tấn công dòng khách hàng lí tưởng và là người đứng đầu trong lĩnh vực của bạn với một thương hiệu bản thân mạnh.,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Làm mới bản thân,,,,
,,,"Rào cản lớn nhất cho mỗi người là chính bản thân họ. Tuy nhiên họ lại không hề biết điều đó. Tất cả những gì học biết chỉ là ""có gì đó không ổn"". Vì thế họ chần chừ. Họ trì hoãn. Họ từ bỏ những công việc để xây dựng sự nghiệp của mình.",Chẳng cần có yêu cầu gì cả,- Hơn 9 bài giảng và 41 phút nội dung!,Chủ doanh nghiệp,,Tạo đột phá với Mariasa,11:08,Video,
,,,"Cho tới giờ, quá trình xây dựng ""thương hiệu"" vẫn còn còn là một điều bí ẩn và tốn nhiều chi phí. Những điều lớn lao mà chỉ có những người giỏi giang mới có thể gắn bó. Giờ thì không còn như vậy nữa.",,- Tạo ra một thương hiệu có sức ảnh hưởng lớn có thể dễ dàng đưa bạn lên vị trí dẫn đầu một các tự nhiên,Doanh nhân,,Kết nối với giá trị cốt lõi của bạn,4:32,Video,
,,,"Trong khuôn khổ của khóa học này, bạn sẽ được trải nghiệm một chuỗi những bài tập về thay đổi bản thân đã được thiết kế để phát hiện ra từng nhân tố cho thương hiệu lí tưởng của bạn - một thương hiệu mà sẽ ngay lập tức đưa bạn lên vị trí dẫn đầu trong lĩnh vực của mình và mang tới cho khách hàng, các đối tác làm ăn, các mối làm ăn và thu nhập mà bạn mong muốn cùng lúc với việc mang lại cho bạn sức ảnh hưởng lớn và thế lực mà bạn xứng đáng có được.",,"- Học được cách diễn tả bản thân qua ngôn ngữ, hình ảnh và cảm xúc khiến bản có thể tạo được tiếng vang trong thị trường mục tiêu của bạn và có được cái nhìn tổng thể về khách hàng một cách dễ dàng",Các nhà môi giới,,Tìm ra 6 chữ tiêu chuẩn của bạn,3:40,Video,
,,,"Chưa từng được công bố rộng rãi chương trình chữ kí ""Message to Money"" trước đó, nhưng sau khi thấy được phản ứng của khách hàng trước chương trình này, cô ấy đã quyết định đây là một trường hợp ngoại lệ. với 9 videos chuyên sâu về kinh doanh và tạo lập thương hiệu cho bản thân.",,- Khám phá được những nhân tố tiềm năng trong thương hiệu của bạn để mà tất cả những gì bạn làm đều tạo được tín hiệu tốt tới khách hàng của bạn,Doanh nhân độc lập,,Điều gì khiến bạn khác biệt,3:50,Video,
,,,,,,Các bà nội trợ tham gia kinh doanh,,Chọn một chức danh khiến bạn trở thành người dẫn đầu,3:48,Video,
,,,,,,Sinh viên chuyên ngành Marketing,,Lựa chọn 3 từ khẳng định phong cách của bạn,2:00,Video,
,,,,,,,,Chụp ảnh chữ kí của bạn,2:42,Video,
,,,,,,,,Tạo ra một câu chuyện về bản thân,4:03,Video,
,,,,,,,,Luyện tập làm chính mình với thương hiệu bản thân,5:57,,
