Alias,Title,Subtitle,Promo Video,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
bi-quyet-hoc-tieng-anh-cho-nguoi-moi-bat-dau,Bí quyết học tiếng anh cho người mới bắt đầu,Học ngoại ngữ là chuyện nhỏ!,https://youtu.be/zLOmnj0PEKQ?list=PL-xa1TEVfkuerbUNEFIx08E-UaLQW6vVo,Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương 1 : Thiết kế website cá nhân đơn giản,,,,
,,,,"Có thể bạn sẽ trả lời để học tiếng anh chỉ cần chăm chỉ, tham gia các khoá học tại trung tâm tiếng anh, bạn cần môi trường thực hành tiếng anh nhiều hơn … Nhưng rõ ràng đây không phải là câu trả lời đúng nhất giúp bạn giỏi tiếng anh. Vì sao vậy? bạn hãy dành 2 phút trả lời những câu hỏi sau đây:",Không có yêu cầu gì.,Hơn 4 bài giảng trong 41 phút nội dung!,"Nếu bạn đã cảm thấy giỏi tiếng Anh và không cần thay đổi thì bạn sẽ không cần đến khóa học này. Còn nếu bạn chỉ muốn thư giãn, không bao giờ phải lo lắng về nó thì, chào đón bạn đến với khóa học.",,"Tìm hiểu cặp thẻ img, center, b, h1, Ul",11:00,Video,https://www.youtube.com/watch?v=jWela0d_oJU&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=3
,,,,Bạn có cảm thấy bối rối khi phải nói Tiếng Anh?,Bạn không cần bất kỳ tài liệu hoặc phần mềm nào. Bạn thậm chí không cần phải ghi chép gì vì đã có tài liệu cho mỗi buổi học.,"Bạn sẽ nhanh chóng được tiếp cận với một phương pháp học tiếng Anh mới, có thể giúp bạn cải thiện khả năng tiếng Anh hiện tại.",,,Tạo đường link với cặp thẻ a,10:00,Video,https://www.youtube.com/watch?v=brxgLMyIP6Y&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=4
,,,,Bạn ngại vì phát âm dở? Hay bạn còn mắc nhiều lỗi ngữ pháp khi nói chăng?,,,,,"Tìm hiểu cặp thẻ font, dl, dt và dd",13:00,Video,https://www.youtube.com/watch?v=g5U2-x4EMaM&index=5&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,Bạn gặp khó khăn khi cố gắng hiểu người bản ngữ nói chuyện? Người nước ngoài có hiểu ý bạn nói?,,,,,Tạo bảng với cặp thẻ table phần 1,8:00,Video,https://www.youtube.com/watch?v=XjWLW-6SxwU&index=6&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,Bạn có cảm thấy thất bại vì bạn không hiểu được ngôn ngữ của những nhân vật trong phim một cách dễ dàng?,,,,,Tạo bảng với cặp thẻ table phần 2,13:00,Video,https://www.youtube.com/watch?v=tNi0H9l_ffc&index=7&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,"Bạn học nhiều năm Tiếng Anh, bạn đọc Tiếng Anh rất tốt, nhưng khi bạn nói thì bạn cảm thấy lo lắng, bối rối và e ngại?",,,,,Tạo bảng với cặp thẻ table phần 3,04:00,Video,https://www.youtube.com/watch?v=AkehFpUvHMk&index=8&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,Có phải bạn sẽ không bao giờ học tiếng anh tốt?,,,,,Tạo bảng với cặp thẻ table phần 4,7:00,Video,https://www.youtube.com/watch?v=n0Lrp64tSFg&index=9&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,Bạn cảm thấy bất lực vì học tiếng anh trong nhiều năm mà vẫn không thể nói Tiếng Anh dễ dàng?,,,,,Tạo bảng với cặp thẻ table phần 5,12:00,Video,https://www.youtube.com/watch?v=9UnNJmR-Tbs&index=10&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA
,,,,"Nếu đó là những gì bạn đang trải qua, Chúng tôi hoàn toàn có thể hiểu được những cảm giác đó. Sự thật là: “Nếu bạn tiếp tục sử dụng phương pháp học cũ – bạn sẽ không bao giờ nói tiếng Anh tốt. Bạn sẽ luôn gặp rắc rối với khả năng nói cũng như kiến thức ngữ pháp, từ vựng của bạn.” Tuy nhiên, có một cách mới. Khi bạn sử dụng phương pháp đúng, bạn sẽ tiến bộ dễ dàng.",,,,,Tìm hiểu và sử dụng cặp thẻ input phần 1,11:00,Video,https://www.youtube.com/watch?v=kWzBK9haLaM&list=PL-xa1TEVfkuc85b6zvPmpE53abKlv1wkA&index=11
