Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
toat-ra-su-tu-tin-cach-de-toa-sang,Toát ra sự tự tin: Cách để tỏa sáng,"Giúp bạn mở khóa những góc sáng bên trong mình, hay sự hiện diện để bạn có thể kết nối với mọi người mà bạn gặp một cách dễ dàng.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,,Chào mừng các bạn đến với lớp học . Thật vui vì các bạn đã ở đây.,1:36,Video,
,,,"Hơn 4200 học sinh, Khóa học được cập nhật tới tháng 3/2015",- Bạn được sinh ra với đầy đủ khả năng để tham gia khóa học này. Không cần yêu cầu nào khác,- Hơn 56 bài giảng với 6.5 giờ giảng dạy,"- Bất cứ ai từng mơ về việc lớn, nhưng lại thiếu đi sự tự tin cần có",,Câu chuyện hay nhất của tôi: Sức mạnh của việc ra quyết định ,6:41,Video,
,,,"Bạn đã từng thầm khao khát thành đạt hơn trong cuộc sống? Đối với nhiều người, bạn trông có vẻ thành công và hài lòng, nhưng trong thâm tâm bạn biết bạn vẫn chưa chạm tới tiềm năng cao nhất của mình. Và nó quả thực rất đau đớn. Có lẽ bạn sẽ không bao giờ đề nghị được tăng lương dù bạn xứng đáng. Hoặc bạn tránh trình bày trong một căn phòng có đầy đủ những người có tầm ảnh hưởng. Bạn chỉ đứng ở ""hậu trường"", hoàn toàn có năng lực nhưng lại như thể vô hình.","- Như một phần thêm vào, tôi khuyên bạn nên tham gia khóa học với một trái tim đầy nhiệt huyết, một tâm trí ham học hỏi và một tinh thần sẵn sàng","- Tạo ra một cá nhân năng động, ấn tượng tỏa sáng một cách đích thực",- Ai đó biết được rằng họ có mặt trên hành tinh này để tạo ra khác biệt,Phần 1: Hãy bắt đầu nào,,,,
,,,"Nhưng có một lời thì thầm bên tai bạn, xin bạn hãy lên tiếng. Hãy mong muốn nhảy ra ngoài vùng thoải mái của bạn. Và thông điệp của bạn? Bạn biết bạn có nó - nhưng có thứ gì đó ngăn cản bạn làm một điều khác biệt, khiến bạn tỏa sáng với khả năng của mình. NÓ LÀ GÌ?",,- Kết hợp với sức mạnh của suy nghĩ tích cực để xây dựng sự tự tin,- Một người sẵn sàng thực hiện những bước nhảy vọt để đi đến thành công nhưng cần một bàn tay giúp đỡ,,"Xin chào tôi là Alexa, rất vui được chia một chút về bản thân tôi",4:06,Video,
,,,"Câu trả lời là khác nhau đối với từng người. Và điều tốt đẹp là, không khó để thoát khỏi cái vỏ bọc nhút nhát đó. Bởi vì bạn có được những gì?Danh tiếng? Vận may? Sự thừa nhận? Đúng, tất cả điều đó đều đúng nhưng cái mà bạn thực sự nhận được là những điều vô giá, là món quà đến cùng với con người thực sự của bạn theo cách hiệu quả nhất, cùng với sự lan truyền mạnh mạnh mẽ. Tới càng nhiều người càng tốt. Nó là món quà cho bạn, nhưng nó cũng là món quà đối với chúng tôi. Vâng, với chúng tôi. Việc đóng vai trò nhỏ bé, như Marianne Williamson tuyệt vời đã từng nói, chẳng làm được gì cho chúng ta.",,- Chế ngự sự nghi ngờ đã kìm hãm bạn trong quá khứ,"- Doanh nhân, những người tự lập nghiệp, và bất cứ ai khác cần phát triển bản thân và công việc kinh doanh của họ",,Một vài mẹo để học tập hiệu quả nhất tại lớp học này,5:33,Video,
,,,"Xin chào, tôi là Alexa.",,- Tham gia vào các cuộc đối thoại một cách dễ dàng và nhanh nhẹn,,,Thêm: Sách bài tập,39 pages,Document,
,,,"Tôi dành phần lớn công sức của mình cho sự nghiệp làm diễn viên truyền hình cho tới khi tôi nhận ra rằng cuộc sống trên những chương trình truyền hình sẽ không thỏa mãn khát khao được giúp đỡ người khác của mình. Kỹ xảo của diễn xuất chính là về giải thích cách hành xử của con người, học làm thế nào để một người được chú ý. Hiểu được những trở ngại họ gặp phải khi giành lấy những gì họ muốn. Tôi yêu diễn xuất, nhưng tôi thấy thật đáng buồn khi nhận ra sức ảnh hưởng của nền công nghiệp giải trí tới những người bình thường. Tôi thấy vô số người rơi nước mắt khi so sánh bản thân họ với những người nổi tiếng. Tôi biết giờ là lúc để tôi tham gia vào công tác giảng dạy.",,- Thúc đẩy bản thân và công việc kinh doanh của bạn,,Phần 2: Tài sản sẵn có của bạn: Xác định vật cản của bạn,,,,
,,,Đây là sự thực.,,Học những kĩ năng giao tiếp để thắng thế trong thương trường,,,Tài sản của bạn: một cuộc hành trình đầy đam mê của việc tự suy ngẫm,4:45,Video,
,,,"Những người diễn viên cũng chỉ như tôi và bạn. Thực ra thì, mỗi người trên hành tinh này đều được sinh ra để tỏa sáng, Bạn đến với thế giới cùng với niềm đam mê và mục đích riêng. Bạn có thể vẫn chưa biết rằng nó là gì nhưng bạn từ tận đáy lòng, bạn biết, giờ là lúc để thay đổi. Hãy tưởng tượng xem bạn sẽ dành được những gì nếu bạn cố gắng hết sức:",,Trình bày thông điệp của bạn cùng với đam mê và mục đích,,,Tư duy của bạn: nhìn vào cách nghĩ thường lệ của bạn,6:28,Video,
,,,Bạn có can đảm để yêu cầu những gì bạn muốn,,Truyền cảm hứng cho khán giả trên máy quay,,,"Tư duy của bạn: gặp vị khách đặc biệt của tôi, Daphna Slonim, MD",2:09,Video,
