,,,Yêu cầu của khóa học này là gì?,Tôi sẽ nhận được gì từ khóa học này?,Đối tượng của khóa học này là ai?,,,
Scrivenerivener Simplified: làm thế nào để tạo ra ebook của riêng bạn chỉ trong 60 phút.,Hướng dẫn về Scrivenerivener sẽ chỉ cho bạn những kỹ thuật đơn giản và những thứ nên bỏ qua để bạn có thế xuất bản một quyển sách điện tử dễ dàng và nhanh chóng.,Mô tả khóa học,Một bản sao Scrivenerivener để cài đặt (bạn sẽ có 30 ngày sử dụng miễn phí),Hơn 29 bài giảng và 2 giờ nội dung,Những nhà văn và những người sáng tạo nội dung mong muốn tăng hiệu suất làm việc và sản phẩm cũng như bất cứ ai muốn tạo ra một cuốn sách điện tử trong 1 hoặc ít hơn 1 giờ.,Phần 1: Nền tảng,,
,,"""Scrivener là lựa chọn hàng đầu của các tác giả chuyên nghiệp""",,,,,Lý do tại sao rất nhiều người thấy Scrivener quá rắc rối,6:58
,,"Nếu bạn đang muốn viết cuốn sách điện tử tiếp theo (hoặc đầu tiên) của mình một cách đơn giản và nhanh gọn thì chắc chắn bạn sẽ cần tới Scrivener Simplified để biên soạn và xuất bản sách ở nhiều định dạng đa dạng, bao gồm cả Kindle, ePub và hơn thế nữa.",Đào tạo trên Mac nhưng các lý thuyết tương tự với PC,"Nhanh chóng tạo ra những cuốn sách điện tử của riêng bạn dưới nhiều định dạng khác nhau (Kindle, iBook..)",,,Tải bản sao của Scrivener ở đâu?,Văn bản
,,*Lưu ý* Thành công trong việc sử dụng Scrivener nằm ở chỗ phải biết nên bỏ qua điều gì,,"Hiểu về các yếu tố then chốt ""cần phải biết"" trong Scrivener",,,Điều hướng giao diện,7:39
,,Khóa học của bạn bao gồm:,,,,Phần 2: Scrivener xử lý nội dung như thế nào,,
,,Các video của tôi trong quá trình tạo ra một quyển sách thực sự trước mắt bạn (Không có lý thuyết gì ở đây),,,,,Tập tin và thư mục - vấn đề ở đây là gì?,7:26
,,Các nội dung mẫu (20 bài) được sử dụng để chứng minh,,,,,Nhập nội dung,5:55
,,Một bìa mấu kindle để tham khảo,,,,,Tách nội dung dài,2:55
,,"Các cuốn sách hoàn thiện cho bạn xem lại trên các định dạng epub, mobi và pdf.",,,,Phần 3: Tạo ra (hay còn gọi là biên soạn) cuốn sách điện tử của bạn,,
,,Các file Scrivener thật (.Scriveneriv) mà tôi sử dụng trong khóa học để bạn có thể bắt đầu một cách đơn giản,,,,,Biên soạn là gì?,4:03
,,"Các bài học tặng kèm, bao gồm cả những bản đồ từ duy ""bán chạy nhất"" mà tôi chưa từng chia sẻ trước đây",,,,,Biên soạn: Thiết lập nội dung,4:26
,,"Khi THAM GIA VÀO KHÓA HỌC NÀY, tôi sẽ chỉ cho bạn cách để bỏ qua nhiều tính năng của Scrivener, từ đó bạn có thể tập trung thời gian vào việc tạo ra cuốn sách điện tử của mình đơn giản và nhanh chóng. Thực tế, bạn có thể tạo ta cuốn sách tiếp theo (hoặc đầu tiên) của mình chỉ trong một giờ nếu như bạn đã hoàn thành khóa học này. Và trước khi bạn nghĩ  ""Thật là dối trá!"" hãy để tôi giải thích nó là sự thật vì sao và như thế nào.",,,,,Biên soạn: Phân tách,4:04
,,Bỏ qua hầu hết các tính năng,,,,,Chèn ảnh bìa,2:22
,,Bởi vì phần lớn những gì Scrivenerivener đưa ra là những phép thuật nâng cao cho bản thảo (đó là những kỹ thuật tuyệt vời cho các bản thảo nhưng lại không phải là điểm mấu chốt hay bắt buộc cho việc viết sách điện tử của bạn).,,,,,Biên soạn: Định dạng,6:44
,,"Giống như đa số các phần mềm ngày nay, chúng ta chỉ cần sử dụng khoảng 10% để thực hiện được mục đích của mình, đó chính là lý do tại sao, khi tôi mua Scrivenerivener vào mùa hè 2014, tôi đã có thể nhanh chóng tạo ra hết cuốn sách này tới cuốn sách khác. Tôi đã tạo ra và xuất bản 4 quyển sách Kindle thành công một cách nhanh chóng trên Amazon và 3 trong số đó đã trở thành ""BEST SELLER"".",,,,,Biên soạn: Chỉnh sửa tiêu đề,1:58
,,Về tài liệu tặng kèm...,,,,,Biên soạn: Bố cục (Cũng là nơi thiết lập mục lục),2:15
,,"Tôi đã đính kÈM quyển sách bán chạy nhất của mình ""MIND MAP"", quyển sách nói về cách tôi tiếp cận thiết kế và phát triển những cuốn sách trên Kindle. Tôi cũng áp dụng công thức tương tự với 3 quyển sách bán chạy khác vào năm 2014. Bạn là một phần trong khóa học này, vậy nên đây sẽ là món quà của tôi dành cho bạn bởi tôi biết bạn thực sự muốn viết những cuốn sách điện tử nhanh chóng và hiệu quả hơn. Với khóa học và những tài liệu này, bạn sẽ có thể tạo ra cuốn sách điện tử của mình trong vòng 1 giờ.",,,,,Biên soạn: Sự biến đổi,3:51
,,"Vậy nếu bạn không muốn chờ đợi thêm một phút nào nữa, hãy THAM GIA NGAY HÔM NAY bởi ngày mai bạn đã có thế đang trong quá trình trở thành tác giả của những cuốn sách best-seller rồi.",,,,,Biên soạn: Cài đặt HTML,1:09
,,,,,,,Biên soạn: Sự thay thế,0:48
,,,,,,,Biên soạn: Bảng biểu và số liệu thống kê,1:56
,,,,,,,Biên soạn: Chú thích và siêu dữ liệu,2:29
,,,,,,,Biên soạn: Thực hành,5:30
,,,,,,,Cài đặt phiên bản PDF cho cuốn sách điện tử của bạn,5:03
,,,,,,,Cài đặt phiên bản Kindle,5:47
,,,,,,,Ảnh nhúng: Những điều bạn cần biết,5:33
,,,,,,,Front matter: đó là gì và làm thế nào để tạo ra nó (nhanh chóng),8:06
,,,,,,Phần 4: Các nguồn tài liệu và đào tạo tặng kèm,,
,,,,,,,Những thiết kế sách phức tạp hơn,11:25
,,,,,,,Link đào tạo về bản chính thức của Scrivenervener (không cần phải phát mình ra những thứ đã có rồi),Văn bản
,,,,,,,Làm thế nào để xuất bản một cuốn sách bán chạy trên Amazon Kindle,15:09
,,,,,,,Các tập tin được sử dụng và tạo ra trong suốt khóa học,Văn bản
,,,,,,,Tài liệu cho người mới bắt đầu dùng Scrivenerivener,Văn bản
,,,,,,,Làm thế nào để viết một cuốn sách trong 14 ngày,1 trang
