,,,Yêu cầu của khóa học này là gì?,Tôi sẽ nhận được gì từ khóa học này?,Đối tượng của khóa học này là ai?,,,
Salesforce: Đào tạo cơ bản cho quản lý và các nhà phát triển,Học cách sử dụng sức mạnh của công nghệ Salesforce và trở thành một tài nguyên kinh doanh không thể thiếu.,"Mô tả khóa học
Điện toán đám mây là một trong những công nghệ mạnh mẽ đáng mong đợi nhất ngày nay.
Dù bạn là một lập trình viên giàu kinh nghiệm hay người mới dùng máy tính và đang tìm kiếm khóa học từng bước một về Saleforce ở ngay trong nhà bạn thì khóa học này chính là dành cho bạn. Không quan trọng nền tảng kiến thức của bạn thế nào, khóa học này sẽ giúp bạn bộc lộ nguồn lực vô hạn của mình qua việc học về công nghệ mạnh mẽ dựa trên kỹ năng được mong đợi nhất hiện này -  Công nghệ Điện toán đám mây
Khóa học này bao gồm các hướng dẫn từng bước về cả phần Quản trị và Phát triển Saleforce CRM, đề cập tới tất cả các chủ đề như App, Objects, Profiles, Security, Workflows, Visualforce page, Apex Controllers, Triggers và hơn thế nữa.
SFDC có nhu cầu lớn về những chuyên gia đầy kỹ năng với cơ cấu lương đặc biệt. Khóa học này bao gồm những hướng dẫn hiệu quả với giải thích rõ ràng

Khóa học này được cập nhật thường xuyên mỗi khi phiên bản mới nhất của Salefforce tung ra và nó cũng bao gồm những ví dụ để giúp bạn được chứng nhận.

Một khi bạn đã đăng ký, bạn sẽ được tham gia khóa học trọn đời, không có bất kỳ giới hạn nào cả.","Salsforce là một nền tảng đám mây vì thế chỉ cần một chiếc máy tính có kết nối Internet là được.
Bạn sẽ có một tài khoản miễn phí trọn đời để thực hành theo giống như những gì tôi sẽ trình bày video thứ 2.","Hơn 48 bài giảng và 6,5 giờ nội dung
Kết thúc khóa học này, bạn sẽ có thể làm việc với Saleforce như một chuyên giaKhóa học này sẽ bao gồm cả hai phần Khai báo và Phát triển của Saleforce","Khóa học này dành cho bất cứ ai có thể là các nhà phát triển, quản lý, tư vấn viên hoặc người dùng.",Phần 1: Thực hành quản trị toàn bộ Saleforce từng bước một.,,
,,,,,,,Làm quen,4:33
,,,,,,,Nền tảng Đội ngũ bán hàng và Tổng quan Các tính năng,4:59
,,,,,,,Tạo ra ứng dụng và đối tượng đầu tiên,6:44
,,,,,,,Tạo các trường trên đối tượng đầu tiên của bạn,7:33
,,,,,,,Tạo hóa đơn và các đối tượng con,13:48
,,,,,,,Tạo các Trường trên Đối tượng,5:47
,,,,,,,Hiểu và tạo sự liên kết giữa các đối tượng,10:56
,,,,,,,Tạo liên kết giữa các đối tượng con và Trường Tổng kết Cuộn,7:57
,,,,,,,Hiểu về quy trình làm việc và tạo một quy trình làm việc cho Trường Cập nhật giá,10:03
