,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Paul và lá thư gửi người xứ Galati,"Bức thư truyền giáo đầu tiên của Thánh Paul trong bản Kinh thánh mới là gửi tới những người xứ Galati-- mạnh mẽ, sâu sắc, và nền tảng","Chuyển biến bởi 'Đổi mới tư tưởng'-- Đó là mục tiểu của khóa học này và một trong những mục tiêu dành cho độc giả của chính Thánh Paul
Paul và lá thư gửi người xứ Galati sẽ đưa bạn hiểu sâu về một trong những bản viết nền tảng nhất của bản Kinh thánh mới. Chúng ta cũng sẽ đi từng phần một với những bài giảng của giáo sư N.T.Wright và một phần Hỏi đáp với giáo sư Wright và giáo sư Seemuth. Chúng ta sẽ có những bài đọc trong sách giáo trình như 'Paul của tất cả mọi người: người xứ Galati và xứ Thessaloni' của N.T.Wright ( có mã số tiêu chuẩn quốc thế là 0664227856). Chúng ta sẽ có những cuộc thảo luận chung với những học viên khác để có thể học tập cùng nhau qua tự tương tác về việc áp dụng những tài liệu này trong cuộc sống. Bạn cũng sẽ có cơ hội trao đổi với giáo sư Wright và giáo sư Seemuth qua những diễn đàn thảo luận. Các câu hỏi nhanh được phát triển để kiểm tra toàn diện cả về đọc tài liệu và học qua bài giảng video
Khóa học sẽ khá tốn thời gian. Chúng tôi mong ràng nó sẽ xứng đáng với nhiều tuần tìm hiểu về thông điệu của Paul trong lá thư gửi người xứ Galati. Không có giới hạn thời gian cho khóa học, vì thế tất cả đều phụ thuộc vào tiến trình của bạn. Nhưng chúng tôi mong muốn sự chậm hơn chứ không phải là nhanh hơn sẽ đưa bạn tới sự bao quát tốt hơn và sự thay đổi của bản thân Ngài sẽ có ích",Sách giáo trình cho khóa học này là 'Paul của tất cả mọi người: người xứ Galati và xứ Thessaloni' của N.T.Wright. số hiệu quốc tế là 0664227856,"Hơn 35 bài giảng với 4 giờ nội dung
Phát triển sự nhận thức sâu hơn về cách Paul truyền tải thông điệu của ông trong lá thư đầu tiên này của ông
Thấu hiểu ngụ ý trong thông điệp của Paul cho kỉ nguyên ngày nay
Hiểu được cốt lõi trong thông điệp của Paul gửi tới nhà thờ xứ Galati
Áp dụng nội dung và nguyên tắc của lá thư cho cuộc sống của tất cả mọi người
Thể hiện một tóm lược mạch lạc của bức thư này","Khóa học này dành cho tất cả những người có hứng thú với việc tìm hiểu về một trong những tư liệu quan trọng nhất trong bàn Kinh thánh mới
Khóa học này rất tốt cho những học viên mới học về Bible cũng như những người đã biết về Bible",Phần 1: Chào mừng tới Paul và lá thư của ông tới người xứ Galati và tới Udemy,,
,,,,,,,Giới thiệu về N.T.Wright trực tuyến,1:46
,,,,,,,Giới thiệu về khóa học: Paul và bức thư của ông gửi tới người dân xứ Galati,7:00
,,,,,,,Bạn cần gì để có được lợi ích cao nhất từ khóa học,văn bản
,,,,,,,Xây dựng các phần của khóa học,4:08
,,,,,,Phần 2: Người xứ Galati: Giới thiệu và chương 1,,
,,,,,,,Văn bản Kinh thánh: Người xứ Galati 1: 1-10. 11-18,1 trang
,,,,,,,Buổi 1: Người xứ Galati 1: 1-10; 6:11-18 bởi N.T.Wright,16:56
,,,,,,,Văn bản Kinh thánh: người xứ Galati 1: 11-24,1 trang
,,,,,,,Buổi 2: Người xứ Galati 1: 11-24 bởi N.T.Wright,18:30
,,,,,,,Hỏi nhanh 1: Bắt đầu hiểu bức thư,8 câu hỏi
,,,,,,,Những câu hỏi thảo luận chính để cân nhắc từ Người xứ Galati phần 1,văn bản
,,,,,,Phần 3: Người xứ Galati chương 2,,
