Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
nang-cao-nang-suat-lam-viec-cua-ban-va-hoan-thanh-nhung-cong-viec-quan-trong,Nâng cao năng suất làm việc của bạn và hoàn thành những công việc quan trọng,"Hoàn thành kế hoạch đầy đủ chi tiết cùng với chiến lược bền vững và những kỹ thuật đơn giản sẽ mang lại cho bạn nhiều thời gian, tiền bạc và hạnh phúc hơn.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Giới thiệu về năng suất,,,,
,,,Hơn 23000 học viên hài lòng khi tham gia khóa học của tôi,Mở rộng tâm trí và thái độ cùng nghĩa vụ,- Hơn 65 bài giảng với 4 giờ giảng dạy,Bất cứ ai mong muốn nhanh chóng đẩy cao năng suất làm việc,,Giới thiệu khóa học,3:20,Video,
,,,Là một trong những khóa học tốt nhất trên trang này,,- Tận hưởng những Video chất lượng cao,,,Ai cũng có thể trở thành người làm việc năng suất,3:55,Video,
,,,có hơn 380 review từ những học viên hài lòng,,"- Chiến lược, kỹ thuật và phương pháp thực tiễn",,Phần 2: Thiết lập mục tiêu,,,,
,,,"Khóa học này sẽ tăng năng suất làm việc của bạn lên một cách nhanh chóng. Nó bao gồm chiến lược thay đổi tư duy cứng nhắc, nhưng nó cũng sẽ trang bị cho bạn những kỹ thuật đã được kiểm chứng và phương pháp đơn giản để nâng cao năng suất làm việc và giúp bạn hoàn thành công việc trong một khoảng thời gian ngắn.",,- Tìm hiểu làm thế nào để quản lý thời gian của bạn,,,Điều làm thay đổi tình thế,2:36,Video,
,,,"hơn thế nữa, nó cũng cập nhật thêm những tài liệu mới và tôi luôn luôn trả lời những thắc mắc của các bạn. Chúc mừng cho cam kết của bạn để trở nên năng suất hơn, cải thiện bản thân và để bắt đầu cuộc hành trình của chúng ta Nhân đôi năng suất làm việc và thay đổi cuộc đời bạn",,- Loại bỏ sự trì hoãn,,,Thiết lập mục tiêu - Giải thích,5:04,Video,
,,,"""Học sinh nói gì về khóa học này?"" ""Tài liệu tuyệt vời và bài giảng thực sự chuyên nghiệp"" - Sebastian Maloron",,- Kiếm nhiều tiền hơn,,,"Những mục tiêu ""không thực tế"", thú vị",2:44,Video,
,,,"""Số 1!! Khóa học của Jimmy's là tốt nhất, rất chất lượng"" - Sandy Allain",,- Hoàn thành nhiều công việc hơn,,,Jordan Belfort đã dạy tôi những gì,3:43,Video,
,,,"""Tốt cho tất cả mọi người. Jimmy đã làm rất tốt việc giải thích cách thức và đưa ra các kinh nghiệm của mình. điều duy nhất cần chỉnh là bài giảng chủ yếu tập trung về các nước phương Tây. Sẽ tốt hơn nếu được nghe ý kiến về vấn đề này từ quan điểm của người từ các nước phương Đông (ví dụ như Băng-La-đét, Ấn Độ, Ukraine, Séc-Bia, Bun-ga-ry, Đài Loan...). Nhưng dù thế nào đi nữa, tôi cũng đánh giá nó với năm sao vì nó đã giúp tôi rất nhiều. Tốt lắm Jimmy"" - Alexander Varicak",,- Tìm hiểu xem làm thế nào để đặt ưu tiên,,Phần 3: Định luật 80/20 tăng năng suất của bạn như thế nào,,,,
,,,"""Một khóa học tuyệt vời! Có rất nhiều điểm được đề cập trong suốt khóa học. Một số là những điều đơn giản nhưng lại rất quan trọng, và chúng ta thì hay phớt lờ nó trong cuộc sống. Tôi sẽ giới thiệu khóa học này tới tất cả những người mà thời gian với họ là quan trọng và tới những ai bị bệnh trì hoãn, luôn cảm thấy thiếu thời gian, những người không thể thu xếp công việc với 100 phần trăm năng lượng và sự tập trung "" - Shiva",,- Trau dồi tư suy năng suất,,,Giới thiệu định luật 80/20,3:10,Video,
,,,"""Khóa học rất tốt, Một khóa học tuyệt vời, tôi rất hứng thú khi xem các video. Tôi nghĩ rằng mọi người có thể tìm thấy một vài điều hữu ích từ khóa học để thay đổi bản thân hoặc một vài thói quen xấu"" - Svetoslav Marinov",,- Tìm hiểu xem thế nào để có và trân trọng thời gian rảnh,,,Một nhiệm vụ khó khăn trong ngày,3:38,Video,
,,,"""Một khóa học tuyệt vời có thể có ích với bất cứ ai. Tôi kỳ vọng khá nhiều vào khóa học này và tôi phải nói rằng nó vượt qua mọi kì vọng. Bài giảng thực sự hữu ích đối với tôi ngay bây giờ và trong cả tương lai nữa. Những video là những video chất lượng cao và giảng viên quả thực là một người nhiệt tình với những gì mà ông ấy làm. Cảm ơn khóa học này nhiều "" _ Kevin Voetelink",,- Tìm hiểu trình tự BA BƯỚC thành công,,,Tim Ferriss đã sử dụng định luật 80/20 như thế nào để nhân đôi thu nhập và  giảm giờ làm,6:25,Video,
,,,"""Khóa học rất tốt, một sản phẩm phi thường. Khóa học này cung cấp nhiều công cụ để tăng năng suất làm việc. Tôi đã biết một số thứ trong khóa học, nhưng nhiều điều trong đó khá lạ lẫm đối với tôi và ngoài ra, tôi đánh giá cao sự mới mẻ của nó. Tôi đánh giá cao sự truyền tải, rất thân thiện và thực tế, rất khác biệt với cách tiếp cận thẳng thừng và tự mãn của Tim Ferriss, ngay cả khi 2 người nói về những điều như nhau. Chất lượng sản xuất rất tuyệt, có lẽ nằm trong top đầu ở Tudemy. Khóa học cũng thường xuyên được cập nhật, bởi vậy nó sẽ trở nên hợp thời ngay cả trong tương lai "" - Andrea Gini",,- Truy cập vào những tài liệu TẶNG KÈM,,,Thời gian biểu - Bạn sẽ bị sốc,4:16,Video,
,,,"""Đáng giá đến từng đồng xu. Đây là khóa học đầu tiên của Jimmy tôi tham gia. Vì tôi muốn bắt đầu làm một nhà doanh nghiệp, tôi bắt đầu tìm kiếm lời khuyên để cải thiện năng suất của mình và tôi tìm thấy khóa học này. Tôi đảm bảo với bạn là mua khóa học này là một trong những việc hay nhất tôi đã từng làm. Cảm ơn vì nội dung tuyệt vời, Jimmy. Gửi lời chào đến bạn từ nước Đức "" - Enis Tola",,- Tải về các bản audio cho Máy MP3 và Ipod,,Phần 4: Trau dồi tư duy năng suất,,,,
,,,""" Jimmy là tuyệt nhất. Jimmy đã làm một khóa học tuyệt nhất về phát triển tính cách. Rất nhiều ví dụ, trôi chảy, ngôn từ dễ hiểu, hài hước. Bỏ tiền cho khóa học này thật không lãng phí một xu nào. "" - Arkadiusz Wlodarczyk",,,,,"Đừng chờ cảm hứng xuất hiện, hãy tự tạo ra nó ngay bây giờ",2:55,Video,
,,,""" Tôi cảm thấy năng suất của mình đã tăng gấp đôi. Tôi cũng là một giảng viên của trên trang web và cũng là một doanh nhân, và thậm chí nghĩ rằng tôi luôn luôn làm việc cực kỳ năng suất. Tôi cảm thấy vào cuối năm 2014, năng suất của tôi giảm một cách trầm trọng so với năm trước, đến mức tôi cảm thấy lo lắng là mình đã mất khả năng làm việc năng suất. Sau một kì nghỉ và theo dõi khóa học này, tôi trở lại với công việc một cách năng suất chưa từng có. Tôi áp dụng rất nhiều những kĩ thuật từ khóa học như lễ nghi buổi sáng, những nhiệm vụ nghiêm ngặt của một ngày và những giờ tránh toàn bộ sự xao lãng, cũng như là một loạt các công việc và xác định các yếu tố làm lãng phí thời gian "" - Pablo Farias Navarro",,,,,Yếu tố đột phá,4:13,Video,
,,,,,,,,"Dừng tìm hiểu, bắt đầu thực hiện ",2:57,Video,
,,,,,,,,Thời gian rảnh không có nghĩa là thời gian chết,3:45,Video,
,,,,,,,,Tự động hóa những quyết định nhỏ,3:02,Video,
,,,,,,,,Có cái nhìn nhanh chóng,1 page,Document,
,,,,,,,Phần 5: Nghi lễ buổi sáng và tối,,,,
,,,,,,,,Giời thiệu,2:35,Video,
,,,,,,,,Bước 1: Tình trạng thể chất của bạn ,5:07,Video,
,,,,,,,,"Bước 2: Hãy biết ơn
Xem trước",7:21,Video,
,,,,,,,,Bước 3: Hình dung mục tiêu của bạn và điêù kiện để thành công,2:56,Video,
,,,,,,,,Sức mạnh của thói quen,4:40,Video,
,,,,,,,,Nghi lễ buổi tối,1:24,Video,
,,,,,,,,Thành quả buổi tối,2:12,Video,
,,,,,,,,Lên kế hoạch cho một ngày vào đêm trước đó,2:27,Video,
,,,,,,,Phần 6: Lãng phí thời gian và sự gián đoạn ,,,,
,,,,,,,,Sự gián đoạn lịch trình,4:51,Video,
,,,,,,,,Sự gián đoạn bên ngoài ,2:35,Video,
,,,,,,,Phần 7: Bạn có thể mua được nhiều thời gian hơn - điều kì diệu của thuê ngoài,,,,
,,,,,,,,Thuê ngoài - nó được vận hành như thế nào ,2:44,Video,
,,,,,,,,Giá cả thì như thế nào?,4:50,Video,
,,,,,,,,Nhiệm vụ của bạn ,6:19,Video,
,,,,,,,,Ví dụ của tôi,4:31,Video,
,,,,,,,Phần 8: Xóa bỏ sự trì hoãn,,,,
,,,,,,,,Loại bỏ sự trì hoãn với một hành động đơn giản này,4:03,Video,
,,,,,,,,Thực hiện tốt một vài việc không quan trọng không làm cho nó trở nên quan trọng ,3:31,Video,
,,,,,,,,Chia những nhiệm vụ lớn thành các việc nhỏ ,3:38,Video,
,,,,,,,,Danh sách những việc KHÔNG ĐƯỢC LÀM,2:51,Video,
,,,,,,,,Chủ nghĩa bi quan thiết thực,3:40,Video,
,,,,,,,,Nguyên lý của Parkinson,5:40,Video,
,,,,,,,Phần 9: Khái niệm THÊM - cập nhật thường xuyên,,,,
,,,,,,,,Sức mạnh bí mật của những giấc ngủ trưa,7:51,Video,
,,,,,,,,Nghệ thuật của Việc không hoàn thành,4:16,Video,
,,,,,,,,Họp - làm thế nào để nó có lợi cho bạn,2:27,Video,
,,,,,,,,Khi nào bạn không nên kiểm tra thư điện tử nữa,2:17,Video,
,,,,,,,Phần 10: Phần mềm năng suất,,,,
,,,,,,,,Tại sao lại là phần mềm năng suất,1:09,Video,
,,,,,,,,Phần mềm năng suất PDF,7 pages,Document,
