Alias,Title,Subtitle,Description,Requirement,Benefit,Audience,Section,Lecture,Duration / format,Type,Link
xem-tuong,Xem tướng,"Hiểu được cách người khác nghĩ và tại sao họ lại hành động như vậy, cũng như giúp bạn giao tiếp tốt hơn.",Mô tả về khóa học,Yêu cầu của khóa học,Lợi ích từ khóa học,Đối tượng mục tiêu,Phần 1: Xem tướng là như thế nào?,,,,
,,,Như tôi được biết thì nơi duy nhất có dạy về môn khoa học này là ở hệ thống suy xét hồ sơ hình sự và lựa chọn bồi thẩm đoàn ở Mỹ. Điều đó thật tệ. Những thông tin này không nên bị bảo mật. Chúng ta đều nên biết chúng từ khi còn học mẫu giáo.,Một cái gương.,Hơn 36 bài giảng và 2.5 giờ nội dung.,Những ai đang muốn hiểu về người khác.,,Di truyền học về ứng xử là gì và tại sao tôi lại dạy nó?,3:37,Video,
,,,"Tôi tin rằng những kiến thức này nên được giới thiệu cho tất cả mọi người, vì thế tôi đã tạo ra khóa học này.",Ảnh của bất cứ ai bạn muốn hiểu hơn hay biết nhiều hơn về họ.,Hiểu được cách mọi người nghĩ và tại sao họ hành động như vậy.,Những người muốn giao tiếp hiệu quả hơn.,,Thế nào không phải là di truyền học về ứng xử.,1:10,Video,
,,,Khoảng một nửa vấn đề trên thế giới xảy ra vì mọi người đều nghĩ rằng những người khác đều nghĩ giống như họ.,,"Nâng cao doanh số bán hàng lên trung bình 30% bằng cách biết được làm thế nào đạt được thành công, điều gì là quan trọng với họ và cách tốt nhất để họ có thêm thông tin mới.",Những người bán hàng.,,Trước khi bắt đầu hãy đảm bảo rằng bạn có 3 thứ sau.,2:42,Video,
,,,"Xem tướng sẽ dạy bạn cách để đọc khuôn mặt của người nào đó ,và trước khi nói điều gì đó, bạn cần biết tất cả mọi thứ từ việc họ muốn thông tin được trình bày như thế nào cho đến việc liệu họ thích chào hỏi với một cái ôm hay bắt tay.",,"Phát triển mối quan hệ cực kì tốt - nhận xét là tôi thường nhận được nhất sau khóa học là ""Nếu tôi biết điều này sớm hơn tôi sẽ không ly dị""",Người làm giáo dục.,,Hãy cùng chúng tôi tham gia cam kết JOY.,1:10,Video,
,,,"Môn khoa học này đã được kiểm chứng chính xác tới 98%. Tôi đã dạy về môn học này hơn 20 năm và thấy rằng nó chính xác tới 90-92%. Đủ tốt để tôi kiếm được rất nhiều tiền với tư cách là một người bán hàng, và giúp tôi thoát khỏi nhiều nỗi tổn thương trong các mối quan hệ.",,Giao tiếp hiệu quả hơn với những người bạn gặp.,Những người hẹn hò qua mạng.,,Chỉ dẫn về xem tướng.,1:41,Video,
,,,Dù ở nhà hay cơ quan thì đây là 1 công cụ có thể giúp bạn bắt kịp với mọi người ngay lập tức và giúp bạn nói chuyện một cách không những được lắng nghe mà còn tạo cho người khác cảm giác họ được lắng nghe.,,Hẹn hò qua mạng nhanh chóng.,Cố vấn.,,Chúng ta bắt đầu với một đặc điểm cơ thể thứ yếu để giải thích vì sao không có đặc điểm nào là tốt hay xấu.,4:40,Video,
,,,"Giao tiếp không chỉ là nói, nó còn là việc lắng nghe.",,Được thấu hiểu hơn.,Bác sĩ trị liệu.,Phần 2: Tự tin và thận trọng.,,,,
,,,"Khiến cho đọc vị trở thành 1 trò chơi mà cả gia đình tham gia. Chia sẻ nó với tất cả những người muốn hiểu người khác tốt hơn, và hãy đối mặt với nó, tất cả mọi người.",,Kết bạn với khuôn mặt của mình.,.,,Đặc điểm của sự tự tin vào bản thân.,6:42,Video,
,,,"Để có thể dễ dàng đọc vị chính xác tới 90%, hãy tìm ra những chỉ dẫn đi kèm với khóa học này. Điều đó sẽ giúp bạn áp dụng đọc vị hiệu quả trong cuộc sống. Nó chứa những thông tin bổ sung thiết yếu, ảnh đặc điểm tiêu biểu - bao gồm loại B - với mô tả chi tiết cho từng đặc điểm; thông tin về làm sao vận dụng những đặc điểm đó trong các mối quan hệ - với những lời khuyên về làm sao quản lí chúng; và hướng dẫn JOY - những cách thú vị để thực hiện và học các đặc điểm.",,,Các nhà lãnh đạo lớn.,,Đặt những khuôn mặt lại cạnh nhau.,6:53,Video,
