,,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Học tiếng Ả Rập: trình độ cơ bản tới nâng cao: Đọc và viết,"Bạn sẽ họcđược cách đọc và viết bất cứ thứ gì trong tiếng ả rập với những bài học cực dễ, học cách đối thoại","Chúng tôi đã giảm giá từ $69 xuống $39 (tận 50%)
Để đạt được 1000 học viên đầu tiên, hãy nhanh tay và tham gia với chúng tôi!
Khóa học sẽ giúp bạn biết mọi chữ cái Ả Rập một cách đơn giản, khi kết thúc 10 bài giảng đầu tiên bạn sẽ đọc và viết được mọi chữ cái Ả Rập, và bạn sẽ học được hơn 100 chữ Ả Rập
Bạn sẽ có thể bắt chuyện, nói về bản thân và sử dụng nhiều từ thông dụng và biểu cảm trong cuộc sống hàng ngày
Chúng tôi soạn bài giảng ở một mức độ đơn giản để dễ dàng cho bạn hiểu và ghi nhớ, giống hệt như khi chúng tôi dạy trẻ con và người lớn không phải người Ả Rập trong các phòng học truyền thống 
Đây không chỉ là khóa học với bài giảng video, sẽ có bài tập về nhà và bài tập lớn.
Đây không chỉ là một khóa học, nó còn là một cộng đồng trên mạng nơi bạn có thể gặp người khác đến từ khắp nơi trên thế giới có chung niềm đam mê học tiếng Ả Rập.
Khóa học sẽ được cập nhật với bài giảng mới hàng tháng","Bạn nên có loa và tai nghe cùng với một môi trường yên tĩnh
Bạn nên phấn khởi và hào hứng học tiếng Ả Rập
Bạn nên có máy tính, tốt hơn là có cả máy in","Hơn 14 bài giảng và 1 tiếng nội dung
Đọc, viết và nói bảng chữ cái Ả Rập
Đọc và viết bất kỳ chữ Ả Rập nào
Giới thiệu bản thân trong tiếng Ả Rập
Đối thoại trong tiếng Ả Rập
Nhận ra hơn 50 chữ Ả Rập
Gặp gỡ người bản địa nói tiếng Ả Rập
Kết bạn trên khắp thế giới","Bất kỳ ai có hứng thú học tiếng Ả Rập
Bất kỳ ai muốn luyện tập đọc và viết tiếng Ả Rập",Phần 1: giới thiệu,,
,,,,,,,Giới thiệu,2:02
,,,,,,Phần 2: bảng chữ cái,,
,,,,,,,Nguyên âm + Alef,6:03
,,,,,,,Nguyên âm + Alef,5 câu hỏi
,,,,,,,ب - ت - ث,5:07
,,,,,,,ج ح خ,4:27
,,,,,,,د ذ ر ز,6:29
,,,,,,,س ش,3:24
,,,,,,,ص ض ط ظ,7:47
,,,,,,,ع غ,3:49
,,,,,,,ف ق ك ل,5:34
,,,,,,, م ن Xem trước ,3:25
,,,,,,,ه و ي,4:30
,,,,,,,Bảng chữ cái Ả Rập,5 câu hỏi
,,,,,,Phần 3: Các từ và cụm từ hội thoại thông dụng ,,
,,,,,,,Giới thiệu bản thân,7:26
,,,,,,,Số đếm,2 trang
,,,,,,,Đại từ Ả Rập - đại từ riêng biệt,2:50
